"ano";"cod_mun";"amc";"semiarido";"polos";"cod_uf";"uf";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2004;"1100023";"1002";0;0;11;"RO";"ARIQUEMES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1557;858;9060792.40075859;22861.1807262298;68987.8755907787;122760.555971833;72693.2268728475;287302.839649626;33365.6872397457;320668.526889372;3690.04374000805;86901
2004;"1100031";"1001";0;0;11;"RO";"CABIXI (RO)";0;0;0;4500;0;0;0;1500;0;0;0;1429.65377527733;0;0;0;0;62;541;4234029.16305952;8051.84616965866;1341.15332722325;3769.6847260834;6683.07222425892;19845.7569351607;1327.02366373366;21172.7810868308;2853.09124028264;7421
2004;"1100049";"1003";0;0;11;"RO";"CACOAL (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;158.091407232033;0;1342;1646;11794395.2717509;24511.1490276418;62267.4401214044;118381.590865769;66961.5253163618;272121.705331177;31577.0796053014;303698.785424415;3974.23256196532;76417
2004;"1100056";"1001";0;0;11;"RO";"CEREJEIRAS (RO)";0;0;0;21552;0;0;0;7184;0;0;0;6845.74828230068;0;0;0;0;331;638;8728200.30326503;9019.45536222404;4574.56809108993;22447.3701246263;15330.374070685;51371.7671606888;7846.96653699613;59218.7336976849;3439.55180874044;17217
2004;"1100064";"1001";0;0;11;"RO";"COLORADO DO OESTE (RO)";0;0;0;3780;0;0;0;1400;0;0;0;1200.81158394455;0;0;0;0;323;920;6206804.582143;10760.0846942556;8001.69703801516;16076.1380804969;16213.5975832123;51051.5169080436;4970.97448774118;56022.4913957848;3053.16469899074;18349
2004;"1100072";"1001";0;0;11;"RO";"CORUMBIARA (RO)";0;0;0;18000;0;0;0;6000;0;0;0;5717.63922822519;0;0;0;0;29;584;2639764.55440158;16297.700260114;2315.55264331653;3741.32586007005;8588.01073760388;30942.5895011045;1900.0391435301;32842.6281566981;3489.8141416385;9411
2004;"1100080";"1001";0;0;11;"RO";"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;412;1308297.6584772;3206.24158340757;4879.11362141053;6481.55593749161;10293.1875836272;24860.098725937;1441.87219172331;26301.9704297238;2242.09234815294;11731
2004;"1100098";"1004";0;0;11;"RO";"ESPIGAO D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405;1254;10275427.4144023;16220.0012610781;12240.4394572924;26942.1654868015;22749.2461546723;78151.8523598443;10006.3712239294;88158.2235837737;3199.23823165448;27556
2004;"1100106";"1001";0;0;11;"RO";"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;157;1571709.98083255;4637.41479276553;6324.12714794791;70603.5234187281;35507.8170248838;117072.882384325;30424.0384628452;147496.920847171;3505.56960935307;42075
2004;"1100114";"1002";0;0;11;"RO";"JARU (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;890;2185;15111303.3628523;29036.2930606412;33126.226087624;70064.8542730257;50514.9658944362;182742.339803664;22252.3555909496;204994.695394613;3645.12919051513;56238
2004;"1100122";"1005";0;0;11;"RO";"JI PARANA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2390;820;6373680.9532178;23713.6818086184;72025.0169449482;202517.296673143;97660.5159643158;395916.511391025;59559.5236348592;455476.035025884;4015.09235962461;113441
2004;"1100130";"1002";0;0;11;"RO";"MACHADINHO D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;2190;5020778.86789153;14480.8386659914;11792.3239961924;18671.0582457866;25728.0522675095;70672.2731754799;5808.31245725583;76480.5861206722;2575.27974762329;29698
2004;"1100148";"1005";0;0;11;"RO";"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1075;2790652.73647576;11479.7631339378;3549.36141709279;9541.99869645233;16083.0716573388;40654.1953927582;3537.60166090236;44191.7970536606;2454.69113532908;18003
