"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2015;"ACRELANDIA (AC)";"AC";"ACRELANDIA";230;7;44;281
2015;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";22;2;3;27
2015;"BRASILEIA (AC)";"AC";"BRASILEIA";218;3;13;234
2015;"BUJARI (AC)";"AC";"BUJARI";102;3;11;116
2015;"CAPIXABA (AC)";"AC";"CAPIXABA";76;1;12;89
2015;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";698;58;68;824
2015;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";207;2;14;223
2015;"FEIJO (AC)";"AC";"FEIJO";111;2;6;119
2015;"JORDAO (AC)";"AC";"JORDAO";3;0;0;3
2015;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";79;3;9;91
2015;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";25;1;5;31
2015;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";10;0;5;15
2015;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";142;3;17;162
2015;"PORTO ACRE (AC)";"AC";"PORTO ACRE";154;1;30;185
2015;"PORTO WALTER (AC)";"AC";"PORTO WALTER";8;0;3;11
2015;"RIO BRANCO (AC)";"AC";"RIO BRANCO";4102;218;730;5050
2015;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";15;0;7;22
2015;"SANTA ROSA DO PURUS (AC)";"AC";"SANTA ROSA DO PURUS";4;0;3;7
2015;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";96;3;8;107
2015;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";340;9;27;376
2015;"TARAUACA (AC)";"AC";"TARAUACA";138;21;24;183
2015;"XAPURI (AC)";"AC";"XAPURI";68;4;5;77
2015;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";69;69;11;149
2015;"ANADIA (AL)";"AL";"ANADIA";46;44;40;130
2015;"ARAPIRACA (AL)";"AL";"ARAPIRACA";2894;401;343;3638
2015;"ATALAIA (AL)";"AL";"ATALAIA";199;49;135;383
2015;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";29;5;22;56
2015;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";29;3;7;39
2015;"BATALHA (AL)";"AL";"BATALHA";104;37;10;151
2015;"BELEM (AL)";"AL";"BELEM";11;21;6;38
2015;"BELO MONTE (AL)";"AL";"BELO MONTE";35;11;7;53
2015;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";220;73;98;391
2015;"BRANQUINHA (AL)";"AL";"BRANQUINHA";31;18;19;68
2015;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";59;44;12;115
2015;"CAJUEIRO (AL)";"AL";"CAJUEIRO";85;9;47;141
2015;"CAMPESTRE (AL)";"AL";"CAMPESTRE";28;52;8;88
2015;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";130;110;122;362
2015;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";43;19;19;81
2015;"CANAPI (AL)";"AL";"CANAPI";42;38;19;99
2015;"CAPELA (AL)";"AL";"CAPELA";64;6;53;123
2015;"CARNEIROS (AL)";"AL";"CARNEIROS";35;9;5;49
2015;"CHA PRETA (AL)";"AL";"CHA PRETA";28;6;6;40
2015;"COITE DO NOIA (AL)";"AL";"COITE DO NOIA";60;8;25;93
2015;"COLONIA LEOPOLDINA (AL)";"AL";"COLONIA LEOPOLDINA";70;25;32;127
2015;"COQUEIRO SECO (AL)";"AL";"COQUEIRO SECO";9;3;8;20
2015;"CORURIPE (AL)";"AL";"CORURIPE";341;78;221;640
2015;"CRAIBAS (AL)";"AL";"CRAIBAS";132;34;26;192
2015;"DELMIRO GOUVEIA (AL)";"AL";"DELMIRO GOUVEIA";536;387;61;984
2015;"DOIS RIACHOS (AL)";"AL";"DOIS RIACHOS";74;14;12;100
2015;"ESTRELA DE ALAGOAS (AL)";"AL";"ESTRELA DE ALAGOAS";49;95;25;169
2015;"FEIRA GRANDE (AL)";"AL";"FEIRA GRANDE";78;2;44;124
2015;"FELIZ DESERTO (AL)";"AL";"FELIZ DESERTO";10;4;11;25
2015;"FLEXEIRAS (AL)";"AL";"FLEXEIRAS";31;19;40;90
2015;"GIRAU DO PONCIANO (AL)";"AL";"GIRAU DO PONCIANO";188;58;65;311
2015;"IBATEGUARA (AL)";"AL";"IBATEGUARA";41;58;17;116
2015;"IGACI (AL)";"AL";"IGACI";113;112;39;264
2015;"IGREJA NOVA (AL)";"AL";"IGREJA NOVA";83;26;93;202
2015;"INHAPI (AL)";"AL";"INHAPI";70;21;7;98
2015;"JACARE DOS HOMENS (AL)";"AL";"JACARE DOS HOMENS";35;6;12;53
2015;"JACUIPE (AL)";"AL";"JACUIPE";11;12;16;39
2015;"JAPARATINGA (AL)";"AL";"JAPARATINGA";14;26;11;51
2015;"JARAMATAIA (AL)";"AL";"JARAMATAIA";27;10;7;44
2015;"JEQUIA DA PRAIA (AL)";"AL";"JEQUIA DA PRAIA";40;8;37;85
2015;"JOAQUIM GOMES (AL)";"AL";"JOAQUIM GOMES";101;27;75;203
2015;"JUNDIA (AL)";"AL";"JUNDIA";16;5;13;34
2015;"JUNQUEIRO (AL)";"AL";"JUNQUEIRO";194;33;110;337
2015;"LAGOA DA CANOA (AL)";"AL";"LAGOA DA CANOA";99;21;30;150
2015;"LIMOEIRO DE ANADIA (AL)";"AL";"LIMOEIRO DE ANADIA";124;24;49;197
2015;"MACEIO (AL)";"AL";"MACEIO";7283;1147;2016;10446
2015;"MAJOR ISIDORO (AL)";"AL";"MAJOR ISIDORO";89;28;26;143
2015;"MAR VERMELHO (AL)";"AL";"MAR VERMELHO";13;2;9;24
2015;"MARAGOGI (AL)";"AL";"MARAGOGI";76;117;36;229
2015;"MARAVILHA (AL)";"AL";"MARAVILHA";54;44;8;106
2015;"MARECHAL DEODORO (AL)";"AL";"MARECHAL DEODORO";289;71;142;502
2015;"MARIBONDO (AL)";"AL";"MARIBONDO";69;17;15;101
2015;"MATA GRANDE (AL)";"AL";"MATA GRANDE";62;34;13;109
2015;"MATRIZ DE CAMARAGIBE (AL)";"AL";"MATRIZ DE CAMARAGIBE";133;28;123;284
2015;"MESSIAS (AL)";"AL";"MESSIAS";69;41;91;201
2015;"MINADOR DO NEGRAO (AL)";"AL";"MINADOR DO NEGRAO";45;15;8;68
2015;"MONTEIROPOLIS (AL)";"AL";"MONTEIROPOLIS";12;2;5;19
2015;"MURICI (AL)";"AL";"MURICI";109;23;101;233
2015;"NOVO LINO (AL)";"AL";"NOVO LINO";52;32;59;143
2015;"OLHO D AGUA DAS FLORES (AL)";"AL";"OLHO D AGUA DAS FLORES";113;100;27;240
2015;"OLHO D AGUA DO CASADO (AL)";"AL";"OLHO D AGUA DO CASADO";32;16;7;55
2015;"OLHO D AGUA GRANDE (AL)";"AL";"OLHO D AGUA GRANDE";16;2;13;31
2015;"OLIVENCA (AL)";"AL";"OLIVENCA";63;24;9;96
2015;"OURO BRANCO (AL)";"AL";"OURO BRANCO";73;36;28;137
2015;"PALESTINA (AL)";"AL";"PALESTINA";14;12;5;31
2015;"PALMEIRA DOS INDIOS (AL)";"AL";"PALMEIRA DOS INDIOS";606;243;69;918
2015;"PAO DE ACUCAR (AL)";"AL";"PAO DE ACUCAR";78;37;13;128
2015;"PARICONHA (AL)";"AL";"PARICONHA";42;25;15;82
2015;"PARIPUEIRA (AL)";"AL";"PARIPUEIRA";60;7;17;84
2015;"PASSO DE CAMARAGIBE (AL)";"AL";"PASSO DE CAMARAGIBE";37;8;32;77
2015;"PAULO JACINTO (AL)";"AL";"PAULO JACINTO";15;9;10;34
2015;"PENEDO (AL)";"AL";"PENEDO";252;68;232;552
2015;"PIACABUCU (AL)";"AL";"PIACABUCU";31;12;17;60
2015;"PILAR (AL)";"AL";"PILAR";156;53;67;276
2015;"PINDOBA (AL)";"AL";"PINDOBA";7;1;4;12
2015;"PIRANHAS (AL)";"AL";"PIRANHAS";85;90;16;191
2015;"POCO DAS TRINCHEIRAS (AL)";"AL";"POCO DAS TRINCHEIRAS";62;57;23;142
2015;"PORTO CALVO (AL)";"AL";"PORTO CALVO";192;117;70;379
2015;"PORTO DE PEDRAS (AL)";"AL";"PORTO DE PEDRAS";15;11;10;36
2015;"PORTO REAL DO COLEGIO (AL)";"AL";"PORTO REAL DO COLEGIO";30;31;21;82
2015;"QUEBRANGULO (AL)";"AL";"QUEBRANGULO";41;7;10;58
2015;"RIO LARGO (AL)";"AL";"RIO LARGO";451;192;196;839
2015;"ROTEIRO (AL)";"AL";"ROTEIRO";11;26;10;47
2015;"SANTA LUZIA DO NORTE (AL)";"AL";"SANTA LUZIA DO NORTE";21;7;56;84
2015;"SANTANA DO IPANEMA (AL)";"AL";"SANTANA DO IPANEMA";428;210;41;679
2015;"SANTANA DO MUNDAU (AL)";"AL";"SANTANA DO MUNDAU";76;39;11;126
2015;"SAO BRAS (AL)";"AL";"SAO BRAS";4;5;6;15
2015;"SAO JOSE DA LAJE (AL)";"AL";"SAO JOSE DA LAJE";107;75;51;233
2015;"SAO JOSE DA TAPERA (AL)";"AL";"SAO JOSE DA TAPERA";123;69;26;218
2015;"SAO LUIS DO QUITUNDE (AL)";"AL";"SAO LUIS DO QUITUNDE";219;31;170;420
2015;"SAO MIGUEL DOS CAMPOS (AL)";"AL";"SAO MIGUEL DOS CAMPOS";446;151;154;751
2015;"SAO MIGUEL DOS MILAGRES (AL)";"AL";"SAO MIGUEL DOS MILAGRES";31;4;8;43
2015;"SAO SEBASTIAO (AL)";"AL";"SAO SEBASTIAO";164;40;132;336
2015;"SATUBA (AL)";"AL";"SATUBA";58;15;24;97
2015;"SENADOR RUI PALMEIRA (AL)";"AL";"SENADOR RUI PALMEIRA";36;18;15;69
2015;"TANQUE D ARCA (AL)";"AL";"TANQUE D ARCA";15;20;8;43
2015;"TAQUARANA (AL)";"AL";"TAQUARANA";101;63;34;198
2015;"TEOTONIO VILELA (AL)";"AL";"TEOTONIO VILELA";196;89;180;465
2015;"TRAIPU (AL)";"AL";"TRAIPU";97;18;20;135
2015;"UNIAO DOS PALMARES (AL)";"AL";"UNIAO DOS PALMARES";497;237;187;921
2015;"VICOSA (AL)";"AL";"VICOSA";141;24;48;213
2015;"ALVARAES (AM)";"AM";"ALVARAES";8;0;3;11
2015;"AMATURA (AM)";"AM";"AMATURA";3;0;1;4
2015;"ANAMA (AM)";"AM";"ANAMA";1;0;6;7
2015;"ANORI (AM)";"AM";"ANORI";7;0;3;10
2015;"APUI (AM)";"AM";"APUI";140;2;27;169
2015;"ATALAIA DO NORTE (AM)";"AM";"ATALAIA DO NORTE";2;1;1;4
2015;"AUTAZES (AM)";"AM";"AUTAZES";31;5;20;56
2015;"BARCELOS (AM)";"AM";"BARCELOS";11;1;1;13
2015;"BARREIRINHA (AM)";"AM";"BARREIRINHA";7;0;6;13
2015;"BENJAMIN CONSTANT (AM)";"AM";"BENJAMIN CONSTANT";12;6;4;22
2015;"BERURI (AM)";"AM";"BERURI";2;0;0;2
2015;"BOA VISTA DO RAMOS (AM)";"AM";"BOA VISTA DO RAMOS";3;0;1;4
2015;"BOCA DO ACRE (AM)";"AM";"BOCA DO ACRE";56;4;7;67
2015;"BORBA (AM)";"AM";"BORBA";18;0;5;23
2015;"CAAPIRANGA (AM)";"AM";"CAAPIRANGA";9;1;8;18
2015;"CANUTAMA (AM)";"AM";"CANUTAMA";5;0;1;6
2015;"CARAUARI (AM)";"AM";"CARAUARI";39;1;1;41
2015;"CAREIRO (AM)";"AM";"CAREIRO";71;44;65;180
2015;"CAREIRO DA VARZEA (AM)";"AM";"CAREIRO DA VARZEA";23;24;40;87
2015;"COARI (AM)";"AM";"COARI";140;6;13;159
