"ano";"chave";"estado";"municipio";"total.contratos";"valores.totais"
2015;" ACRELANDIA (AC)";"AC";" ACRELANDIA";280;7092682.6
2015;" ASSIS BRASIL (AC)";"AC";" ASSIS BRASIL";1;4360.77
2015;" BRASILEIA (AC)";"AC";" BRASILEIA";116;2777296.82
2015;" BUJARI (AC)";"AC";" BUJARI";25;859967.26
2015;" CAPIXABA (AC)";"AC";" CAPIXABA";9;337057.39
2015;" CRUZEIRO DO SUL (AC)";"AC";" CRUZEIRO DO SUL";11;377736.14
2015;" EPITACIOLANDIA (AC)";"AC";" EPITACIOLANDIA";79;3462129.98
2015;" FEIJO (AC)";"AC";" FEIJO";350;4970730.76
2015;" JORDAO (AC)";"AC";" JORDAO";18;45000
2015;" MANCIO LIMA (AC)";"AC";" MANCIO LIMA";115;780479.3
2015;" MANOEL URBANO (AC)";"AC";" MANOEL URBANO";24;485588.03
2015;" PLACIDO DE CASTRO (AC)";"AC";" PLACIDO DE CASTRO";201;6186256.28
2015;" PORTO ACRE (AC)";"AC";" PORTO ACRE";200;5035207.4
2015;" RIO BRANCO (AC)";"AC";" RIO BRANCO";305;16557220.77
2015;" RODRIGUES ALVES (AC)";"AC";" RODRIGUES ALVES";6;172472.17
2015;" SANTA ROSA DO PURUS (AC)";"AC";" SANTA ROSA DO PURUS";4;68513.4
2015;" SENA MADUREIRA (AC)";"AC";" SENA MADUREIRA";1011;14955213.61
2015;" SENADOR GUIOMARD (AC)";"AC";" SENADOR GUIOMARD";169;5617940.38
2015;" TARAUACA (AC)";"AC";" TARAUACA";1232;16635269.33
2015;" XAPURI (AC)";"AC";" XAPURI";207;6501089.73
2015;" AGUA BRANCA (AL)";"AL";" AGUA BRANCA";562;2008918.22
2015;" ANADIA (AL)";"AL";" ANADIA";75;1242124.9
2015;" ARAPIRACA (AL)";"AL";" ARAPIRACA";536;2493122.87
2015;" ATALAIA (AL)";"AL";" ATALAIA";77;916963.78
2015;" BARRA DE SANTO ANTONIO (AL)";"AL";" BARRA DE SANTO ANTONIO";40;151000
2015;" BARRA DE SAO MIGUEL (AL)";"AL";" BARRA DE SAO MIGUEL";2;8000
2015;" BATALHA (AL)";"AL";" BATALHA";395;1207412.76
2015;" BELEM (AL)";"AL";" BELEM";94;415143.32
2015;" BELO MONTE (AL)";"AL";" BELO MONTE";479;1566439.13
2015;" BOCA DA MATA (AL)";"AL";" BOCA DA MATA";74;2432861.98
2015;" BRANQUINHA (AL)";"AL";" BRANQUINHA";92;1154726.51
2015;" CACIMBINHAS (AL)";"AL";" CACIMBINHAS";148;1023789.18
2015;" CAJUEIRO (AL)";"AL";" CAJUEIRO";22;70496.84
2015;" CAMPESTRE (AL)";"AL";" CAMPESTRE";45;174999
2015;" CAMPO ALEGRE (AL)";"AL";" CAMPO ALEGRE";4;99465.92
2015;" CAMPO GRANDE (AL)";"AL";" CAMPO GRANDE";319;2537171.21
2015;" CANAPI (AL)";"AL";" CANAPI";872;3072349.72
2015;" CAPELA (AL)";"AL";" CAPELA";16;283448.31
2015;" CARNEIROS (AL)";"AL";" CARNEIROS";80;228011.12
2015;" CHA PRETA (AL)";"AL";" CHA PRETA";31;461154.19
2015;" COITE DO NOIA (AL)";"AL";" COITE DO NOIA";390;2756283.12
2015;" COLONIA LEOPOLDINA (AL)";"AL";" COLONIA LEOPOLDINA";11;44000
