"ano";"cod_mun";"amc";"semiarido";"polos";"cod_uf";"uf";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2015;1100015;1001;0;0;11;"RO";"ALTA FLORESTA D OESTE (RO)";0;0;0;1050;0;0;0;350;0;0;"0";959598674656155;0;0;0;0;645;419;116261706845473;133801673187303;188652913759372;902742581129268;120857732571796;363798955247963;212285672303893;385027522478352;150530781847712;"25578"
2015;1100023;1002;0;0;11;"RO";"ARIQUEMES (RO)";0;0;0;7402;0;0;0;2243;0;0;"0";529881249110132;0;0;0;0;2360;407;113905069220481;118494001593401;292464681844002;773333870251032;479314694302201;166360724707673;198744036057889;186235128404852;178384458539681;"104401"
2015;1100031;1001;0;0;11;"RO";"CABIXI (RO)";0;0;0;73254;0;0;0;21050;0;0;"0";535392087213157;0;0;0;0;118;194;584996509092028;46416506221269;298957483668127;190714798862088;332204004382279;10169796229629;483136364566782;106529325941958;167630738839734;"6355"
2015;1100049;1003;0;0;11;"RO";"CACOAL (RO)";0;0;0;750;0;0;0;250;0;0;"0";685427624754396;0;0;0;0;2191;566;170699684550336;151796529969627;186168247758672;717373219373124;405612723578656;146095072068008;17902855670647;163997927738655;18801499083853;"87226"
2015;1100056;1001;0;0;11;"RO";"CEREJEIRAS (RO)";0;0;0;92340;0;0;0;27000;0;0;"0";676517065632589;0;0;0;163405945741448;452;103;303917685773565;432941338948573;193506052069823;157368818030066;84841371408906;304854927626908;586375153541064;363492442981015;202097421255334;"17986"
2015;1100064;1001;0;0;11;"RO";"COLORADO DO OESTE (RO)";0;0;0;9900;0;0;0;3000;0;0;"0";723537400690741;0;0;0;0;461;287;836181128540592;629669823897276;223841150405068;726276872126184;861856777617493;244164462404602;166381058055247;260802568210127;138599406098087;"18817"
2015;1100072;1001;0;0;11;"RO";"CORUMBIARA (RO)";0;0;0;129825;0;0;0;39450;0;0;"0";930189260036693;0;0;0;319866224885385;110;409;920824575868574;879960493101276;848786504465612;240799333547186;464840811599382;167047928869441;742156265299219;174469490608529;197319076807296;"8842"
2015;1100080;1001;0;0;11;"RO";"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;182;254;758305272799307;546102241133275;410659521696302;328728886324774;730411152221863;164630823184954;642458532519943;171055409424057;10272979042014;"16651"
2015;1100098;1004;0;0;11;"RO";"ESPIGAO D OESTE (RO)";0;0;0;2700;0;0;0;900;0;0;"0";246753944911583;0;0;0;0;795;192;535271622851155;931841451339541;365008817256969;133616360060771;139872746016374;403174133850699;39119989328523;442294123179222;136573738991063;"32385"
2015;1100106;1001;0;0;11;"RO";"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;927;65;146893975069141;403503757823251;220231834757671;262953310322309;210376219907598;535703088574096;87997703475462;623700792049558;133749503006025;"46632"
