"ano";"chave";"estado";"municipio";"total.contratos";"valores.totais"
2009;"ACRELANDIA (AC)";"AC";"ACRELANDIA";785;10875993.61
2009;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";108;585450.19
2009;"BRASILEIA (AC)";"AC";"BRASILEIA";673;4998472.16
2009;"BUJARI (AC)";"AC";"BUJARI";135;7708131.9
2009;"CAPIXABA (AC)";"AC";"CAPIXABA";246;2308360.34
2009;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";408;2043524.72
2009;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";304;2297645.54
2009;"FEIJO (AC)";"AC";"FEIJO";305;1502181.12
2009;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";169;491107.91
2009;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";53;423993.5
2009;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";58;116000
2009;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";489;5199383.01
2009;"PORTO ACRE (AC)";"AC";"PORTO ACRE";301;3301270.8
2009;"RIO BRANCO (AC)";"AC";"RIO BRANCO";807;20316229.71
2009;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";338;492391.86
2009;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";291;7522934.03
2009;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";481;5831047.26
2009;"TARAUACA (AC)";"AC";"TARAUACA";144;964400
2009;"XAPURI (AC)";"AC";"XAPURI";131;5094072.4
2009;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";513;878813.99
2009;"ANADIA (AL)";"AL";"ANADIA";62;1307257.56
2009;"ARAPIRACA (AL)";"AL";"ARAPIRACA";974;21722293.1
2009;"ATALAIA (AL)";"AL";"ATALAIA";88;2621502.45
2009;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";2;101139
2009;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";22;66590.19
2009;"BATALHA (AL)";"AL";"BATALHA";304;1104512.69
2009;"BELEM (AL)";"AL";"BELEM";20;34304
2009;"BELO MONTE (AL)";"AL";"BELO MONTE";671;1182123.44
2009;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";117;5013338.09
2009;"BRANQUINHA (AL)";"AL";"BRANQUINHA";290;1670073.02
2009;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";182;633684.52
2009;"CAJUEIRO (AL)";"AL";"CAJUEIRO";38;1123418.44
2009;"CAMPESTRE (AL)";"AL";"CAMPESTRE";109;1006900.38
2009;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";13;1874748.7
2009;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";500;5503428.27
2009;"CANAPI (AL)";"AL";"CANAPI";607;1313848.64
2009;"CAPELA (AL)";"AL";"CAPELA";59;1521742.33
2009;"CARNEIROS (AL)";"AL";"CARNEIROS";86;190593.52
2009;"CHA PRETA (AL)";"AL";"CHA PRETA";176;1293811.54
2009;"COITE DO NOIA (AL)";"AL";"COITE DO NOIA";473;3575517.04
2009;"COLONIA LEOPOLDINA (AL)";"AL";"COLONIA LEOPOLDINA";26;336767.58
2009;"COQUEIRO SECO (AL)";"AL";"COQUEIRO SECO";23;116825.28
2009;"CORURIPE (AL)";"AL";"CORURIPE";1056;40071590.56
2009;"CRAIBAS (AL)";"AL";"CRAIBAS";882;2245789.59
2009;"DELMIRO GOUVEIA (AL)";"AL";"DELMIRO GOUVEIA";436;991423.95
2009;"DOIS RIACHOS (AL)";"AL";"DOIS RIACHOS";367;650568.28
2009;"ESTRELA DE ALAGOAS (AL)";"AL";"ESTRELA DE ALAGOAS";672;1521735.96
2009;"FEIRA GRANDE (AL)";"AL";"FEIRA GRANDE";1072;2316679.81
2009;"FELIZ DESERTO (AL)";"AL";"FELIZ DESERTO";36;1149542.2
2009;"FLEXEIRAS (AL)";"AL";"FLEXEIRAS";13;1024024.9
2009;"GIRAU DO PONCIANO (AL)";"AL";"GIRAU DO PONCIANO";1283;3608641.2
2009;"IBATEGUARA (AL)";"AL";"IBATEGUARA";243;3188041.77
2009;"IGACI (AL)";"AL";"IGACI";552;2298891.91
2009;"IGREJA NOVA (AL)";"AL";"IGREJA NOVA";1582;5234103.58
2009;"INHAPI (AL)";"AL";"INHAPI";594;1169443.57
2009;"JACARE DOS HOMENS (AL)";"AL";"JACARE DOS HOMENS";213;414016.79
2009;"JACUIPE (AL)";"AL";"JACUIPE";27;403442.59
2009;"JAPARATINGA (AL)";"AL";"JAPARATINGA";167;440433.05
2009;"JARAMATAIA (AL)";"AL";"JARAMATAIA";123;177736.78
2009;"JEQUIA DA PRAIA (AL)";"AL";"JEQUIA DA PRAIA";167;846376.12
2009;"JOAQUIM GOMES (AL)";"AL";"JOAQUIM GOMES";678;3232584.18
2009;"JUNDIA (AL)";"AL";"JUNDIA";39;866175.9
2009;"JUNQUEIRO (AL)";"AL";"JUNQUEIRO";1042;4101802.59
2009;"LAGOA DA CANOA (AL)";"AL";"LAGOA DA CANOA";576;1231164.65
2009;"LIMOEIRO DE ANADIA (AL)";"AL";"LIMOEIRO DE ANADIA";362;2278212.87
2009;"MACEIO (AL)";"AL";"MACEIO";600;40541838.6
