"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"RO-ALTA FLORESTA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ALTA FLORESTA D OESTE";"ALTA FLORESTA D OESTE (RO)";2017
"RO-ARIQUEMES";0;0;0;0;0;0;0;0;0;"RO";"ARIQUEMES";"ARIQUEMES (RO)";2017
"RO-CABIXI";0;0;0;0;0;0;0;0;0;"RO";"CABIXI";"CABIXI (RO)";2017
"RO-CACOAL";0;0;0;0;0;0;0;0;0;"RO";"CACOAL";"CACOAL (RO)";2017
"RO-CEREJEIRAS";0;0;0;0;0;0;3037.01999999955;0;3037.01999999955;"RO";"CEREJEIRAS";"CEREJEIRAS (RO)";2017
"RO-COLORADO DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"COLORADO DO OESTE";"COLORADO DO OESTE (RO)";2017
"RO-CORUMBIARA";0;0;0;0;0;0;0;0;0;"RO";"CORUMBIARA";"CORUMBIARA (RO)";2017
"RO-COSTA MARQUES";0;0;0;0;0;0;0;0;0;"RO";"COSTA MARQUES";"COSTA MARQUES (RO)";2017
"RO-ESPIGAO D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ESPIGAO D OESTE";"ESPIGAO D OESTE (RO)";2017
"RO-GUAJARA-MIRIM";0;0;0;0;0;0;0;0;0;"RO";"GUAJARA-MIRIM";"GUAJARA-MIRIM (RO)";2017
"RO-JARU";0;0;0;0;0;0;0;0;0;"RO";"JARU";"JARU (RO)";2017
"RO-JI-PARANA";0;0;0;0;0;0;0;0;0;"RO";"JI-PARANA";"JI-PARANA (RO)";2017
"RO-MACHADINHO D OESTE";0;0;0;0;0;0;0;0;0;"RO";"MACHADINHO D OESTE";"MACHADINHO D OESTE (RO)";2017
"RO-NOVA BRASILANDIA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"NOVA BRASILANDIA D OESTE";"NOVA BRASILANDIA D OESTE (RO)";2017
"RO-OURO PRETO DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"OURO PRETO DO OESTE";"OURO PRETO DO OESTE (RO)";2017
"RO-PIMENTA BUENO";0;0;0;0;0;0;0;0;0;"RO";"PIMENTA BUENO";"PIMENTA BUENO (RO)";2017
"RO-PORTO VELHO";0;0;0;0;0;0;0;0;0;"RO";"PORTO VELHO";"PORTO VELHO (RO)";2017
"RO-PRESIDENTE MEDICI";0;0;0;0;0;0;0;0;0;"RO";"PRESIDENTE MEDICI";"PRESIDENTE MEDICI (RO)";2017
"RO-RIO CRESPO";0;0;0;0;0;0;0;0;0;"RO";"RIO CRESPO";"RIO CRESPO (RO)";2017
"RO-ROLIM DE MOURA";0;0;0;0;0;0;0;0;0;"RO";"ROLIM DE MOURA";"ROLIM DE MOURA (RO)";2017
"RO-SANTA LUZIA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"SANTA LUZIA D OESTE";"SANTA LUZIA D OESTE (RO)";2017
"RO-VILHENA";0;0;0;0;0;0;0;0;0;"RO";"VILHENA";"VILHENA (RO)";2017
"RO-SAO MIGUEL DO GUAPORE";0;0;0;0;0;0;1500;0;1500;"RO";"SAO MIGUEL DO GUAPORE";"SAO MIGUEL DO GUAPORE (RO)";2017
"RO-NOVA MAMORE";0;0;0;0;0;0;0;0;0;"RO";"NOVA MAMORE";"NOVA MAMORE (RO)";2017
"RO-ALVORADA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ALVORADA D OESTE";"ALVORADA D OESTE (RO)";2017
"RO-ALTO ALEGRE DOS PARECIS";0;0;0;0;0;0;0;0;0;"RO";"ALTO ALEGRE DOS PARECIS";"ALTO ALEGRE DOS PARECIS (RO)";2017
"RO-ALTO PARAISO";0;0;0;0;0;0;0;0;0;"RO";"ALTO PARAISO";"ALTO PARAISO (RO)";2017
"RO-BURITIS";0;0;0;0;0;0;0;0;0;"RO";"BURITIS";"BURITIS (RO)";2017
"RO-NOVO HORIZONTE DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"NOVO HORIZONTE DO OESTE";"NOVO HORIZONTE DO OESTE (RO)";2017
"RO-CACAULANDIA";0;0;0;0;0;0;0;0;0;"RO";"CACAULANDIA";"CACAULANDIA (RO)";2017
"RO-CAMPO NOVO DE RONDONIA";0;0;0;0;0;0;0;0;0;"RO";"CAMPO NOVO DE RONDONIA";"CAMPO NOVO DE RONDONIA (RO)";2017
"RO-CANDEIAS DO JAMARI";0;0;0;0;0;0;0;0;0;"RO";"CANDEIAS DO JAMARI";"CANDEIAS DO JAMARI (RO)";2017
"RO-CASTANHEIRAS";0;0;0;0;0;0;0;0;0;"RO";"CASTANHEIRAS";"CASTANHEIRAS (RO)";2017
"RO-CHUPINGUAIA";0;0;0;0;0;0;0;0;0;"RO";"CHUPINGUAIA";"CHUPINGUAIA (RO)";2017
"RO-CUJUBIM";0;0;0;0;0;0;1331.21000000089;0;1331.21000000089;"RO";"CUJUBIM";"CUJUBIM (RO)";2017
"RO-GOVERNADOR JORGE TEIXEIRA";0;0;0;0;0;0;0;0;0;"RO";"GOVERNADOR JORGE TEIXEIRA";"GOVERNADOR JORGE TEIXEIRA (RO)";2017
"RO-ITAPUA DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"ITAPUA DO OESTE";"ITAPUA DO OESTE (RO)";2017
"RO-MINISTRO ANDREAZZA";0;0;0;0;0;0;0;0;0;"RO";"MINISTRO ANDREAZZA";"MINISTRO ANDREAZZA (RO)";2017
"RO-MIRANTE DA SERRA";0;0;0;0;0;0;0;0;0;"RO";"MIRANTE DA SERRA";"MIRANTE DA SERRA (RO)";2017
"RO-MONTE NEGRO";0;0;0;0;0;0;0;0;0;"RO";"MONTE NEGRO";"MONTE NEGRO (RO)";2017
"RO-NOVA UNIAO";0;0;0;0;0;0;0;0;0;"RO";"NOVA UNIAO";"NOVA UNIAO (RO)";2017
"RO-PARECIS";0;0;0;0;0;0;0;0;0;"RO";"PARECIS";"PARECIS (RO)";2017
"RO-PIMENTEIRAS DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"PIMENTEIRAS DO OESTE";"PIMENTEIRAS DO OESTE (RO)";2017
"RO-PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0;0;"RO";"PRIMAVERA DE RONDONIA";"PRIMAVERA DE RONDONIA (RO)";2017
"RO-SAO FELIPE D OESTE";0;0;0;0;0;0;0;0;0;"RO";"SAO FELIPE D OESTE";"SAO FELIPE D OESTE (RO)";2017
"RO-SAO FRANCISCO DO GUAPORE";0;0;0;0;0;0;0;0;0;"RO";"SAO FRANCISCO DO GUAPORE";"SAO FRANCISCO DO GUAPORE (RO)";2017
"RO-SERINGUEIRAS";0;0;0;0;0;0;0;0;0;"RO";"SERINGUEIRAS";"SERINGUEIRAS (RO)";2017
"RO-TEIXEIROPOLIS";0;0;0;0;0;0;0;0;0;"RO";"TEIXEIROPOLIS";"TEIXEIROPOLIS (RO)";2017
"RO-THEOBROMA";0;0;0;0;0;0;0;0;0;"RO";"THEOBROMA";"THEOBROMA (RO)";2017
"RO-URUPA";0;0;0;0;0;0;0;0;0;"RO";"URUPA";"URUPA (RO)";2017
"RO-VALE DO ANARI";0;0;0;0;0;0;0;0;0;"RO";"VALE DO ANARI";"VALE DO ANARI (RO)";2017
"RO-VALE DO PARAISO";0;0;0;0;0;0;0;0;0;"RO";"VALE DO PARAISO";"VALE DO PARAISO (RO)";2017
"AC-ACRELANDIA";0;0;0;0;0;0;0;0;0;"AC";"ACRELANDIA";"ACRELANDIA (AC)";2017
"AC-ASSIS BRASIL";0;0;0;0;0;0;0;0;0;"AC";"ASSIS BRASIL";"ASSIS BRASIL (AC)";2017
"AC-BRASILEIA";0;0;0;0;0;0;0;0;0;"AC";"BRASILEIA";"BRASILEIA (AC)";2017
"AC-BUJARI";0;0;0;0;0;0;0;0;0;"AC";"BUJARI";"BUJARI (AC)";2017
"AC-CAPIXABA";0;0;0;0;0;0;0;0;0;"AC";"CAPIXABA";"CAPIXABA (AC)";2017
"AC-CRUZEIRO DO SUL";0;0;0;0;0;0;0;0;0;"AC";"CRUZEIRO DO SUL";"CRUZEIRO DO SUL (AC)";2017
"AC-EPITACIOLANDIA";0;0;0;0;0;0;0;0;0;"AC";"EPITACIOLANDIA";"EPITACIOLANDIA (AC)";2017
"AC-FEIJO";0;0;0;0;0;0;0;0;0;"AC";"FEIJO";"FEIJO (AC)";2017
"AC-JORDAO";0;0;0;0;0;0;0;0;0;"AC";"JORDAO";"JORDAO (AC)";2017
"AC-MANCIO LIMA";0;0;0;0;0;0;0;0;0;"AC";"MANCIO LIMA";"MANCIO LIMA (AC)";2017
"AC-MANOEL URBANO";0;0;0;0;0;0;0;0;0;"AC";"MANOEL URBANO";"MANOEL URBANO (AC)";2017
"AC-MARECHAL THAUMATURGO";0;0;0;0;0;0;0;0;0;"AC";"MARECHAL THAUMATURGO";"MARECHAL THAUMATURGO (AC)";2017
"AC-PLACIDO DE CASTRO";0;0;0;0;0;0;0;0;0;"AC";"PLACIDO DE CASTRO";"PLACIDO DE CASTRO (AC)";2017
"AC-PORTO WALTER";0;0;0;0;0;0;0;0;0;"AC";"PORTO WALTER";"PORTO WALTER (AC)";2017
"AC-RIO BRANCO";0;0;0;0;0;0;0;0;0;"AC";"RIO BRANCO";"RIO BRANCO (AC)";2017
"AC-RODRIGUES ALVES";0;0;0;0;0;0;0;0;0;"AC";"RODRIGUES ALVES";"RODRIGUES ALVES (AC)";2017
"AC-SANTA ROSA DO PURUS";0;0;0;0;0;0;0;0;0;"AC";"SANTA ROSA DO PURUS";"SANTA ROSA DO PURUS (AC)";2017
"AC-SENADOR GUIOMARD";0;0;0;0;0;0;0;0;0;"AC";"SENADOR GUIOMARD";"SENADOR GUIOMARD (AC)";2017
"AC-SENA MADUREIRA";0;0;0;0;0;0;0;0;0;"AC";"SENA MADUREIRA";"SENA MADUREIRA (AC)";2017
"AC-TARAUACA";0;0;0;0;0;0;0;0;0;"AC";"TARAUACA";"TARAUACA (AC)";2017
"AC-XAPURI";0;0;0;0;0;0;0;0;0;"AC";"XAPURI";"XAPURI (AC)";2017
"AC-PORTO ACRE";0;0;0;0;0;0;0;0;0;"AC";"PORTO ACRE";"PORTO ACRE (AC)";2017
"AM-ALVARAES";0;0;0;0;0;0;0;0;0;"AM";"ALVARAES";"ALVARAES (AM)";2017
"AM-AMATURA";0;0;0;0;0;0;0;0;0;"AM";"AMATURA";"AMATURA (AM)";2017
"AM-ANAMA";0;0;0;0;0;0;0;0;0;"AM";"ANAMA";"ANAMA (AM)";2017
"AM-ANORI";0;0;0;0;0;0;0;0;0;"AM";"ANORI";"ANORI (AM)";2017
"AM-APUI";0;0;0;0;0;0;0;0;0;"AM";"APUI";"APUI (AM)";2017
"AM-ATALAIA DO NORTE";0;0;0;0;0;0;0;0;0;"AM";"ATALAIA DO NORTE";"ATALAIA DO NORTE (AM)";2017
"AM-AUTAZES";0;0;0;0;0;0;0;0;0;"AM";"AUTAZES";"AUTAZES (AM)";2017
"AM-BARCELOS";0;0;0;0;0;0;0;0;0;"AM";"BARCELOS";"BARCELOS (AM)";2017
"AM-BARREIRINHA";0;0;0;0;0;0;0;0;0;"AM";"BARREIRINHA";"BARREIRINHA (AM)";2017
"AM-BENJAMIN CONSTANT";0;0;0;0;0;0;0;0;0;"AM";"BENJAMIN CONSTANT";"BENJAMIN CONSTANT (AM)";2017
"AM-BERURI";0;0;0;0;0;0;0;0;0;"AM";"BERURI";"BERURI (AM)";2017
"AM-BOA VISTA DO RAMOS";0;0;0;0;0;0;0;0;0;"AM";"BOA VISTA DO RAMOS";"BOA VISTA DO RAMOS (AM)";2017
"AM-BOCA DO ACRE";0;0;0;0;0;0;0;0;0;"AM";"BOCA DO ACRE";"BOCA DO ACRE (AM)";2017
"AM-BORBA";0;0;0;0;0;0;0;0;0;"AM";"BORBA";"BORBA (AM)";2017
"AM-CAAPIRANGA";0;0;0;0;0;0;0;0;0;"AM";"CAAPIRANGA";"CAAPIRANGA (AM)";2017
"AM-CANUTAMA";0;0;0;0;0;0;0;0;0;"AM";"CANUTAMA";"CANUTAMA (AM)";2017
"AM-CARAUARI";0;0;0;0;0;0;0;0;0;"AM";"CARAUARI";"CARAUARI (AM)";2017
"AM-CAREIRO";0;0;0;0;0;0;0;0;0;"AM";"CAREIRO";"CAREIRO (AM)";2017
"AM-CAREIRO DA VARZEA";0;0;0;0;0;0;0;0;0;"AM";"CAREIRO DA VARZEA";"CAREIRO DA VARZEA (AM)";2017
"AM-COARI";0;0;0;0;0;0;0;0;0;"AM";"COARI";"COARI (AM)";2017
"AM-CODAJAS";0;0;0;0;0;0;0;0;0;"AM";"CODAJAS";"CODAJAS (AM)";2017
"AM-EIRUNEPE";0;0;0;0;0;0;0;0;0;"AM";"EIRUNEPE";"EIRUNEPE (AM)";2017
"AM-ENVIRA";0;0;0;0;0;0;0;0;0;"AM";"ENVIRA";"ENVIRA (AM)";2017
"AM-FONTE BOA";0;0;0;0;0;0;0;0;0;"AM";"FONTE BOA";"FONTE BOA (AM)";2017
"AM-GUAJARA";0;0;0;0;0;0;0;0;0;"AM";"GUAJARA";"GUAJARA (AM)";2017
"AM-HUMAITA";0;0;0;0;0;0;0;0;0;"AM";"HUMAITA";"HUMAITA (AM)";2017
"AM-IPIXUNA";0;0;0;0;0;0;0;0;0;"AM";"IPIXUNA";"IPIXUNA (AM)";2017
"AM-IRANDUBA";0;0;0;0;0;0;0;0;0;"AM";"IRANDUBA";"IRANDUBA (AM)";2017
"AM-ITACOATIARA";0;0;0;0;0;0;0;0;0;"AM";"ITACOATIARA";"ITACOATIARA (AM)";2017
"AM-ITAMARATI";0;0;0;0;0;0;0;0;0;"AM";"ITAMARATI";"ITAMARATI (AM)";2017
"AM-ITAPIRANGA";0;0;0;0;0;0;0;0;0;"AM";"ITAPIRANGA";"ITAPIRANGA (AM)";2017
"AM-JAPURA";0;0;0;0;0;0;0;0;0;"AM";"JAPURA";"JAPURA (AM)";2017
"AM-JURUA";0;0;0;0;0;0;0;0;0;"AM";"JURUA";"JURUA (AM)";2017
"AM-JUTAI";0;0;0;0;0;0;0;0;0;"AM";"JUTAI";"JUTAI (AM)";2017
"AM-LABREA";0;0;0;0;0;0;0;0;0;"AM";"LABREA";"LABREA (AM)";2017
"AM-MANACAPURU";0;0;0;0;0;0;0;0;0;"AM";"MANACAPURU";"MANACAPURU (AM)";2017
"AM-MANAQUIRI";0;0;0;0;0;0;0;0;0;"AM";"MANAQUIRI";"MANAQUIRI (AM)";2017
"AM-MANAUS";0;0;0;0;27212.8299999982;0;0;0;27212.8299999982;"AM";"MANAUS";"MANAUS (AM)";2017
"AM-MANICORE";0;0;0;0;3068.96999999974;0;0;0;3068.96999999974;"AM";"MANICORE";"MANICORE (AM)";2017
"AM-MARAA";0;0;0;0;0;0;0;0;0;"AM";"MARAA";"MARAA (AM)";2017
"AM-MAUES";0;0;0;0;0;0;0;0;0;"AM";"MAUES";"MAUES (AM)";2017
"AM-NHAMUNDA";0;0;0;0;0;0;0;0;0;"AM";"NHAMUNDA";"NHAMUNDA (AM)";2017
"AM-NOVA OLINDA DO NORTE";0;0;0;0;0;0;0;0;0;"AM";"NOVA OLINDA DO NORTE";"NOVA OLINDA DO NORTE (AM)";2017
"AM-NOVO AIRAO";0;0;0;0;0;0;0;0;0;"AM";"NOVO AIRAO";"NOVO AIRAO (AM)";2017
"AM-NOVO ARIPUANA";0;0;0;0;0;0;0;0;0;"AM";"NOVO ARIPUANA";"NOVO ARIPUANA (AM)";2017
"AM-PARINTINS";0;0;0;0;0;0;0;0;0;"AM";"PARINTINS";"PARINTINS (AM)";2017
"AM-PAUINI";0;0;0;0;0;0;0;0;0;"AM";"PAUINI";"PAUINI (AM)";2017
"AM-PRESIDENTE FIGUEIREDO";0;0;0;0;0;0;0;0;0;"AM";"PRESIDENTE FIGUEIREDO";"PRESIDENTE FIGUEIREDO (AM)";2017
"AM-RIO PRETO DA EVA";0;0;0;0;0;0;0;0;0;"AM";"RIO PRETO DA EVA";"RIO PRETO DA EVA (AM)";2017
"AM-SANTA ISABEL DO RIO NEGRO";0;0;0;0;0;0;0;0;0;"AM";"SANTA ISABEL DO RIO NEGRO";"SANTA ISABEL DO RIO NEGRO (AM)";2017
"AM-SANTO ANTONIO DO ICA";0;0;0;0;0;0;0;0;0;"AM";"SANTO ANTONIO DO ICA";"SANTO ANTONIO DO ICA (AM)";2017
"AM-SAO GABRIEL DA CACHOEIRA";0;0;0;0;0;0;0;0;0;"AM";"SAO GABRIEL DA CACHOEIRA";"SAO GABRIEL DA CACHOEIRA (AM)";2017
