Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
RS-PANAMBI;0;0;0;0;0;35459,9599999944;0;35459,9599999944
RS-PASSO FUNDO;0;0;1524,8200000003;0;0;8582,15000000037;0;10106,9700000007
RS-PEJUCARA;0;0;0;0;0;49571,8699999992;0;49571,8699999992
RS-PELOTAS;0;0;0;0;0;5625,20999999903;0;5625,20999999903
RS-PIRAPO;0;0;0;0;0;2303,23999999836;0;2303,23999999836
RS-PIRATINI;0;0;0;0;0;1727,73000000045;0;1727,73000000045
RS-PONTAO;0;0;0;0;0;6396,29999999888;0;6396,29999999888
RS-PORTO ALEGRE;0;0;0;0;0;8039,96000000089;0;8039,96000000089
RS-QUATRO IRMAOS;0;0;0;0;0;4440,87999999896;0;4440,87999999896
RS-RIO PARDO;0;0;0;0;0;1576;0;1576
RS-SANTA BARBARA DO SUL;0;0;0;0;0;14124,8399999999;0;14124,8399999999
RS-SANTA MARIA;0;0;0;0;0;7900,43999999762;0;7900,43999999762
RS-SANTO ANGELO;0;0;1234,18999999948;0;0;9420,3200000003;0;10654,5099999998
RS-SANTO ANTONIO DAS MISSOES;0;0;0;0;0;5186,09999999963;0;5186,09999999963
RS-SAO BORJA;0;0;0;0;0;1381,40000000037;0;1381,40000000037
RS-SAO GABRIEL;0;0;1769,33000000007;0;0;5099,66999999993;0;6869
RS-SAO JOSE DO OURO;0;0;0;0;0;8500,40999999829;0;8500,40999999829
RS-SAO LUIZ GONZAGA;0;0;0;0;0;2833,66999999993;0;2833,66999999993
RS-SAO MARTINHO DA SERRA;0;0;0;0;0;1143,3900000006;0;1143,3900000006
RS-SAO MIGUEL DAS MISSOES;0;0;0;0;0;1698,73999999929;0;1698,73999999929
RS-SAO SEPE;0;0;0;0;0;4208,56999999844;0;4208,56999999844
RS-SARANDI;0;0;0;0;0;3757,82999999821;0;3757,82999999821
RS-SEBERI;0;0;0;0;0;5778,6099999994;0;5778,6099999994
RS-SELBACH;0;0;0;0;0;2591,56000000052;0;2591,56000000052
RS-SERTAO;0;0;0;0;0;2655,19000000134;0;2655,19000000134
RS-SILVEIRA MARTINS;0;0;0;0;0;7209,71000000089;0;7209,71000000089
RS-SOBRADINHO;0;0;0;0;0;6014,71000000043;0;6014,71000000043
RS-TAPEJARA;0;0;0;0;0;1409,93999999948;0;1409,93999999948
RS-TAPES;0;0;0;0;0;4994,99000000022;0;4994,99000000022
RS-TRES DE MAIO;0;0;0;0;0;995,299999999814;0;995,299999999814
RS-TRES PALMEIRAS;0;0;0;0;0;1173,98000000045;0;1173,98000000045
RS-TUCUNDUVA;0;0;0;0;0;7920,01999999955;0;7920,01999999955
RS-TUPANCI DO SUL;0;0;0;0;0;3411,24999999814;0;3411,24999999814
RS-TUPANCIRETA;0;0;0;0;0;12089,8299999991;0;12089,8299999991
RS-VACARIA;0;0;0;0;0;2246,58999999985;0;2246,58999999985
RS-VICTOR GRAEFF;0;0;0;0;0;1325,73000000045;0;1325,73000000045
RS-VILA NOVA DO SUL;0;0;0;0;0;995,299999999814;0;995,299999999814
MS-AMAMBAI;0;0;867,580000000075;0;0;12038,0200000014;0;12905,6000000015
MS-ANTONIO JOAO;0;0;2945,90000000037;0;0;0;0;2945,90000000037
MS-ARAL MOREIRA;0;0;815,660000000149;0;0;36621,8000000017;0;37437,4600000018
MS-BANDEIRANTES;0;0;0;0;0;4386;0;4386
MS-BATAYPORA;0;0;0;0;0;5881,58999999985;0;5881,58999999985
MS-BONITO;0;0;0;0;0;5669,98000000045;0;5669,98000000045
MS-CAARAPO;0;0;0;0;0;16662,1799999988;0;16662,1799999988
MS-CAMAPUA;0;0;0;0;0;7589,84999999963;0;7589,84999999963
MS-CAMPO GRANDE;0;0;0;0;0;6399,76999999955;0;6399,76999999955
MS-COSTA RICA;0;0;0;0;3743,38999999873;6722,37000000011;0;10465,7599999988
MS-COXIM;0;0;0;0;0;3085,8599999994;0;3085,8599999994
MS-DOURADINA;0;0;0;0;0;850;0;850
MS-DOURADOS;0;0;1615,08000000007;0;0;45380,6300000036;0;46995,7100000037
MS-ELDORADO;0;0;0;0;0;6044,54000000097;0;6044,54000000097
MS-FATIMA DO SUL;0;0;0;0;0;1370,34999999963;0;1370,34999999963
MS-GUIA LOPES DA LAGUNA;0;0;0;0;0;4298,83000000007;0;4298,83000000007
MS-IGUATEMI;0;0;0;0;0;3939,66000000015;0;3939,66000000015
MS-ITAPORA;0;0;0;0;0;4668,81000000052;0;4668,81000000052
MS-MARACAJU;0;0;0;0;0;290300,720000004;0;290300,720000004
MS-MIRANDA;0;0;0;0;0;900;0;900
MS-NIOAQUE;0;0;0;0;0;2488,25999999978;0;2488,25999999978
MS-NOVA ALVORADA DO SUL;0;0;0;0;0;2466,34999999963;0;2466,34999999963
MS-PONTA PORA;0;0;0;0;0;37404,2200000016;0;37404,2200000016
MS-RIO BRILHANTE;0;0;0;0;0;18709,5199999977;0;18709,5199999977
MS-SAO GABRIEL DO OESTE;0;0;0;0;0;10083,4900000002;0;10083,4900000002
MS-SIDROLANDIA;0;0;0;0;0;17709,7600000016;0;17709,7600000016
MS-TAQUARUSSU;0;0;0;0;0;1523;0;1523
MT-AGUA BOA;0;0;0;0;0;16083,7699999991;0;16083,7699999991
MT-ALTO TAQUARI;0;0;0;0;0;9635,0700000003;0;9635,0700000003
MT-ARENAPOLIS;0;0;0;0;0;2109,71999999881;0;2109,71999999881
MT-CAMPO NOVO DO PARECIS;0;0;0;0;0;5269,36999999918;0;5269,36999999918
MT-CAMPO VERDE;0;0;0;0;0;1576;0;1576
MT-CAMPOS DE JULIO;0;0;2572,21999999881;0;0;9616,3200000003;0;12188,5399999991
MT-CANARANA;0;0;0;0;0;3211,68999999948;0;3211,68999999948
MT-CLAUDIA;0;0;0;0;0;12098,6400000025;0;12098,6400000025
MT-COCALINHO;0;0;0;0;0;14867,3799999971;0;14867,3799999971
MT-COMODORO;0;0;0;0;0;19438,2200000007;0;19438,2200000007
MT-CONFRESA;0;0;0;0;0;2960,96999999881;0;2960,96999999881
MT-DIAMANTINO;0;0;0;0;0;29916,5600000024;0;29916,5600000024
MT-FELIZ NATAL;0;0;0;0;0;5022,53999999911;0;5022,53999999911
MT-GAUCHA DO NORTE;0;0;0;0;0;4973,6799999997;0;4973,6799999997
MT-GUIRATINGA;0;0;0;0;0;2497,87999999989;0;2497,87999999989
MT-IPIRANGA DO NORTE;0;0;0;0;0;38076,7200000007;0;38076,7200000007
MT-ITANHANGA;0;0;0;0;0;1418,3900000006;0;1418,3900000006
MT-ITAUBA;0;0;0;0;0;8704,52999999747;0;8704,52999999747
MT-ITIQUIRA;0;0;0;0;0;9613,28000000212;0;9613,28000000212
MT-JACIARA;0;0;0;0;0;809,879999999888;0;809,879999999888
MT-JUSCIMEIRA;0;0;0;0;0;3310,71999999881;0;3310,71999999881
MT-LUCAS DO RIO VERDE;0;0;1495,25;0;0;78014,8100000005;0;79510,0600000005
MT-NOBRES;0;0;0;0;0;788;0;788
MT-NOVA NAZARE;0;0;0;0;0;1266,98000000045;0;1266,98000000045
MT-NOVA CANAA DO NORTE;0;0;0;0;0;2761,80999999959;0;2761,80999999959
MT-NOVA MUTUM;0;0;0;0;0;35605,3599999994;0;35605,3599999994
MT-NOVA UBIRATA;0;0;13299,1499999985;0;0;79035,3599999947;0;92334,5099999933
MT-NOVO MUNDO;0;0;0;0;0;2021,84999999963;0;2021,84999999963
MT-PARANATINGA;0;0;0;0;0;20029,3999999985;0;20029,3999999985
MT-PEDRA PRETA;0;0;0;0;0;4406,23000000045;0;4406,23000000045
MT-PLANALTO DA SERRA;0;0;0;0;0;5777,54999999702;0;5777,54999999702
MT-PORTO ALEGRE DO NORTE;0;0;0;0;0;4171,75999999791;0;4171,75999999791
MT-PORTO DOS GAUCHOS;0;0;0;0;0;1787,16999999993;0;1787,16999999993
MT-PORTO ESPERIDIAO;0;0;0;0;0;2399,73000000045;0;2399,73000000045
MT-PRIMAVERA DO LESTE;0;0;0;0;0;4116,41000000201;0;4116,41000000201
MT-QUERENCIA;0;0;0;0;0;8642,06000000052;0;8642,06000000052
MT-SANTA CARMEM;0;0;0;0;0;10255,4700000016;0;10255,4700000016
MT-RONDONOPOLIS;0;0;0;0;0;7234,67000000179;0;7234,67000000179
MT-SANTO ANTONIO DO LEVERGER;0;0;0;0;0;2836,09999999963;0;2836,09999999963
MT-SAPEZAL;0;0;3241,94999999925;0;0;41772,5300000003;0;45014,4799999995
MT-SINOP;0;0;0;0;0;2973,88999999873;0;2973,88999999873
MT-SORRISO;0;0;0;0;0;122734,059999996;0;122734,059999996
MT-TABAPORA;0;0;0;0;0;788;0;788
MT-TANGARA DA SERRA;0;0;0;0;0;1034,72000000067;0;1034,72000000067
MT-TAPURAH;0;0;0;0;0;24621,6200000001;0;24621,6200000001
MT-UNIAO DO SUL;0;0;0;0;0;0;0;0
MT-VERA;0;0;0;0;0;41734,0299999947;0;41734,0299999947
MT-NOVA GUARITA;0;0;0;0;0;1575,99000000022;0;1575,99000000022
MT-NOVA MARINGA;0;0;0;0;0;41145,7599999942;0;41145,7599999942
GO-ACREUNA;0;0;0;0;0;1581,25;0;1581,25
GO-AGUA LIMPA;0;0;0;0;0;0;2287,3200000003;2287,3200000003
GO-ANAPOLIS;0;0;3248,4299999997;0;0;0;0;3248,4299999997
GO-BOM JESUS DE GOIAS;0;0;0;0;0;1182;0;1182
GO-BONOPOLIS;0;0;0;0;0;10165,7799999956;0;10165,7799999956
GO-CABECEIRAS;0;0;0;0;0;4576,75999999885;0;4576,75999999885
GO-CACU;0;0;0;0;0;3399,88999999873;0;3399,88999999873
GO-CAIAPONIA;0;0;0;0;0;3070,16999999993;0;3070,16999999993
GO-CATALAO;0;0;0;0;0;16120,3000000017;0;16120,3000000017
GO-CRISTALINA;0;0;0;0;0;6894,76999999955;0;6894,76999999955
GO-DOVERLANDIA;0;0;0;0;0;9232,16999999993;0;9232,16999999993
GO-EDEIA;0;0;0;0;0;3919,12999999989;0;3919,12999999989
GO-FORMOSA;0;0;0;0;0;788;0;788
GO-GOIANIA;0;0;0;0;0;1506,72000000067;0;1506,72000000067
GO-GOIANIRA;0;0;0;0;0;2364;0;2364
GO-GOIATUBA;0;0;0;0;0;5098,09999999963;0;5098,09999999963
GO-IPAMERI;0;0;0;0;0;1796,25;0;1796,25
GO-ITUMBIARA;0;0;7131,37999999896;0;0;0;0;7131,37999999896
GO-JATAI;0;0;0;0;0;155073,419999987;0;155073,419999987
GO-JAUPACI;0;0;0;0;0;1637,8599999994;0;1637,8599999994
GO-LEOPOLDO DE BULHOES;0;0;0;0;0;2576,95000000112;0;2576,95000000112
GO-LUZIANIA;0;0;0;0;0;1182,08999999985;788;1970,08999999985
GO-MINEIROS;0;0;0;0;0;58480,8099999977;0;58480,8099999977
GO-MONTIVIDIU;0;0;1264,49000000022;0;0;15389,0000000019;7646,14999999851;24299,6400000006
GO-NEROPOLIS;0;0;0;0;0;1613,74000000022;0;1613,74000000022
GO-NIQUELANDIA;0;0;0;0;0;1805,16999999993;0;1805,16999999993
GO-PARAUNA;0;0;0;0;0;11541,3100000005;4447,75;15989,0600000005
GO-PEROLANDIA;0;0;0;0;0;36571,6000000006;0;36571,6000000006
GO-PIRES DO RIO;0;0;0;0;0;1576;0;1576
GO-PLANALTINA;0;0;0;0;0;1214,83000000007;0;1214,83000000007
GO-PORTELANDIA;0;0;0;0;0;9118,6400000006;0;9118,6400000006
GO-RIO VERDE;0;0;0;0;0;27371,1699999981;2458,44999999925;29829,6199999973
GO-SANTA CRUZ DE GOIAS;0;0;860,349999999627;0;0;3117,46000000089;0;3977,81000000052
GO-SANTA RITA DO ARAGUAIA;0;0;0;0;0;15232,9399999976;0;15232,9399999976
GO-SAO JOAO D ALIANCA;0;0;0;0;0;3152;0;3152
GO-SENADOR CANEDO;0;0;0;0;0;9877,93999999948;0;9877,93999999948
GO-SERRANOPOLIS;0;0;0;0;0;23767,3999999985;0;23767,3999999985
GO-SILVANIA;0;0;0;0;0;2215,71000000089;0;2215,71000000089
GO-VIANOPOLIS;0;0;0;0;0;6084,35000000149;0;6084,35000000149
DF-BRASILIA;0;0;0;0;0;10032,0600000005;0;10032,0600000005
Total;1162,24000000022;1156,25;82382,6099999929;9692776,56999996;45426,780000004;4864051,52999991;18415,6699999981;14705371,6499999

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2015
Vínculo Ativo 31/12;igual a;Sim
CBO Ocupação 2002;igual a;PRODUTOR DA CULTURA DE MAMONA
;;TRABALHADOR NA CULTURA DE MAMONA
;;PRODUTOR DA CULTURA DE DENDE
;;TRABALHADOR NA CULTURA DE DENDE
;;PRODUTOR DA CULTURA DE GIRASSOL
;;TRABALHADOR NA CULTURA DO GIRASSOL
;;PRODUTOR DA CULTURA DE SOJA
;;TRABALHADOR NA CULTURA DE SOJA
