Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
MG-ARAGUARI;0;0;0;0;0;59548,9199999999;0;59548,9199999999
MG-COIMBRA;0;0;885,509999999776;0;0;0;0;885,509999999776
MG-COROMANDEL;0;0;0;0;0;6791,58000000101;0;6791,58000000101
MG-ESTRELA DO INDAIA;0;0;0;0;0;3506,52999999933;0;3506,52999999933
MG-ESTRELA DO SUL;0;0;0;0;0;1120,09999999963;0;1120,09999999963
MG-FRUTAL;0;0;0;0;0;1214,83000000007;0;1214,83000000007
MG-GUARDA-MOR;0;0;0;0;0;1214,83000000007;0;1214,83000000007
MG-MONTE ALEGRE DE MINAS;0;0;0;0;0;1388,09999999963;0;1388,09999999963
MG-PARACATU;0;0;0;0;0;2439,09999999963;0;2439,09999999963
MG-PATROCINIO;0;0;0;0;0;2078,32999999821;0;2078,32999999821
MG-PRATA;0;0;0;0;0;2138,46000000089;0;2138,46000000089
MG-PRESIDENTE OLEGARIO;0;0;0;0;0;17955,3100000033;0;17955,3100000033
MG-SACRAMENTO;0;0;0;0;0;1576,01999999955;0;1576,01999999955
MG-TUPACIGUARA;0;0;0;0;0;5613,11999999825;0;5613,11999999825
MG-UBERLANDIA;0;0;0;0;0;9634,36000000034;0;9634,36000000034
RJ-BOM JESUS DO ITABAPOANA;0;0;0;0;0;2388,33000000007;0;2388,33000000007
RJ-RIO DE JANEIRO;1162,24000000022;0;0;0;0;0;0;1162,24000000022
SP-ARARAQUARA;0;0;0;0;0;1619,76999999955;0;1619,76999999955
SP-CAMPOS NOVOS PAULISTA;0;0;0;0;0;3206,66000000015;0;3206,66000000015
SP-COROADOS;0;0;0;0;0;1463,94999999925;0;1463,94999999925
SP-CRUZALIA;0;0;0;0;0;39980,1199999992;0;39980,1199999992
SP-DUMONT;0;0;0;0;1472,55000000075;0;0;1472,55000000075
SP-FLORINIA;0;0;0;0;0;40155,2999999933;0;40155,2999999933
SP-GUAIRA;0;0;0;0;0;6855,36999999732;0;6855,36999999732
SP-HERCULANDIA;0;0;0;0;24518,2500000019;0;0;24518,2500000019
SP-IBIRAREMA;0;0;0;0;0;47632,0799999963;0;47632,0799999963
SP-IEPE;0;0;0;0;0;5905,53999999911;0;5905,53999999911
SP-IPUA;0;0;0;0;0;2743,08999999985;0;2743,08999999985
SP-MARACAI;0;0;0;0;0;74532,8999999966;0;74532,8999999966
SP-MARTINOPOLIS;0;0;0;0;4280,65000000224;3093,55000000075;0;7374,20000000298
SP-MIGUELOPOLIS;0;0;0;0;0;14106,4699999969;0;14106,4699999969
SP-PALMITAL;0;0;0;0;0;18742,3999999966;0;18742,3999999966
SP-PIRACICABA;0;0;0;0;0;0;0;0
SP-PLATINA;0;0;0;0;0;3009,58999999985;0;3009,58999999985
SP-QUEIROZ;0;0;0;0;2739;0;0;2739
SP-RIBEIRAO DO SUL;0;0;0;0;0;12497,9599999972;0;12497,9599999972
SP-SAO PAULO;0;0;0;0;0;2267,3200000003;0;2267,3200000003
SP-TEODORO SAMPAIO;0;0;0;0;0;1476,51999999955;0;1476,51999999955
PR-ALTO PIQUIRI;0;0;0;0;0;19968,8000000007;0;19968,8000000007
PR-ALVORADA DO SUL;0;0;0;0;0;11955,9199999981;0;11955,9199999981
PR-ANAHY;0;0;0;0;0;4544,92999999784;0;4544,92999999784
PR-ANDIRA;0;0;0;0;0;960;0;960
PR-APUCARANA;0;0;0;0;0;1038,00999999978;0;1038,00999999978
PR-ARARUNA;0;0;0;0;0;6271,28999999911;0;6271,28999999911
PR-ARAUCARIA;0;0;0;0;0;1844,43999999948;0;1844,43999999948
PR-ARIRANHA DO IVAI;0;0;0;0;0;1098,05000000075;0;1098,05000000075
PR-ASTORGA;0;0;0;0;0;957,660000000149;0;957,660000000149
PR-ATALAIA;0;0;0;0;0;1048,75999999978;0;1048,75999999978
PR-BARBOSA FERRAZ;0;0;0;0;0;1203,88000000082;0;1203,88000000082
PR-BOA ESPERANCA;0;0;0;0;0;3045,95000000112;0;3045,95000000112
PR-BOM SUCESSO;0;0;788,080000000075;0;0;0;0;788,080000000075
PR-BRAGANEY;0;0;0;0;0;2445,36000000127;0;2445,36000000127
PR-CAFELANDIA;0;0;0;0;0;1004,08000000007;0;1004,08000000007
PR-CAMBE;0;0;0;0;0;22853,8199999984;0;22853,8199999984
PR-CAMBIRA;0;0;0;0;0;2518,94999999925;0;2518,94999999925
PR-CAMPINA DA LAGOA;0;0;0;0;0;7785,70000000298;0;7785,70000000298
PR-CAMPO BONITO;0;0;0;0;0;1182;0;1182
PR-CAMPO LARGO;0;0;0;0;0;7492,45999999903;0;7492,45999999903
PR-CAMPO MOURAO;0;0;0;0;0;63019,0100000026;0;63019,0100000026
PR-CANDOI;0;0;0;0;0;68065,6800000006;0;68065,6800000006
PR-CANTAGALO;0;0;0;0;0;21355,6700000018;0;21355,6700000018
PR-CAPITAO LEONIDAS MARQUES;0;0;0;0;0;4962,66000000015;0;4962,66000000015
PR-CASCAVEL;0;0;0;0;0;36748,5;0;36748,5
PR-CASTRO;0;0;0;0;0;7388,96999999881;0;7388,96999999881
PR-CATANDUVAS;0;0;0;0;0;1050,00999999978;0;1050,00999999978
PR-CENTENARIO DO SUL;0;0;0;0;0;1004,08000000007;0;1004,08000000007
