"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"RO-PIMENTEIRAS DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"PIMENTEIRAS DO OESTE";"PIMENTEIRAS DO OESTE (RO)";2008
"RO-PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0;0;"RO";"PRIMAVERA DE RONDONIA";"PRIMAVERA DE RONDONIA (RO)";2008
"RO-SAO FELIPE D OESTE";0;0;0;0;0;0;0;0;0;"RO";"SAO FELIPE D OESTE";"SAO FELIPE D OESTE (RO)";2008
"RO-SAO FRANCISCO DO GUAPORE";0;0;0;0;0;0;0;0;0;"RO";"SAO FRANCISCO DO GUAPORE";"SAO FRANCISCO DO GUAPORE (RO)";2008
"RO-SERINGUEIRAS";0;0;0;0;0;0;0;0;0;"RO";"SERINGUEIRAS";"SERINGUEIRAS (RO)";2008
"RO-TEIXEIROPOLIS";0;0;0;0;0;0;0;0;0;"RO";"TEIXEIROPOLIS";"TEIXEIROPOLIS (RO)";2008
"RO-THEOBROMA";0;0;0;0;0;0;0;0;0;"RO";"THEOBROMA";"THEOBROMA (RO)";2008
"RO-URUPA";0;0;0;0;0;0;0;0;0;"RO";"URUPA";"URUPA (RO)";2008
"RO-VALE DO ANARI";0;0;0;0;0;0;0;0;0;"RO";"VALE DO ANARI";"VALE DO ANARI (RO)";2008
"RO-VALE DO PARAISO";0;0;0;0;0;0;0;0;0;"RO";"VALE DO PARAISO";"VALE DO PARAISO (RO)";2008
"AC-ACRELANDIA";0;0;0;0;0;0;0;0;0;"AC";"ACRELANDIA";"ACRELANDIA (AC)";2008
"AC-ASSIS BRASIL";0;0;0;0;0;0;0;0;0;"AC";"ASSIS BRASIL";"ASSIS BRASIL (AC)";2008
"AC-BRASILEIA";0;0;0;0;0;0;0;0;0;"AC";"BRASILEIA";"BRASILEIA (AC)";2008
"AC-BUJARI";0;0;0;0;0;0;0;0;0;"AC";"BUJARI";"BUJARI (AC)";2008
"AC-CAPIXABA";0;0;0;0;0;0;0;0;0;"AC";"CAPIXABA";"CAPIXABA (AC)";2008
"AC-CRUZEIRO DO SUL";0;0;0;0;0;0;0;0;0;"AC";"CRUZEIRO DO SUL";"CRUZEIRO DO SUL (AC)";2008
"AC-EPITACIOLANDIA";0;0;0;0;0;0;0;0;0;"AC";"EPITACIOLANDIA";"EPITACIOLANDIA (AC)";2008
"AC-FEIJO";0;0;0;0;0;0;0;0;0;"AC";"FEIJO";"FEIJO (AC)";2008
"AC-JORDAO";0;0;0;0;0;0;0;0;0;"AC";"JORDAO";"JORDAO (AC)";2008
"AC-MANCIO LIMA";0;0;0;0;0;0;0;0;0;"AC";"MANCIO LIMA";"MANCIO LIMA (AC)";2008
"AC-MANOEL URBANO";0;0;0;0;0;0;0;0;0;"AC";"MANOEL URBANO";"MANOEL URBANO (AC)";2008
"AC-MARECHAL THAUMATURGO";0;0;0;0;0;0;0;0;0;"AC";"MARECHAL THAUMATURGO";"MARECHAL THAUMATURGO (AC)";2008
"AC-PLACIDO DE CASTRO";0;0;0;0;0;0;0;0;0;"AC";"PLACIDO DE CASTRO";"PLACIDO DE CASTRO (AC)";2008
"AC-PORTO WALTER";0;0;0;0;0;0;0;0;0;"AC";"PORTO WALTER";"PORTO WALTER (AC)";2008
"AC-RIO BRANCO";0;0;0;0;0;0;0;0;0;"AC";"RIO BRANCO";"RIO BRANCO (AC)";2008
"AC-RODRIGUES ALVES";0;0;0;0;0;0;0;0;0;"AC";"RODRIGUES ALVES";"RODRIGUES ALVES (AC)";2008
"AC-SANTA ROSA DO PURUS";0;0;0;0;0;0;0;0;0;"AC";"SANTA ROSA DO PURUS";"SANTA ROSA DO PURUS (AC)";2008
"AC-SENADOR GUIOMARD";0;0;0;0;0;0;0;0;0;"AC";"SENADOR GUIOMARD";"SENADOR GUIOMARD (AC)";2008
"AC-SENA MADUREIRA";0;0;0;0;0;0;0;0;0;"AC";"SENA MADUREIRA";"SENA MADUREIRA (AC)";2008
"AC-TARAUACA";0;0;0;0;0;0;0;0;0;"AC";"TARAUACA";"TARAUACA (AC)";2008
"AC-XAPURI";0;0;0;0;0;0;0;0;0;"AC";"XAPURI";"XAPURI (AC)";2008
"AC-PORTO ACRE";0;0;0;0;0;0;0;0;0;"AC";"PORTO ACRE";"PORTO ACRE (AC)";2008
"AM-ALVARAES";0;0;0;0;0;0;0;0;0;"AM";"ALVARAES";"ALVARAES (AM)";2008
"AM-AMATURA";0;0;0;0;0;0;0;0;0;"AM";"AMATURA";"AMATURA (AM)";2008
"AM-ANAMA";0;0;0;0;0;0;0;0;0;"AM";"ANAMA";"ANAMA (AM)";2008
"AM-ANORI";0;0;0;0;0;0;0;0;0;"AM";"ANORI";"ANORI (AM)";2008
"AM-APUI";0;0;0;0;0;0;0;0;0;"AM";"APUI";"APUI (AM)";2008
"AM-ATALAIA DO NORTE";0;0;0;0;0;0;0;0;0;"AM";"ATALAIA DO NORTE";"ATALAIA DO NORTE (AM)";2008
"AM-AUTAZES";0;0;0;0;0;0;0;0;0;"AM";"AUTAZES";"AUTAZES (AM)";2008
"AM-BARCELOS";0;0;0;0;0;0;0;0;0;"AM";"BARCELOS";"BARCELOS (AM)";2008
"AM-BARREIRINHA";0;0;0;0;0;0;0;0;0;"AM";"BARREIRINHA";"BARREIRINHA (AM)";2008
"AM-BENJAMIN CONSTANT";0;0;0;0;0;0;0;0;0;"AM";"BENJAMIN CONSTANT";"BENJAMIN CONSTANT (AM)";2008
"AM-BERURI";0;0;0;0;0;0;0;0;0;"AM";"BERURI";"BERURI (AM)";2008
