"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"RO-PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0;"RO";"PRIMAVERA DE RONDONIA";"PRIMAVERA DE RONDONIA (RO)";2015
"RO-SAO FELIPE D OESTE";0;0;0;0;0;0;0;0;"RO";"SAO FELIPE D OESTE";"SAO FELIPE D OESTE (RO)";2015
"RO-SAO FRANCISCO DO GUAPORE";0;0;0;0;0;0;0;0;"RO";"SAO FRANCISCO DO GUAPORE";"SAO FRANCISCO DO GUAPORE (RO)";2015
"RO-SERINGUEIRAS";0;0;0;0;0;0;0;0;"RO";"SERINGUEIRAS";"SERINGUEIRAS (RO)";2015
"RO-TEIXEIROPOLIS";0;0;0;0;0;0;0;0;"RO";"TEIXEIROPOLIS";"TEIXEIROPOLIS (RO)";2015
"RO-THEOBROMA";0;0;0;0;0;0;0;0;"RO";"THEOBROMA";"THEOBROMA (RO)";2015
"RO-URUPA";0;0;0;0;0;0;0;0;"RO";"URUPA";"URUPA (RO)";2015
"RO-VALE DO ANARI";0;0;0;0;0;0;0;0;"RO";"VALE DO ANARI";"VALE DO ANARI (RO)";2015
"RO-VALE DO PARAISO";0;0;0;0;0;0;0;0;"RO";"VALE DO PARAISO";"VALE DO PARAISO (RO)";2015
"AC-ACRELANDIA";0;0;0;0;0;0;0;0;"AC";"ACRELANDIA";"ACRELANDIA (AC)";2015
"AC-ASSIS BRASIL";0;0;0;0;0;0;0;0;"AC";"ASSIS BRASIL";"ASSIS BRASIL (AC)";2015
"AC-BRASILEIA";0;0;0;0;0;0;0;0;"AC";"BRASILEIA";"BRASILEIA (AC)";2015
"AC-BUJARI";0;0;0;0;0;0;0;0;"AC";"BUJARI";"BUJARI (AC)";2015
"AC-CAPIXABA";0;0;0;0;0;0;0;0;"AC";"CAPIXABA";"CAPIXABA (AC)";2015
"AC-CRUZEIRO DO SUL";0;0;0;0;0;0;0;0;"AC";"CRUZEIRO DO SUL";"CRUZEIRO DO SUL (AC)";2015
"AC-EPITACIOLANDIA";0;0;0;0;0;0;0;0;"AC";"EPITACIOLANDIA";"EPITACIOLANDIA (AC)";2015
"AC-FEIJO";0;0;0;0;0;0;0;0;"AC";"FEIJO";"FEIJO (AC)";2015
"AC-JORDAO";0;0;0;0;0;0;0;0;"AC";"JORDAO";"JORDAO (AC)";2015
"AC-MANCIO LIMA";0;0;0;0;0;0;0;0;"AC";"MANCIO LIMA";"MANCIO LIMA (AC)";2015
"AC-MANOEL URBANO";0;0;0;0;0;0;0;0;"AC";"MANOEL URBANO";"MANOEL URBANO (AC)";2015
"AC-MARECHAL THAUMATURGO";0;0;0;0;0;0;0;0;"AC";"MARECHAL THAUMATURGO";"MARECHAL THAUMATURGO (AC)";2015
"AC-PLACIDO DE CASTRO";0;0;0;0;0;0;0;0;"AC";"PLACIDO DE CASTRO";"PLACIDO DE CASTRO (AC)";2015
"AC-PORTO WALTER";0;0;0;0;0;0;0;0;"AC";"PORTO WALTER";"PORTO WALTER (AC)";2015
"AC-RIO BRANCO";0;0;0;0;0;0;0;0;"AC";"RIO BRANCO";"RIO BRANCO (AC)";2015
"AC-RODRIGUES ALVES";0;0;0;0;0;0;0;0;"AC";"RODRIGUES ALVES";"RODRIGUES ALVES (AC)";2015
"AC-SANTA ROSA DO PURUS";0;0;0;0;0;0;0;0;"AC";"SANTA ROSA DO PURUS";"SANTA ROSA DO PURUS (AC)";2015
"AC-SENADOR GUIOMARD";0;0;0;0;0;0;0;0;"AC";"SENADOR GUIOMARD";"SENADOR GUIOMARD (AC)";2015
"AC-SENA MADUREIRA";0;0;0;0;0;0;0;0;"AC";"SENA MADUREIRA";"SENA MADUREIRA (AC)";2015
"AC-TARAUACA";0;0;0;0;0;0;0;0;"AC";"TARAUACA";"TARAUACA (AC)";2015
"AC-XAPURI";0;0;0;0;0;0;0;0;"AC";"XAPURI";"XAPURI (AC)";2015
"AC-PORTO ACRE";0;0;0;0;0;0;0;0;"AC";"PORTO ACRE";"PORTO ACRE (AC)";2015
"AM-ALVARAES";0;0;0;0;0;0;0;0;"AM";"ALVARAES";"ALVARAES (AM)";2015
"AM-AMATURA";0;0;0;0;0;0;0;0;"AM";"AMATURA";"AMATURA (AM)";2015
"AM-ANAMA";0;0;0;0;0;0;0;0;"AM";"ANAMA";"ANAMA (AM)";2015
"AM-ANORI";0;0;0;0;0;0;0;0;"AM";"ANORI";"ANORI (AM)";2015
"AM-APUI";0;0;0;0;0;0;0;0;"AM";"APUI";"APUI (AM)";2015
"AM-ATALAIA DO NORTE";0;0;0;0;0;0;0;0;"AM";"ATALAIA DO NORTE";"ATALAIA DO NORTE (AM)";2015
"AM-AUTAZES";0;0;0;0;0;0;0;0;"AM";"AUTAZES";"AUTAZES (AM)";2015
"AM-BARCELOS";0;0;0;0;0;0;0;0;"AM";"BARCELOS";"BARCELOS (AM)";2015
"AM-BARREIRINHA";0;0;0;0;0;0;0;0;"AM";"BARREIRINHA";"BARREIRINHA (AM)";2015
"AM-BENJAMIN CONSTANT";0;0;0;0;0;0;0;0;"AM";"BENJAMIN CONSTANT";"BENJAMIN CONSTANT (AM)";2015
"AM-BERURI";0;0;0;0;0;0;0;0;"AM";"BERURI";"BERURI (AM)";2015
"AM-BOA VISTA DO RAMOS";0;0;0;0;0;0;0;0;"AM";"BOA VISTA DO RAMOS";"BOA VISTA DO RAMOS (AM)";2015
"AM-BOCA DO ACRE";0;0;0;0;0;0;0;0;"AM";"BOCA DO ACRE";"BOCA DO ACRE (AM)";2015
"AM-BORBA";0;0;0;0;0;0;0;0;"AM";"BORBA";"BORBA (AM)";2015
"AM-CAAPIRANGA";0;0;0;0;0;0;0;0;"AM";"CAAPIRANGA";"CAAPIRANGA (AM)";2015
"AM-CANUTAMA";0;0;0;0;0;0;0;0;"AM";"CANUTAMA";"CANUTAMA (AM)";2015
"AM-CARAUARI";0;0;0;0;0;0;0;0;"AM";"CARAUARI";"CARAUARI (AM)";2015
"AM-CAREIRO";0;0;0;0;0;0;0;0;"AM";"CAREIRO";"CAREIRO (AM)";2015
"AM-CAREIRO DA VARZEA";0;0;0;0;0;0;0;0;"AM";"CAREIRO DA VARZEA";"CAREIRO DA VARZEA (AM)";2015
"AM-COARI";0;0;0;0;0;0;0;0;"AM";"COARI";"COARI (AM)";2015
"AM-CODAJAS";0;0;0;0;0;0;0;0;"AM";"CODAJAS";"CODAJAS (AM)";2015
"AM-EIRUNEPE";0;0;0;0;0;0;0;0;"AM";"EIRUNEPE";"EIRUNEPE (AM)";2015
"AM-ENVIRA";0;0;0;0;0;0;0;0;"AM";"ENVIRA";"ENVIRA (AM)";2015
"AM-FONTE BOA";0;0;0;0;0;0;0;0;"AM";"FONTE BOA";"FONTE BOA (AM)";2015
"AM-GUAJARA";0;0;0;0;0;0;0;0;"AM";"GUAJARA";"GUAJARA (AM)";2015
"AM-HUMAITA";0;0;0;0;0;0;0;0;"AM";"HUMAITA";"HUMAITA (AM)";2015
"AM-IPIXUNA";0;0;0;0;0;0;0;0;"AM";"IPIXUNA";"IPIXUNA (AM)";2015
"AM-IRANDUBA";0;0;0;0;0;0;0;0;"AM";"IRANDUBA";"IRANDUBA (AM)";2015
"AM-ITACOATIARA";0;0;0;0;0;0;0;0;"AM";"ITACOATIARA";"ITACOATIARA (AM)";2015
"AM-ITAMARATI";0;0;0;0;0;0;0;0;"AM";"ITAMARATI";"ITAMARATI (AM)";2015
"AM-ITAPIRANGA";0;0;0;0;0;0;0;0;"AM";"ITAPIRANGA";"ITAPIRANGA (AM)";2015
"AM-JAPURA";0;0;0;0;0;0;0;0;"AM";"JAPURA";"JAPURA (AM)";2015
"AM-JURUA";0;0;0;0;0;0;0;0;"AM";"JURUA";"JURUA (AM)";2015
"AM-JUTAI";0;0;0;0;0;0;0;0;"AM";"JUTAI";"JUTAI (AM)";2015
"AM-LABREA";0;0;0;0;0;0;0;0;"AM";"LABREA";"LABREA (AM)";2015
"AM-MANACAPURU";0;0;0;0;0;0;0;0;"AM";"MANACAPURU";"MANACAPURU (AM)";2015
"AM-MANAQUIRI";0;0;0;0;0;0;0;0;"AM";"MANAQUIRI";"MANAQUIRI (AM)";2015
"AM-MANAUS";0;0;0;0;0;0;0;0;"AM";"MANAUS";"MANAUS (AM)";2015
"AM-MANICORE";0;0;0;2599.93999999948;0;0;0;2599.93999999948;"AM";"MANICORE";"MANICORE (AM)";2015
"AM-MARAA";0;0;0;0;0;0;0;0;"AM";"MARAA";"MARAA (AM)";2015
"AM-MAUES";0;0;0;0;0;0;0;0;"AM";"MAUES";"MAUES (AM)";2015
"AM-NHAMUNDA";0;0;0;0;0;0;0;0;"AM";"NHAMUNDA";"NHAMUNDA (AM)";2015
"AM-NOVA OLINDA DO NORTE";0;0;0;0;0;0;0;0;"AM";"NOVA OLINDA DO NORTE";"NOVA OLINDA DO NORTE (AM)";2015
"AM-NOVO AIRAO";0;0;0;0;0;0;0;0;"AM";"NOVO AIRAO";"NOVO AIRAO (AM)";2015
"AM-NOVO ARIPUANA";0;0;0;0;0;0;0;0;"AM";"NOVO ARIPUANA";"NOVO ARIPUANA (AM)";2015
"AM-PARINTINS";0;0;0;0;0;0;0;0;"AM";"PARINTINS";"PARINTINS (AM)";2015
"AM-PAUINI";0;0;0;0;0;0;0;0;"AM";"PAUINI";"PAUINI (AM)";2015
"AM-PRESIDENTE FIGUEIREDO";0;0;0;0;0;0;0;0;"AM";"PRESIDENTE FIGUEIREDO";"PRESIDENTE FIGUEIREDO (AM)";2015
"AM-RIO PRETO DA EVA";0;0;0;21541.5;0;0;0;21541.5;"AM";"RIO PRETO DA EVA";"RIO PRETO DA EVA (AM)";2015
"AM-SANTA ISABEL DO RIO NEGRO";0;0;0;0;0;0;0;0;"AM";"SANTA ISABEL DO RIO NEGRO";"SANTA ISABEL DO RIO NEGRO (AM)";2015
"AM-SANTO ANTONIO DO ICA";0;0;0;0;0;0;0;0;"AM";"SANTO ANTONIO DO ICA";"SANTO ANTONIO DO ICA (AM)";2015
"AM-SAO GABRIEL DA CACHOEIRA";0;0;0;0;0;0;0;0;"AM";"SAO GABRIEL DA CACHOEIRA";"SAO GABRIEL DA CACHOEIRA (AM)";2015
"AM-SAO PAULO DE OLIVENCA";0;0;0;0;0;0;0;0;"AM";"SAO PAULO DE OLIVENCA";"SAO PAULO DE OLIVENCA (AM)";2015
"AM-SAO SEBASTIAO DO UATUMA";0;0;0;0;0;0;0;0;"AM";"SAO SEBASTIAO DO UATUMA";"SAO SEBASTIAO DO UATUMA (AM)";2015
"AM-SILVES";0;0;0;0;0;0;0;0;"AM";"SILVES";"SILVES (AM)";2015
"AM-TABATINGA";0;0;0;0;0;0;0;0;"AM";"TABATINGA";"TABATINGA (AM)";2015
"AM-TAPAUA";0;0;0;0;0;0;0;0;"AM";"TAPAUA";"TAPAUA (AM)";2015
"AM-TEFE";0;0;0;0;0;0;0;0;"AM";"TEFE";"TEFE (AM)";2015
"AM-TONANTINS";0;0;0;0;0;0;0;0;"AM";"TONANTINS";"TONANTINS (AM)";2015
"AM-UARINI";0;0;0;0;0;0;0;0;"AM";"UARINI";"UARINI (AM)";2015
"AM-URUCARA";0;0;0;0;0;0;0;0;"AM";"URUCARA";"URUCARA (AM)";2015
"AM-URUCURITUBA";0;0;0;0;0;0;0;0;"AM";"URUCURITUBA";"URUCURITUBA (AM)";2015
"RR-AMAJARI";0;0;0;0;0;0;0;0;"RR";"AMAJARI";"AMAJARI (RR)";2015
