"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"CE-ICAPUI";0;0;0;0;0;0;0;0;"CE";"ICAPUI";"ICAPUI (CE)";2015
"CE-ICO";0;0;0;0;0;0;0;0;"CE";"ICO";"ICO (CE)";2015
"CE-IGUATU";0;0;0;0;0;0;0;0;"CE";"IGUATU";"IGUATU (CE)";2015
"CE-INDEPENDENCIA";0;0;0;0;0;0;0;0;"CE";"INDEPENDENCIA";"INDEPENDENCIA (CE)";2015
"CE-IPAPORANGA";0;0;0;0;0;0;0;0;"CE";"IPAPORANGA";"IPAPORANGA (CE)";2015
"CE-IPAUMIRIM";0;0;0;0;0;0;0;0;"CE";"IPAUMIRIM";"IPAUMIRIM (CE)";2015
"CE-IPU";0;0;0;0;0;0;0;0;"CE";"IPU";"IPU (CE)";2015
"CE-IPUEIRAS";0;0;0;0;0;0;0;0;"CE";"IPUEIRAS";"IPUEIRAS (CE)";2015
"CE-IRACEMA";0;0;0;0;0;0;0;0;"CE";"IRACEMA";"IRACEMA (CE)";2015
"CE-IRAUCUBA";0;0;0;0;0;0;0;0;"CE";"IRAUCUBA";"IRAUCUBA (CE)";2015
"CE-ITAICABA";0;0;0;0;0;0;0;0;"CE";"ITAICABA";"ITAICABA (CE)";2015
"CE-ITAITINGA";0;0;0;0;0;0;0;0;"CE";"ITAITINGA";"ITAITINGA (CE)";2015
"CE-ITAPAJE";0;0;0;0;0;0;0;0;"CE";"ITAPAJE";"ITAPAJE (CE)";2015
"CE-ITAPIPOCA";0;0;0;0;0;0;0;0;"CE";"ITAPIPOCA";"ITAPIPOCA (CE)";2015
"CE-ITAPIUNA";0;0;0;0;0;0;0;0;"CE";"ITAPIUNA";"ITAPIUNA (CE)";2015
"CE-ITAREMA";0;0;0;0;0;0;0;0;"CE";"ITAREMA";"ITAREMA (CE)";2015
"CE-ITATIRA";0;0;0;0;0;0;0;0;"CE";"ITATIRA";"ITATIRA (CE)";2015
"CE-JAGUARETAMA";0;0;0;0;0;0;0;0;"CE";"JAGUARETAMA";"JAGUARETAMA (CE)";2015
"CE-JAGUARIBARA";0;0;0;0;0;0;0;0;"CE";"JAGUARIBARA";"JAGUARIBARA (CE)";2015
"CE-JAGUARIBE";0;0;0;0;0;0;0;0;"CE";"JAGUARIBE";"JAGUARIBE (CE)";2015
"CE-JAGUARUANA";0;0;0;0;0;0;0;0;"CE";"JAGUARUANA";"JAGUARUANA (CE)";2015
"CE-JARDIM";0;0;0;0;0;0;0;0;"CE";"JARDIM";"JARDIM (CE)";2015
"CE-JATI";0;0;0;0;0;0;0;0;"CE";"JATI";"JATI (CE)";2015
"CE-JIJOCA DE JERICOACOARA";0;0;0;0;0;0;0;0;"CE";"JIJOCA DE JERICOACOARA";"JIJOCA DE JERICOACOARA (CE)";2015
"CE-JUAZEIRO DO NORTE";0;0;0;0;0;0;0;0;"CE";"JUAZEIRO DO NORTE";"JUAZEIRO DO NORTE (CE)";2015
"CE-JUCAS";0;0;0;0;0;0;0;0;"CE";"JUCAS";"JUCAS (CE)";2015
"CE-LAVRAS DA MANGABEIRA";0;0;0;0;0;0;0;0;"CE";"LAVRAS DA MANGABEIRA";"LAVRAS DA MANGABEIRA (CE)";2015
"CE-LIMOEIRO DO NORTE";0;0;0;0;0;0;0;0;"CE";"LIMOEIRO DO NORTE";"LIMOEIRO DO NORTE (CE)";2015
"CE-MADALENA";0;0;0;0;0;0;0;0;"CE";"MADALENA";"MADALENA (CE)";2015
"CE-MARACANAU";0;0;0;0;0;0;0;0;"CE";"MARACANAU";"MARACANAU (CE)";2015
"CE-MARANGUAPE";0;0;0;0;0;0;0;0;"CE";"MARANGUAPE";"MARANGUAPE (CE)";2015
"CE-MARCO";0;0;0;0;0;0;0;0;"CE";"MARCO";"MARCO (CE)";2015
"CE-MARTINOPOLE";0;0;0;0;0;0;0;0;"CE";"MARTINOPOLE";"MARTINOPOLE (CE)";2015
"CE-MASSAPE";0;0;0;0;0;0;0;0;"CE";"MASSAPE";"MASSAPE (CE)";2015
"CE-MAURITI";0;0;0;0;0;0;0;0;"CE";"MAURITI";"MAURITI (CE)";2015
"CE-MERUOCA";0;0;0;0;0;0;0;0;"CE";"MERUOCA";"MERUOCA (CE)";2015
"CE-MILAGRES";0;0;0;0;0;0;0;0;"CE";"MILAGRES";"MILAGRES (CE)";2015
"CE-MILHA";0;0;0;0;0;0;0;0;"CE";"MILHA";"MILHA (CE)";2015
"CE-MIRAIMA";0;0;0;0;0;0;0;0;"CE";"MIRAIMA";"MIRAIMA (CE)";2015
"CE-MISSAO VELHA";0;0;0;0;0;0;0;0;"CE";"MISSAO VELHA";"MISSAO VELHA (CE)";2015
"CE-MOMBACA";0;0;0;0;0;0;0;0;"CE";"MOMBACA";"MOMBACA (CE)";2015
"CE-MONSENHOR TABOSA";0;0;0;0;0;0;0;0;"CE";"MONSENHOR TABOSA";"MONSENHOR TABOSA (CE)";2015
"CE-MORADA NOVA";0;0;0;0;0;0;0;0;"CE";"MORADA NOVA";"MORADA NOVA (CE)";2015
"CE-MORAUJO";0;0;0;0;0;0;0;0;"CE";"MORAUJO";"MORAUJO (CE)";2015
"CE-MORRINHOS";0;0;0;0;0;0;0;0;"CE";"MORRINHOS";"MORRINHOS (CE)";2015
"CE-MUCAMBO";0;0;0;0;0;0;0;0;"CE";"MUCAMBO";"MUCAMBO (CE)";2015
"CE-MULUNGU";0;0;0;0;0;0;0;0;"CE";"MULUNGU";"MULUNGU (CE)";2015
"CE-NOVA OLINDA";0;0;0;0;0;0;0;0;"CE";"NOVA OLINDA";"NOVA OLINDA (CE)";2015
"CE-NOVA RUSSAS";0;0;0;0;0;0;0;0;"CE";"NOVA RUSSAS";"NOVA RUSSAS (CE)";2015
"CE-NOVO ORIENTE";0;0;0;0;0;0;0;0;"CE";"NOVO ORIENTE";"NOVO ORIENTE (CE)";2015
"CE-OCARA";0;0;0;0;0;0;0;0;"CE";"OCARA";"OCARA (CE)";2015
"CE-OROS";0;0;0;0;0;0;0;0;"CE";"OROS";"OROS (CE)";2015
"CE-PACAJUS";0;0;0;0;0;0;0;0;"CE";"PACAJUS";"PACAJUS (CE)";2015
"CE-PACATUBA";0;0;0;0;0;0;0;0;"CE";"PACATUBA";"PACATUBA (CE)";2015
"CE-PACOTI";0;0;0;0;0;0;0;0;"CE";"PACOTI";"PACOTI (CE)";2015
"CE-PACUJA";0;0;0;0;0;0;0;0;"CE";"PACUJA";"PACUJA (CE)";2015
"CE-PALHANO";0;0;0;0;0;0;0;0;"CE";"PALHANO";"PALHANO (CE)";2015
"CE-PALMACIA";0;0;0;0;0;0;0;0;"CE";"PALMACIA";"PALMACIA (CE)";2015
"CE-PARACURU";0;0;0;0;0;0;0;0;"CE";"PARACURU";"PARACURU (CE)";2015
"CE-PARAIPABA";0;0;0;0;0;0;0;0;"CE";"PARAIPABA";"PARAIPABA (CE)";2015
"CE-PARAMBU";0;0;0;0;0;0;0;0;"CE";"PARAMBU";"PARAMBU (CE)";2015
"CE-PARAMOTI";0;0;0;0;0;0;0;0;"CE";"PARAMOTI";"PARAMOTI (CE)";2015
"CE-PEDRA BRANCA";0;0;0;0;0;0;0;0;"CE";"PEDRA BRANCA";"PEDRA BRANCA (CE)";2015
"CE-PENAFORTE";0;0;0;0;0;0;0;0;"CE";"PENAFORTE";"PENAFORTE (CE)";2015
"CE-PENTECOSTE";0;0;0;0;0;0;0;0;"CE";"PENTECOSTE";"PENTECOSTE (CE)";2015
"CE-PEREIRO";0;0;0;0;0;0;0;0;"CE";"PEREIRO";"PEREIRO (CE)";2015
"CE-PINDORETAMA";0;0;0;0;0;0;0;0;"CE";"PINDORETAMA";"PINDORETAMA (CE)";2015
"CE-PIQUET CARNEIRO";0;0;0;0;0;0;0;0;"CE";"PIQUET CARNEIRO";"PIQUET CARNEIRO (CE)";2015
"CE-PIRES FERREIRA";0;0;0;0;0;0;0;0;"CE";"PIRES FERREIRA";"PIRES FERREIRA (CE)";2015
"CE-PORANGA";0;0;0;0;0;0;0;0;"CE";"PORANGA";"PORANGA (CE)";2015
"CE-PORTEIRAS";0;0;0;0;0;0;0;0;"CE";"PORTEIRAS";"PORTEIRAS (CE)";2015
"CE-POTENGI";0;0;0;0;0;0;0;0;"CE";"POTENGI";"POTENGI (CE)";2015
"CE-POTIRETAMA";0;0;0;0;0;0;0;0;"CE";"POTIRETAMA";"POTIRETAMA (CE)";2015
"CE-QUITERIANOPOLIS";0;0;0;0;0;0;0;0;"CE";"QUITERIANOPOLIS";"QUITERIANOPOLIS (CE)";2015
"CE-QUIXADA";0;0;0;0;0;0;0;0;"CE";"QUIXADA";"QUIXADA (CE)";2015
"CE-QUIXELO";0;0;0;0;0;0;0;0;"CE";"QUIXELO";"QUIXELO (CE)";2015
"CE-QUIXERAMOBIM";0;0;0;0;0;0;0;0;"CE";"QUIXERAMOBIM";"QUIXERAMOBIM (CE)";2015
"CE-QUIXERE";0;0;0;0;0;0;0;0;"CE";"QUIXERE";"QUIXERE (CE)";2015
"CE-REDENCAO";0;0;0;0;0;0;0;0;"CE";"REDENCAO";"REDENCAO (CE)";2015
"CE-RERIUTABA";0;0;0;0;0;0;0;0;"CE";"RERIUTABA";"RERIUTABA (CE)";2015
"CE-RUSSAS";0;0;0;0;0;0;0;0;"CE";"RUSSAS";"RUSSAS (CE)";2015
"CE-SABOEIRO";0;0;0;0;0;0;0;0;"CE";"SABOEIRO";"SABOEIRO (CE)";2015
"CE-SALITRE";0;0;0;0;0;0;0;0;"CE";"SALITRE";"SALITRE (CE)";2015
"CE-SANTANA DO ACARAU";0;0;0;0;0;0;0;0;"CE";"SANTANA DO ACARAU";"SANTANA DO ACARAU (CE)";2015
"CE-SANTANA DO CARIRI";0;0;0;0;0;0;0;0;"CE";"SANTANA DO CARIRI";"SANTANA DO CARIRI (CE)";2015
"CE-SANTA QUITERIA";0;0;0;0;0;0;0;0;"CE";"SANTA QUITERIA";"SANTA QUITERIA (CE)";2015
"CE-SAO BENEDITO";0;0;0;0;0;0;0;0;"CE";"SAO BENEDITO";"SAO BENEDITO (CE)";2015
"CE-SAO GONCALO DO AMARANTE";0;0;0;0;0;0;0;0;"CE";"SAO GONCALO DO AMARANTE";"SAO GONCALO DO AMARANTE (CE)";2015
"CE-SAO JOAO DO JAGUARIBE";0;0;0;0;0;0;0;0;"CE";"SAO JOAO DO JAGUARIBE";"SAO JOAO DO JAGUARIBE (CE)";2015
"CE-SAO LUIS DO CURU";0;0;0;0;0;0;0;0;"CE";"SAO LUIS DO CURU";"SAO LUIS DO CURU (CE)";2015
"CE-SENADOR POMPEU";0;0;0;0;0;0;0;0;"CE";"SENADOR POMPEU";"SENADOR POMPEU (CE)";2015
"CE-SENADOR SA";0;0;0;0;0;0;0;0;"CE";"SENADOR SA";"SENADOR SA (CE)";2015
"CE-SOBRAL";0;0;0;0;0;0;0;0;"CE";"SOBRAL";"SOBRAL (CE)";2015
"CE-SOLONOPOLE";0;0;0;0;0;0;0;0;"CE";"SOLONOPOLE";"SOLONOPOLE (CE)";2015
"CE-TABULEIRO DO NORTE";0;0;0;0;0;0;0;0;"CE";"TABULEIRO DO NORTE";"TABULEIRO DO NORTE (CE)";2015
"CE-TAMBORIL";0;0;0;0;0;0;0;0;"CE";"TAMBORIL";"TAMBORIL (CE)";2015
"CE-TARRAFAS";0;0;0;0;0;0;0;0;"CE";"TARRAFAS";"TARRAFAS (CE)";2015
"CE-TAUA";0;0;0;0;0;0;0;0;"CE";"TAUA";"TAUA (CE)";2015
"CE-TEJUCUOCA";0;0;0;0;0;0;0;0;"CE";"TEJUCUOCA";"TEJUCUOCA (CE)";2015
"CE-TIANGUA";0;0;0;0;0;0;0;0;"CE";"TIANGUA";"TIANGUA (CE)";2015
"CE-TRAIRI";0;0;0;0;0;0;0;0;"CE";"TRAIRI";"TRAIRI (CE)";2015
"CE-TURURU";0;0;0;0;0;0;0;0;"CE";"TURURU";"TURURU (CE)";2015
"CE-UBAJARA";0;0;0;0;0;0;0;0;"CE";"UBAJARA";"UBAJARA (CE)";2015
"CE-UMARI";0;0;0;0;0;0;0;0;"CE";"UMARI";"UMARI (CE)";2015
"CE-UMIRIM";0;0;0;0;0;0;0;0;"CE";"UMIRIM";"UMIRIM (CE)";2015
"CE-URUBURETAMA";0;0;0;0;0;0;0;0;"CE";"URUBURETAMA";"URUBURETAMA (CE)";2015
"CE-URUOCA";0;0;0;0;0;0;0;0;"CE";"URUOCA";"URUOCA (CE)";2015
"CE-VARJOTA";0;0;0;0;0;0;0;0;"CE";"VARJOTA";"VARJOTA (CE)";2015
"CE-VARZEA ALEGRE";0;0;0;0;0;0;0;0;"CE";"VARZEA ALEGRE";"VARZEA ALEGRE (CE)";2015
"CE-VICOSA DO CEARA";0;0;0;0;0;0;0;0;"CE";"VICOSA DO CEARA";"VICOSA DO CEARA (CE)";2015
"RN-ACARI";0;0;0;0;0;0;0;0;"RN";"ACARI";"ACARI (RN)";2015
"RN-ACU";0;0;0;0;0;0;0;0;"RN";"ACU";"ACU (RN)";2015
"RN-AFONSO BEZERRA";0;0;0;0;0;0;0;0;"RN";"AFONSO BEZERRA";"AFONSO BEZERRA (RN)";2015
"RN-AGUA NOVA";0;0;0;0;0;0;0;0;"RN";"AGUA NOVA";"AGUA NOVA (RN)";2015
"RN-ALEXANDRIA";0;0;0;0;0;0;0;0;"RN";"ALEXANDRIA";"ALEXANDRIA (RN)";2015
"RN-ALMINO AFONSO";0;0;0;0;0;0;0;0;"RN";"ALMINO AFONSO";"ALMINO AFONSO (RN)";2015
"RN-ALTO DO RODRIGUES";0;0;0;0;0;0;0;0;"RN";"ALTO DO RODRIGUES";"ALTO DO RODRIGUES (RN)";2015
"RN-ANGICOS";0;0;0;0;0;0;0;0;"RN";"ANGICOS";"ANGICOS (RN)";2015
"RN-ANTONIO MARTINS";0;0;0;0;0;0;0;0;"RN";"ANTONIO MARTINS";"ANTONIO MARTINS (RN)";2015
"RN-APODI";0;0;0;0;0;0;0;0;"RN";"APODI";"APODI (RN)";2015
"RN-AREIA BRANCA";0;0;0;0;0;0;0;0;"RN";"AREIA BRANCA";"AREIA BRANCA (RN)";2015
"RN-ARES";0;0;0;0;0;0;0;0;"RN";"ARES";"ARES (RN)";2015
"RN-AUGUSTO SEVERO";0;0;0;0;0;0;0;0;"RN";"AUGUSTO SEVERO";"AUGUSTO SEVERO (RN)";2015
"RN-BAIA FORMOSA";0;0;0;0;0;0;0;0;"RN";"BAIA FORMOSA";"BAIA FORMOSA (RN)";2015
"RN-BARAUNA";0;0;0;0;0;0;0;0;"RN";"BARAUNA";"BARAUNA (RN)";2015
"RN-BARCELONA";0;0;0;0;0;0;0;0;"RN";"BARCELONA";"BARCELONA (RN)";2015
"RN-BENTO FERNANDES";0;0;0;0;0;0;0;0;"RN";"BENTO FERNANDES";"BENTO FERNANDES (RN)";2015
"RN-BODO";0;0;0;0;0;0;0;0;"RN";"BODO";"BODO (RN)";2015
"RN-BOM JESUS";0;0;0;0;0;0;0;0;"RN";"BOM JESUS";"BOM JESUS (RN)";2015
"RN-BREJINHO";0;0;0;0;0;0;0;0;"RN";"BREJINHO";"BREJINHO (RN)";2015
"RN-CAICARA DO NORTE";0;0;0;0;0;0;0;0;"RN";"CAICARA DO NORTE";"CAICARA DO NORTE (RN)";2015
"RN-CAICARA DO RIO DO VENTO";0;0;0;0;0;0;0;0;"RN";"CAICARA DO RIO DO VENTO";"CAICARA DO RIO DO VENTO (RN)";2015
"RN-CAICO";0;0;0;0;0;0;0;0;"RN";"CAICO";"CAICO (RN)";2015
"RN-CAMPO REDONDO";0;0;0;0;0;0;0;0;"RN";"CAMPO REDONDO";"CAMPO REDONDO (RN)";2015
"RN-CANGUARETAMA";0;0;0;0;0;0;0;0;"RN";"CANGUARETAMA";"CANGUARETAMA (RN)";2015
"RN-CARAUBAS";0;0;0;0;0;0;0;0;"RN";"CARAUBAS";"CARAUBAS (RN)";2015
"RN-CARNAUBA DOS DANTAS";0;0;0;0;0;0;0;0;"RN";"CARNAUBA DOS DANTAS";"CARNAUBA DOS DANTAS (RN)";2015
"RN-CARNAUBAIS";0;0;0;0;0;0;0;0;"RN";"CARNAUBAIS";"CARNAUBAIS (RN)";2015
"RN-CEARA-MIRIM";0;0;0;0;0;0;0;0;"RN";"CEARA-MIRIM";"CEARA-MIRIM (RN)";2015
"RN-CERRO CORA";0;0;0;0;0;0;0;0;"RN";"CERRO CORA";"CERRO CORA (RN)";2015
"RN-CORONEL EZEQUIEL";0;0;0;0;0;0;0;0;"RN";"CORONEL EZEQUIEL";"CORONEL EZEQUIEL (RN)";2015
"RN-CORONEL JOAO PESSOA";0;0;0;0;0;0;0;0;"RN";"CORONEL JOAO PESSOA";"CORONEL JOAO PESSOA (RN)";2015
"RN-CRUZETA";0;0;0;0;0;0;0;0;"RN";"CRUZETA";"CRUZETA (RN)";2015
"RN-CURRAIS NOVOS";0;0;0;0;0;0;0;0;"RN";"CURRAIS NOVOS";"CURRAIS NOVOS (RN)";2015
"RN-DOUTOR SEVERIANO";0;0;0;0;0;0;0;0;"RN";"DOUTOR SEVERIANO";"DOUTOR SEVERIANO (RN)";2015
"RN-PARNAMIRIM";0;0;0;0;0;0;0;0;"RN";"PARNAMIRIM";"PARNAMIRIM (RN)";2015
"RN-ENCANTO";0;0;0;0;0;0;0;0;"RN";"ENCANTO";"ENCANTO (RN)";2015
"RN-EQUADOR";0;0;0;0;0;0;0;0;"RN";"EQUADOR";"EQUADOR (RN)";2015
"RN-ESPIRITO SANTO";0;0;0;0;0;0;0;0;"RN";"ESPIRITO SANTO";"ESPIRITO SANTO (RN)";2015
"RN-EXTREMOZ";0;0;0;0;0;0;0;0;"RN";"EXTREMOZ";"EXTREMOZ (RN)";2015
"RN-FELIPE GUERRA";0;0;0;0;0;0;0;0;"RN";"FELIPE GUERRA";"FELIPE GUERRA (RN)";2015
"RN-FERNANDO PEDROZA";0;0;0;0;0;0;0;0;"RN";"FERNANDO PEDROZA";"FERNANDO PEDROZA (RN)";2015
"RN-FLORANIA";0;0;0;0;0;0;0;0;"RN";"FLORANIA";"FLORANIA (RN)";2015
"RN-FRANCISCO DANTAS";0;0;0;0;0;0;0;0;"RN";"FRANCISCO DANTAS";"FRANCISCO DANTAS (RN)";2015
"RN-FRUTUOSO GOMES";0;0;0;0;0;0;0;0;"RN";"FRUTUOSO GOMES";"FRUTUOSO GOMES (RN)";2015
"RN-GALINHOS";0;0;0;0;0;0;0;0;"RN";"GALINHOS";"GALINHOS (RN)";2015
"RN-GOIANINHA";0;0;0;0;0;0;0;0;"RN";"GOIANINHA";"GOIANINHA (RN)";2015
"RN-GOVERNADOR DIX-SEPT ROSADO";0;0;0;0;0;0;0;0;"RN";"GOVERNADOR DIX-SEPT ROSADO";"GOVERNADOR DIX-SEPT ROSADO (RN)";2015
"RN-GROSSOS";0;0;0;0;0;0;0;0;"RN";"GROSSOS";"GROSSOS (RN)";2015
"RN-GUAMARE";0;0;0;0;0;0;0;0;"RN";"GUAMARE";"GUAMARE (RN)";2015
"RN-IELMO MARINHO";0;0;0;0;0;0;0;0;"RN";"IELMO MARINHO";"IELMO MARINHO (RN)";2015
"RN-IPANGUACU";0;0;0;0;0;0;0;0;"RN";"IPANGUACU";"IPANGUACU (RN)";2015
"RN-IPUEIRA";0;0;0;0;0;0;0;0;"RN";"IPUEIRA";"IPUEIRA (RN)";2015
"RN-ITAJA";0;0;0;0;0;0;0;0;"RN";"ITAJA";"ITAJA (RN)";2015
"RN-ITAU";0;0;0;0;0;0;0;0;"RN";"ITAU";"ITAU (RN)";2015
"RN-JACANA";0;0;0;0;0;0;0;0;"RN";"JACANA";"JACANA (RN)";2015
"RN-JANDAIRA";0;0;0;0;0;0;0;0;"RN";"JANDAIRA";"JANDAIRA (RN)";2015
"RN-JANDUIS";0;0;0;0;0;0;0;0;"RN";"JANDUIS";"JANDUIS (RN)";2015
"RN-JANUARIO CICCO";0;0;0;0;0;0;0;0;"RN";"JANUARIO CICCO";"JANUARIO CICCO (RN)";2015
"RN-JAPI";0;0;0;0;0;0;0;0;"RN";"JAPI";"JAPI (RN)";2015
"RN-JARDIM DE ANGICOS";0;0;0;0;0;0;0;0;"RN";"JARDIM DE ANGICOS";"JARDIM DE ANGICOS (RN)";2015
"RN-JARDIM DE PIRANHAS";0;0;0;0;0;0;0;0;"RN";"JARDIM DE PIRANHAS";"JARDIM DE PIRANHAS (RN)";2015
"RN-JARDIM DO SERIDO";0;0;0;0;0;0;0;0;"RN";"JARDIM DO SERIDO";"JARDIM DO SERIDO (RN)";2015
"RN-JOAO CAMARA";0;0;0;0;0;0;0;0;"RN";"JOAO CAMARA";"JOAO CAMARA (RN)";2015
"RN-JOAO DIAS";0;0;0;0;0;0;0;0;"RN";"JOAO DIAS";"JOAO DIAS (RN)";2015
"RN-JOSE DA PENHA";0;0;0;0;0;0;0;0;"RN";"JOSE DA PENHA";"JOSE DA PENHA (RN)";2015
"RN-JUCURUTU";0;0;0;0;0;0;0;0;"RN";"JUCURUTU";"JUCURUTU (RN)";2015
"RN-JUNDIA";0;0;0;0;0;0;0;0;"RN";"JUNDIA";"JUNDIA (RN)";2015
"RN-LAGOA D ANTA";0;0;0;0;0;0;0;0;"RN";"LAGOA D ANTA";"LAGOA D ANTA (RN)";2015
"RN-LAGOA DE PEDRAS";0;0;0;0;0;0;0;0;"RN";"LAGOA DE PEDRAS";"LAGOA DE PEDRAS (RN)";2015
"RN-LAGOA DE VELHOS";0;0;0;0;0;0;0;0;"RN";"LAGOA DE VELHOS";"LAGOA DE VELHOS (RN)";2015
"RN-LAGOA NOVA";0;0;0;0;0;0;0;0;"RN";"LAGOA NOVA";"LAGOA NOVA (RN)";2015
"RN-LAGOA SALGADA";0;0;0;0;0;0;0;0;"RN";"LAGOA SALGADA";"LAGOA SALGADA (RN)";2015
"RN-LAJES";0;0;0;0;0;0;0;0;"RN";"LAJES";"LAJES (RN)";2015
"RN-LAJES PINTADAS";0;0;0;0;0;0;0;0;"RN";"LAJES PINTADAS";"LAJES PINTADAS (RN)";2015
"RN-LUCRECIA";0;0;0;0;0;0;0;0;"RN";"LUCRECIA";"LUCRECIA (RN)";2015
"RN-LUIS GOMES";0;0;0;0;0;0;0;0;"RN";"LUIS GOMES";"LUIS GOMES (RN)";2015
"RN-MACAIBA";0;0;0;0;0;0;0;0;"RN";"MACAIBA";"MACAIBA (RN)";2015
"RN-MACAU";0;0;0;0;0;0;0;0;"RN";"MACAU";"MACAU (RN)";2015
"RN-MAJOR SALES";0;0;0;0;0;0;0;0;"RN";"MAJOR SALES";"MAJOR SALES (RN)";2015
"RN-MARCELINO VIEIRA";0;0;0;0;0;0;0;0;"RN";"MARCELINO VIEIRA";"MARCELINO VIEIRA (RN)";2015
"RN-MARTINS";0;0;0;0;0;0;0;0;"RN";"MARTINS";"MARTINS (RN)";2015
"RN-MAXARANGUAPE";0;0;0;0;0;0;0;0;"RN";"MAXARANGUAPE";"MAXARANGUAPE (RN)";2015
"RN-MESSIAS TARGINO";0;0;0;0;0;0;0;0;"RN";"MESSIAS TARGINO";"MESSIAS TARGINO (RN)";2015
"RN-MONTANHAS";0;0;0;0;0;0;0;0;"RN";"MONTANHAS";"MONTANHAS (RN)";2015
"RN-MONTE ALEGRE";0;0;0;0;0;0;0;0;"RN";"MONTE ALEGRE";"MONTE ALEGRE (RN)";2015
"RN-MONTE DAS GAMELEIRAS";0;0;0;0;0;0;0;0;"RN";"MONTE DAS GAMELEIRAS";"MONTE DAS GAMELEIRAS (RN)";2015
"RN-MOSSORO";0;0;0;0;0;0;0;0;"RN";"MOSSORO";"MOSSORO (RN)";2015
"RN-NATAL";0;0;0;0;0;0;0;0;"RN";"NATAL";"NATAL (RN)";2015
"RN-NISIA FLORESTA";0;0;0;0;0;0;0;0;"RN";"NISIA FLORESTA";"NISIA FLORESTA (RN)";2015
"RN-NOVA CRUZ";0;0;0;0;0;0;0;0;"RN";"NOVA CRUZ";"NOVA CRUZ (RN)";2015
"RN-OLHO-D AGUA DO BORGES";0;0;0;0;0;0;0;0;"RN";"OLHO-D AGUA DO BORGES";"OLHO-D AGUA DO BORGES (RN)";2015
"RN-OURO BRANCO";0;0;0;0;0;0;0;0;"RN";"OURO BRANCO";"OURO BRANCO (RN)";2015
"RN-PARANA";0;0;0;0;0;0;0;0;"RN";"PARANA";"PARANA (RN)";2015
"RN-PARAU";0;0;0;0;0;0;0;0;"RN";"PARAU";"PARAU (RN)";2015
"RN-PARAZINHO";0;0;0;0;0;0;0;0;"RN";"PARAZINHO";"PARAZINHO (RN)";2015
"RN-PARELHAS";0;0;0;0;0;0;0;0;"RN";"PARELHAS";"PARELHAS (RN)";2015
"RN-RIO DO FOGO";0;0;0;0;0;0;0;0;"RN";"RIO DO FOGO";"RIO DO FOGO (RN)";2015
"RN-PASSA E FICA";0;0;0;0;0;0;0;0;"RN";"PASSA E FICA";"PASSA E FICA (RN)";2015
"RN-PASSAGEM";0;0;0;0;0;0;0;0;"RN";"PASSAGEM";"PASSAGEM (RN)";2015
"RN-PATU";0;0;0;0;0;0;0;0;"RN";"PATU";"PATU (RN)";2015
"RN-SANTA MARIA";0;0;0;0;0;0;0;0;"RN";"SANTA MARIA";"SANTA MARIA (RN)";2015
"RN-PAU DOS FERROS";0;0;0;0;0;0;0;0;"RN";"PAU DOS FERROS";"PAU DOS FERROS (RN)";2015
"RN-PEDRA GRANDE";0;0;0;0;0;0;0;0;"RN";"PEDRA GRANDE";"PEDRA GRANDE (RN)";2015
"RN-PEDRA PRETA";0;0;0;0;0;0;0;0;"RN";"PEDRA PRETA";"PEDRA PRETA (RN)";2015
"RN-PEDRO AVELINO";0;0;0;0;0;0;0;0;"RN";"PEDRO AVELINO";"PEDRO AVELINO (RN)";2015
"RN-PEDRO VELHO";0;0;0;0;0;0;0;0;"RN";"PEDRO VELHO";"PEDRO VELHO (RN)";2015
"RN-PENDENCIAS";0;0;0;0;0;0;0;0;"RN";"PENDENCIAS";"PENDENCIAS (RN)";2015
"RN-PILOES";0;0;0;0;0;0;0;0;"RN";"PILOES";"PILOES (RN)";2015
"RN-POCO BRANCO";0;0;0;0;0;0;0;0;"RN";"POCO BRANCO";"POCO BRANCO (RN)";2015
"RN-PORTALEGRE";0;0;0;0;0;0;0;0;"RN";"PORTALEGRE";"PORTALEGRE (RN)";2015
"RN-PORTO DO MANGUE";0;0;0;0;0;0;0;0;"RN";"PORTO DO MANGUE";"PORTO DO MANGUE (RN)";2015
"RN-SERRA CAIADA";0;0;0;0;0;0;0;0;"RN";"SERRA CAIADA";"SERRA CAIADA (RN)";2015
"RN-PUREZA";0;0;0;0;0;0;0;0;"RN";"PUREZA";"PUREZA (RN)";2015
"RN-RAFAEL FERNANDES";0;0;0;0;0;0;0;0;"RN";"RAFAEL FERNANDES";"RAFAEL FERNANDES (RN)";2015
"RN-RAFAEL GODEIRO";0;0;0;0;0;0;0;0;"RN";"RAFAEL GODEIRO";"RAFAEL GODEIRO (RN)";2015
"RN-RIACHO DA CRUZ";0;0;0;0;0;0;0;0;"RN";"RIACHO DA CRUZ";"RIACHO DA CRUZ (RN)";2015
"RN-RIACHO DE SANTANA";0;0;0;0;0;0;0;0;"RN";"RIACHO DE SANTANA";"RIACHO DE SANTANA (RN)";2015
