"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2019;"ACRELANDIA (AC)";"AC";"ACRELANDIA";335;10;42;387
2019;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";24;3;3;30
2019;"BRASILEIA (AC)";"AC";"BRASILEIA";274;5;19;298
2019;"BUJARI (AC)";"AC";"BUJARI";122;5;12;139
2019;"CAPIXABA (AC)";"AC";"CAPIXABA";86;3;16;105
2019;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";733;59;80;872
2019;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";253;6;16;275
2019;"FEIJO (AC)";"AC";"FEIJO";116;2;12;130
2019;"JORDAO (AC)";"AC";"JORDAO";5;0;0;5
2019;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";95;4;16;115
2019;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";50;0;6;56
2019;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";13;0;9;22
2019;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";155;5;27;187
2019;"PORTO ACRE (AC)";"AC";"PORTO ACRE";172;3;47;222
2019;"PORTO WALTER (AC)";"AC";"PORTO WALTER";9;0;5;14
2019;"RIO BRANCO (AC)";"AC";"RIO BRANCO";4262;237;832;5331
2019;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";17;1;9;27
2019;"SANTA ROSA DO PURUS (AC)";"AC";"SANTA ROSA DO PURUS";5;0;3;8
2019;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";115;4;10;129
2019;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";351;8;35;394
2019;"TARAUACA (AC)";"AC";"TARAUACA";156;21;23;200
2019;"XAPURI (AC)";"AC";"XAPURI";76;4;6;86
2019;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";120;91;31;242
2019;"ANADIA (AL)";"AL";"ANADIA";46;36;48;130
2019;"ARAPIRACA (AL)";"AL";"ARAPIRACA";3020;406;503;3929
2019;"ATALAIA (AL)";"AL";"ATALAIA";209;43;162;414
2019;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";31;7;26;64
2019;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";26;3;13;42
2019;"BATALHA (AL)";"AL";"BATALHA";138;53;21;212
2019;"BELEM (AL)";"AL";"BELEM";9;21;8;38
2019;"BELO MONTE (AL)";"AL";"BELO MONTE";36;23;7;66
2019;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";207;77;102;386
2019;"BRANQUINHA (AL)";"AL";"BRANQUINHA";32;22;21;75
2019;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";83;41;13;137
2019;"CAJUEIRO (AL)";"AL";"CAJUEIRO";90;10;51;151
2019;"CAMPESTRE (AL)";"AL";"CAMPESTRE";38;54;8;100
2019;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";134;114;158;406
2019;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";47;17;23;87
2019;"CANAPI (AL)";"AL";"CANAPI";70;84;27;181
2019;"CAPELA (AL)";"AL";"CAPELA";69;5;66;140
2019;"CARNEIROS (AL)";"AL";"CARNEIROS";32;19;10;61
2019;"CHA PRETA (AL)";"AL";"CHA PRETA";30;10;6;46
2019;"COITE DO NOIA (AL)";"AL";"COITE DO NOIA";84;11;25;120
2019;"COLONIA LEOPOLDINA (AL)";"AL";"COLONIA LEOPOLDINA";103;33;35;171
2019;"COQUEIRO SECO (AL)";"AL";"COQUEIRO SECO";10;4;9;23
2019;"CORURIPE (AL)";"AL";"CORURIPE";376;78;235;689
2019;"CRAIBAS (AL)";"AL";"CRAIBAS";233;40;37;310
2019;"DELMIRO GOUVEIA (AL)";"AL";"DELMIRO GOUVEIA";789;485;119;1393
2019;"DOIS RIACHOS (AL)";"AL";"DOIS RIACHOS";85;22;13;120
2019;"ESTRELA DE ALAGOAS (AL)";"AL";"ESTRELA DE ALAGOAS";59;90;26;175
2019;"FEIRA GRANDE (AL)";"AL";"FEIRA GRANDE";111;8;50;169
2019;"FELIZ DESERTO (AL)";"AL";"FELIZ DESERTO";14;5;9;28
2019;"FLEXEIRAS (AL)";"AL";"FLEXEIRAS";35;21;49;105
2019;"GIRAU DO PONCIANO (AL)";"AL";"GIRAU DO PONCIANO";220;70;94;384
2019;"IBATEGUARA (AL)";"AL";"IBATEGUARA";49;70;21;140
2019;"IGACI (AL)";"AL";"IGACI";143;128;41;312
2019;"IGREJA NOVA (AL)";"AL";"IGREJA NOVA";79;24;110;213
2019;"INHAPI (AL)";"AL";"INHAPI";82;24;10;116
2019;"JACARE DOS HOMENS (AL)";"AL";"JACARE DOS HOMENS";40;14;17;71
2019;"JACUIPE (AL)";"AL";"JACUIPE";14;19;20;53
2019;"JAPARATINGA (AL)";"AL";"JAPARATINGA";24;22;13;59
2019;"JARAMATAIA (AL)";"AL";"JARAMATAIA";29;14;7;50
2019;"JEQUIA DA PRAIA (AL)";"AL";"JEQUIA DA PRAIA";40;7;48;95
