"ano";"cod_mun";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais"
2007;1100023;"ARIQUEMES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1795;411;14991406.43
2007;1100031;"CABIXI (RO)";0;0;0;16500;0;0;0;6000;0;0;0;6435;0;0;0;0;69;241;2699846.54
2007;1100049;"CACOAL (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1473;503;11048285.23
2007;1100056;"CEREJEIRAS (RO)";0;0;0;46656;0;0;0;16200;0;0;0;18196;0;0;0;0;336;493;10974235.86
2007;1100064;"COLORADO DO OESTE (RO)";0;0;0;12420;0;0;0;4600;0;0;0;4844;0;0;0;0;373;418;7871955.98
2007;1100072;"CORUMBIARA (RO)";0;0;0;33480;0;0;0;11160;0;0;0;13057;0;0;0;0;44;701;11135899.91
2007;1100080;"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;138;2258632.12
2007;1100098;"ESPIGAO D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458;268;6346417.33
2007;1100106;"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;166;5039456.81
2007;1100114;"JARU (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989;1115;18661355.56
2007;1100122;"JI PARANA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2733;372;10884335.33
2007;1100130;"MACHADINHO D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;503;3632287.07
2007;1100148;"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;1080;5473885.56
2007;1100155;"OURO PRETO DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;741;580;12053018.77
2007;1100189;"PIMENTA BUENO (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;812;389;18372736.32
2007;1100205;"PORTO VELHO (RO)";0;0;0;810;0;0;0;320;0;0;0;316;0;0;0;0;4478;295;10763983.39
2007;1100254;"PRESIDENTE MEDICI (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244;1031;12945796.22
2007;1100262;"RIO CRESPO (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;70;1769299.38
2007;1100288;"ROLIM DE MOURA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1112;943;11796577.13
2007;1100304;"VILHENA (RO)";0;0;0;95200;0;0;0;34000;0;0;0;37128;0;0;0;822.219999999739;1228;399;23592560.42
2007;1100320;"SAO MIGUEL DO GUAPORE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;847;5611073.13
2007;1100379;"ALTO ALEGRE DOS PARECIS (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;741;4952176.41
2007;1100403;"ALTO PARAISO (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;199;1704643.57
2007;1100452;"BURITIS (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;304;1833918.19
2007;1100502;"NOVO HORIZONTE DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;774;3965370.31
