"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2007;"ACRELANDIA (AC)";"AC";"ACRELANDIA";77;1;16;94
2007;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";12;0;1;13
2007;"BRASILEIA (AC)";"AC";"BRASILEIA";109;0;5;114
2007;"BUJARI (AC)";"AC";"BUJARI";47;3;2;52
2007;"CAPIXABA (AC)";"AC";"CAPIXABA";32;1;4;37
2007;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";298;25;24;347
2007;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";88;1;8;97
2007;"FEIJO (AC)";"AC";"FEIJO";45;1;0;46
2007;"JORDAO (AC)";"AC";"JORDAO";0;0;0;0
2007;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";26;1;4;31
2007;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";6;0;0;6
2007;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";2;0;0;2
2007;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";66;1;1;68
2007;"PORTO ACRE (AC)";"AC";"PORTO ACRE";63;3;17;83
2007;"PORTO WALTER (AC)";"AC";"PORTO WALTER";0;0;0;0
2007;"RIO BRANCO (AC)";"AC";"RIO BRANCO";2767;94;368;3229
2007;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";4;0;0;4
2007;"SANTA ROSA (AC)";"AC";"SANTA ROSA";1;0;0;1
2007;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";53;1;1;55
2007;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";152;0;7;159
2007;"TARAUACA (AC)";"AC";"TARAUACA";54;0;2;56
2007;"XAPURI (AC)";"AC";"XAPURI";30;0;0;30
2007;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";33;7;1;41
2007;"ANADIA (AL)";"AL";"ANADIA";17;34;18;69
2007;"ARAPIRACA (AL)";"AL";"ARAPIRACA";2136;298;203;2637
2007;"ATALAIA (AL)";"AL";"ATALAIA";187;40;72;299
2007;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";22;5;8;35
2007;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";16;3;4;23
2007;"BATALHA (AL)";"AL";"BATALHA";65;10;2;77
2007;"BELEM (AL)";"AL";"BELEM";7;12;2;21
2007;"BELO MONTE (AL)";"AL";"BELO MONTE";18;2;0;20
