"ano";"cod_mun";"amc";"semiarido";"polos";"cod_uf";"uf";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2013;"1100015";"1001";0;0;11;"RO";"ALTA FLORESTA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622;697;11062330.6809854;86025.1477432482;15782.4051324856;56670.6796064811;93385.7309009918;251863.964159251;13019.0663628444;264883.030522095;10295.5138244591;"25728"
2013;"1100023";"1002";0;0;11;"RO";"ARIQUEMES (RO)";0;0;0;4926;0;0;0;1642;0;0;0;2867.48311793445;0;0;0;0;2326;343;8326435.0362975;72365.9202365788;275288.632416959;539220.437692222;362205.260872447;1249080.25121821;147684.748202505;1396765.00019676;13792.6248390305;"101269"
2013;"1100031";"1001";0;0;11;"RO";"CABIXI (RO)";0;0;0;43500;0;0;0;14500;0;0;0;29808.6316760433;0;0;0;0;103;235;4617959.88547184;29691.005888853;2648.0217137839;13803.8433331991;25484.2335449104;71627.1052567905;3156.0310761015;74783.136332892;11513.9574561168;"6495"
2013;"1100049";"1003";0;0;11;"RO";"CACOAL (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1965;699;13049477.4375907;109157.499572418;108869.927101742;465253.857337446;307191.049046804;990472.33305841;121795.659411241;1112267.99246965;12953.9849726633;"85863"
2013;"1100056";"1001";0;0;11;"RO";"CEREJEIRAS (RO)";0;0;0;78000;0;0;0;25000;0;0;0;53469.4416307669;0;0;0;0;391;222;4701790.05986515;35041.2156456943;15435.3768156397;116072.487494297;64481.1596127885;231030.240344463;43122.6250799315;274152.865424395;15196.10067632;"18041"
2013;"1100064";"1001";0;0;11;"RO";"COLORADO DO OESTE (RO)";0;0;0;9900;0;0;0;3000;0;0;0;6786.50605313579;0;0;0;0;437;462;9064057.75618361;39601.2168992059;17988.0289122845;51296.057052908;66810.0300675242;175695.332931923;12702.7647378988;188398.096893777;9817.51719342779;"19190"
2013;"1100072";"1001";0;0;11;"RO";"CORUMBIARA (RO)";0;0;0;110550;0;0;0;33000;0;0;0;75782.2629046102;0;0;0;0;100;802;12096695.981673;65744.7364198651;6571.39592850954;18563.4307242487;34831.1296308665;125710.69270349;5192.89163973672;130903.584343227;14486.8972129947;"9036"
2013;"1100080";"1001";0;0;11;"RO";"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;524;10839863.1068677;29640.7523741615;5122.8055408607;21845.9461314625;55617.1096577294;112226.613704214;3977.33178812398;116203.945492338;7330.09393535186;"15853"
2013;"1100098";"1004";0;0;11;"RO";"ESPIGAO D OESTE (RO)";0;0;0;480;0;0;0;200;0;0;0;372.501189880524;0;0;0;0;659;258;6080372.37211636;67347.9636920955;39053.5524570931;89036.2774085745;108689.348613462;304127.143723313;26891.5554569853;331018.699180298;10442.5586691644;"31699"
2013;"1100106";"1001";0;0;11;"RO";"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;941;78;433843.327752794;21881.2421712919;20213.2850568783;199428.876848147;161997.085925613;403520.49000193;66087.7463801251;469608.236382055;10262.1904888477;"45761"
2013;"1100114";"1002";0;0;11;"RO";"JARU (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1205;878;17057212.128716;95534.532728451;129197.719800434;323816.98234773;195075.204779754;743624.440432413;87076.0318032121;830700.472235625;14941.4650712708;"55597"
2013;"1100122";"1005";0;0;11;"RO";"JI PARANA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3367;381;7601738.20082553;76430.1154219621;260952.71692062;821370.443469173;427599.363474366;1586352.64006216;256597.497420201;1842950.13748237;14395.1222323379;"128026"
2013;"1100130";"1002";0;0;11;"RO";"MACHADINHO D OESTE (RO)";0;0;0;2592;0;0;0;720;0;0;0;1521.04652534547;0;0;0;0;424;967;13647248.8850207;68390.8808828608;34285.5092890332;66475.7017131208;123017.11719836;292169.209859419;15655.2285699955;307824.438429415;8638.74493849233;"35633"
2013;"1100148";"1005";0;0;11;"RO";"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;804;8302582.44255308;44197.142788305;9826.00789242463;38774.6134775367;75379.5697172457;168177.333875512;10837.7692388772;179015.103114389;8354.65069767679;"21427"
2013;"1100155";"1005";0;0;11;"RO";"OURO PRETO DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;887;480;11534437.2067957;71429.1022493095;36351.3675182123;147748.26896791;144670.467021904;400199.204981291;31625.417760653;431824.622741944;10768.9628367972;"40099"
2013;"1100189";"1004";0;0;11;"RO";"PIMENTA BUENO (RO)";0;0;0;315;0;0;0;105;0;0;0;244.453905859094;0;0;0;0;1157;319;3693900.1648417;45314.0177621887;105500.576234858;221863.813324563;126473.423811757;499151.83190941;87181.9346675392;586333.76657695;15873.0284636303;"36939"
2013;"1100205";"1006";0;0;11;"RO";"PORTO VELHO (RO)";0;0;0;596;0;0;0;240;0;0;0;367.844925007017;0;0;0;0;8422;831;15871112.6201668;213021.498813933;2194925.05438957;3638972.1358226;1789815.02653413;7836733.71556023;1242755.37114485;9079489.08670508;18720.9087064473;"484992"
2013;"1100254";"1005";0;0;11;"RO";"PRESIDENTE MEDICI (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367;707;12610320.8304698;52529.2633723472;18833.525128678;58000.2869057289;80940.8836588338;210303.958289544;16794.6848764273;227098.643165971;9866.56318342873;"23017"
2013;"1100262";"1002";0;0;11;"RO";"RIO CRESPO (RO)";0;0;0;2784;0;0;0;800;0;0;0;1978.91257124028;0;0;0;0;68;108;2802279.45423772;21696.6701598386;2582.52669207316;6107.63117106414;16694.4354937008;47081.2627406325;2377.54316750263;49458.8059081351;13491.217053327;"3666"
2013;"1100288";"1003";0;0;11;"RO";"ROLIM DE MOURA (RO)";0;0;0;3781;0;0;0;1500;0;0;0;2934.22291445471;0;0;0;0;1297;548;8035503.66030876;53909.2716346741;144313.286495546;263602.410233493;191205.273621158;653030.241984871;65656.0306938041;718686.272678675;12982.7529291401;"55357"
2013;"1100296";"1003";0;0;11;"RO";"SANTA LUZIA D OESTE (RO)";0;0;0;720;0;0;0;300;0;0;0;558.751784820786;0;0;0;0;202;281;4512632.79933804;37126.4136710255;9892.83538193334;14840.0407577078;31915.1119360231;93774.4009706456;3744.60390930466;97519.0048799502;10973.217655915;"8887"
2013;"1100304";"1001";0;0;11;"RO";"VILHENA (RO)";0;0;0;141900;0;0;0;43000;0;0;0;97273.2534282797;0;0;0;0;1838;329;5773960.41318841;58416.5725063033;308823.991825413;654056.838191211;325178.142825893;1346475.54612486;214548.970984804;1561024.51710967;17794.1179855831;"87727"
2013;"1100320";"1001";0;0;11;"RO";"SAO MIGUEL DO GUAPORE (RO)";0;0;0;6900;0;0;0;2300;0;0;0;4014.47636510823;0;0;0;0;350;1007;12584792.8350195;70599.7361104819;54471.4473262652;74567.9470517629;85666.5447279709;285305.675216481;21548.6979423793;306854.37315886;12964.9504764404;"23668"
2013;"1100346";"1005";0;0;11;"RO";"ALVORADA D OESTE (RO)";0;0;0;2076;0;0;0;629;0;0;0;1234.68623562482;0;0;0;0;335;808;15978331.6320836;45702.8011342877;6896.07805418329;28000.4558012289;61809.3102395586;142408.644453214;5922.57335597564;148331.21780919;8525.27176352498;"17399"
