"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"RO-ALTA FLORESTA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ALTA FLORESTA D OESTE";"ALTA FLORESTA D OESTE (RO)";2009
"RO-ARIQUEMES";0;0;0;0;0;0;0;0;0;"RO";"ARIQUEMES";"ARIQUEMES (RO)";2009
"RO-CABIXI";0;0;0;0;0;0;0;0;0;"RO";"CABIXI";"CABIXI (RO)";2009
"RO-CACOAL";0;0;0;0;0;0;0;0;0;"RO";"CACOAL";"CACOAL (RO)";2009
"RO-CEREJEIRAS";0;0;0;0;0;0;2325;0;2325;"RO";"CEREJEIRAS";"CEREJEIRAS (RO)";2009
"RO-COLORADO DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"COLORADO DO OESTE";"COLORADO DO OESTE (RO)";2009
"RO-CORUMBIARA";0;0;0;0;0;0;0;0;0;"RO";"CORUMBIARA";"CORUMBIARA (RO)";2009
"RO-COSTA MARQUES";0;0;0;0;0;0;0;0;0;"RO";"COSTA MARQUES";"COSTA MARQUES (RO)";2009
"RO-ESPIGAO D OESTE";0;0;0;0;0;0;0;0;0;"RO";"ESPIGAO D OESTE";"ESPIGAO D OESTE (RO)";2009
"RO-GUAJARA-MIRIM";0;0;0;0;0;0;0;0;0;"RO";"GUAJARA-MIRIM";"GUAJARA-MIRIM (RO)";2009
"RO-JARU";0;0;0;0;0;0;0;0;0;"RO";"JARU";"JARU (RO)";2009
"RO-JI-PARANA";0;0;0;0;0;0;0;0;0;"RO";"JI-PARANA";"JI-PARANA (RO)";2009
"RO-MACHADINHO D OESTE";0;0;0;0;0;0;0;0;0;"RO";"MACHADINHO D OESTE";"MACHADINHO D OESTE (RO)";2009
"RO-NOVA BRASILANDIA D OESTE";0;0;0;0;0;0;0;0;0;"RO";"NOVA BRASILANDIA D OESTE";"NOVA BRASILANDIA D OESTE (RO)";2009
"RO-OURO PRETO DO OESTE";0;0;0;0;0;0;0;0;0;"RO";"OURO PRETO DO OESTE";"OURO PRETO DO OESTE (RO)";2009
"RO-PIMENTA BUENO";0;0;0;0;0;0;0;0;0;"RO";"PIMENTA BUENO";"PIMENTA BUENO (RO)";2009
"RO-PORTO VELHO";0;0;0;0;0;0;0;0;0;"RO";"PORTO VELHO";"PORTO VELHO (RO)";2009
"RO-PRESIDENTE MEDICI";0;0;0;0;0;0;0;0;0;"RO";"PRESIDENTE MEDICI";"PRESIDENTE MEDICI (RO)";2009
"RO-RIO CRESPO";0;0;0;0;0;0;0;0;0;"RO";"RIO CRESPO";"RIO CRESPO (RO)";2009
"RO-ROLIM DE MOURA";0;0;0;0;0;0;0;0;0;"RO";"ROLIM DE MOURA";"ROLIM DE MOURA (RO)";2009
