"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2003;"1301704";"HUMAITA (AM)";0;0;0;1188
2003;"1301803";"IPIXUNA (AM)";0;0;0;0
2003;"1301852";"IRANDUBA (AM)";0;0;0;2
2003;"1301902";"ITACOATIARA (AM)";0;0;0;135
2003;"1301951";"ITAMARATI (AM)";0;0;0;0
2003;"1302009";"ITAPIRANGA (AM)";0;0;0;0
2003;"1302108";"JAPURA (AM)";0;0;0;0
2003;"1302207";"JURUA (AM)";0;0;0;0
2003;"1302306";"JUTAI (AM)";0;0;0;0
2003;"1302405";"LABREA (AM)";0;0;0;0
2003;"1302504";"MANACAPURU (AM)";0;0;0;0
2003;"1302553";"MANAQUIRI (AM)";0;0;0;0
2003;"1302603";"MANAUS (AM)";77;0;0;0
2003;"1302702";"MANICORE (AM)";0;0;0;0
2003;"1302801";"MARAA (AM)";0;0;0;0
2003;"1302900";"MAUES (AM)";0;0;0;0
2003;"1303007";"NHAMUNDA (AM)";0;0;0;0
2003;"1303106";"NOVA OLINDA DO NORTE (AM)";0;0;0;0
2003;"1303205";"NOVO AIRAO (AM)";0;0;0;0
2003;"1303304";"NOVO ARIPUANA (AM)";0;0;0;0
2003;"1303403";"PARINTINS (AM)";0;0;0;0
2003;"1303502";"PAUINI (AM)";0;0;0;0
2003;"1303536";"PRESIDENTE FIGUEIREDO (AM)";0;0;0;0
2003;"1303569";"RIO PRETO DA EVA (AM)";0;0;0;0
2003;"1303601";"SANTA ISABEL DO RIO NEGRO (AM)";0;0;0;0
2003;"1303700";"SANTO ANTONIO DO ICA (AM)";0;0;0;0
2003;"1303809";"SAO GABRIEL DA CACHOEIRA (AM)";0;0;0;0
2003;"1303908";"SAO PAULO DE OLIVENCA (AM)";0;0;0;0
2003;"1303957";"SAO SEBASTIAO DO UATUMA (AM)";0;0;0;0
2003;"1304005";"SILVES (AM)";0;0;0;0
2003;"1304062";"TABATINGA (AM)";0;0;0;0
2003;"1304104";"TAPAUA (AM)";0;0;0;0
2003;"1304203";"TEFE (AM)";0;0;0;0
2003;"1304237";"TONANTINS (AM)";0;0;0;0
2003;"1304260";"UARINI (AM)";0;0;0;0
2003;"1304302";"URUCARA (AM)";0;0;0;0
2003;"1304401";"URUCURITUBA (AM)";0;0;0;0
2003;"1400027";"AMAJARI (RR)";0;0;0;0
2003;"1400050";"ALTO ALEGRE (RR)";0;0;0;0
2003;"1400100";"BOA VISTA (RR)";0;0;0;0
2003;"1400159";"BONFIM (RR)";0;0;0;0
2003;"1400175";"CANTA (RR)";0;0;0;0
2003;"1400209";"CARACARAI (RR)";0;0;0;0
2003;"1400233";"CAROEBE (RR)";0;0;0;0
2003;"1400282";"IRACEMA (RR)";0;0;0;0
2003;"1400308";"MUCAJAI (RR)";0;0;0;0
2003;"1400407";"NORMANDIA (RR)";0;0;0;0
2003;"1400456";"PACARAIMA (RR)";0;0;0;0
2003;"1400472";"RORAINOPOLIS (RR)";0;0;0;0
2003;"1400506";"SAO JOAO DA BALIZA (RR)";0;0;0;0
2003;"1400605";"SAO LUIZ (RR)";0;0;0;0
2003;"1400704";"UIRAMUTA (RR)";0;0;0;0
2003;"1500107";"ABAETETUBA (PA)";0;0;0;0
2003;"1500131";"ABEL FIGUEIREDO (PA)";0;0;0;0
2003;"1500206";"ACARA (PA)";6030;0;0;0
2003;"1500305";"AFUA (PA)";0;0;0;0
2003;"1500347";"AGUA AZUL DO NORTE (PA)";0;0;0;0
2003;"1500404";"ALENQUER (PA)";0;0;0;0
2003;"1500503";"ALMEIRIM (PA)";0;0;0;0
2003;"1500602";"ALTAMIRA (PA)";0;0;0;108
2003;"1500701";"ANAJAS (PA)";0;0;0;0
2003;"1500800";"ANANINDEUA (PA)";0;0;0;0
2003;"1500859";"ANAPU (PA)";0;0;0;0
2003;"1500909";"AUGUSTO CORREA (PA)";0;0;0;0
2003;"1500958";"AURORA DO PARA (PA)";0;0;0;0
2003;"1501006";"AVEIRO (PA)";0;0;0;0
2003;"1501105";"BAGRE (PA)";0;0;0;0
2003;"1501204";"BAIAO (PA)";0;0;0;0
2003;"1501253";"BANNACH (PA)";0;0;0;0
2003;"1501303";"BARCARENA (PA)";0;0;0;0
2003;"1501402";"BELEM (PA)";0;0;0;0
2003;"1501451";"BELTERRA (PA)";0;0;0;2517
2003;"1501501";"BENEVIDES (PA)";0;0;0;0
2003;"1501576";"BOM JESUS DO TOCANTINS (PA)";0;0;0;0
2003;"1501600";"BONITO (PA)";1800;0;0;0
2003;"1501709";"BRAGANCA (PA)";0;0;0;0
2003;"1501725";"BRASIL NOVO (PA)";0;0;0;0
2003;"1501758";"BREJO GRANDE DO ARAGUAIA (PA)";0;0;0;0
2003;"1501782";"BREU BRANCO (PA)";0;0;0;0
