"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2006;"ITAI (SP)";"SP";"ITAI";403;22;82;507
2006;"ITAJOBI (SP)";"SP";"ITAJOBI";415;10;39;464
2006;"ITAJU (SP)";"SP";"ITAJU";56;1;9;66
2006;"ITANHAEM (SP)";"SP";"ITANHAEM";589;88;94;771
2006;"ITAOCA (SP)";"SP";"ITAOCA";10;7;5;22
2006;"ITAPECERICA DA SERRA (SP)";"SP";"ITAPECERICA DA SERRA";1377;399;294;2070
2006;"ITAPETININGA (SP)";"SP";"ITAPETININGA";1957;205;243;2405
2006;"ITAPEVA (SP)";"SP";"ITAPEVA";1524;132;265;1921
2006;"ITAPEVI (SP)";"SP";"ITAPEVI";1021;130;79;1230
2006;"ITAPIRA (SP)";"SP";"ITAPIRA";1365;76;158;1599
2006;"ITAPIRAPUA PAULISTA (SP)";"SP";"ITAPIRAPUA PAULISTA";29;6;5;40
2006;"ITAPOLIS (SP)";"SP";"ITAPOLIS";1108;21;147;1276
2006;"ITAPORANGA (SP)";"SP";"ITAPORANGA";195;7;35;237
2006;"ITAPUI (SP)";"SP";"ITAPUI";334;14;33;381
2006;"ITAPURA (SP)";"SP";"ITAPURA";15;3;5;23
2006;"ITAQUAQUECETUBA (SP)";"SP";"ITAQUAQUECETUBA";1464;235;396;2095
2006;"ITARARE (SP)";"SP";"ITARARE";815;31;241;1087
2006;"ITARIRI (SP)";"SP";"ITARIRI";241;7;15;263
2006;"ITATIBA (SP)";"SP";"ITATIBA";1805;121;179;2105
2006;"ITATINGA (SP)";"SP";"ITATINGA";159;19;72;250
2006;"ITIRAPINA (SP)";"SP";"ITIRAPINA";198;11;46;255
2006;"ITIRAPUA (SP)";"SP";"ITIRAPUA";55;5;20;80
2006;"ITOBI (SP)";"SP";"ITOBI";109;7;61;177
2006;"ITU (SP)";"SP";"ITU";2259;215;415;2889
2006;"ITUPEVA (SP)";"SP";"ITUPEVA";633;69;39;741
2006;"ITUVERAVA (SP)";"SP";"ITUVERAVA";622;29;113;764
2006;"JABORANDI (SP)";"SP";"JABORANDI";140;8;37;185
2006;"JABOTICABAL (SP)";"SP";"JABOTICABAL";1392;68;172;1632
2006;"JACAREI (SP)";"SP";"JACAREI";2061;376;262;2699
2006;"JACI (SP)";"SP";"JACI";138;5;11;154
2006;"JACUPIRANGA (SP)";"SP";"JACUPIRANGA";314;17;179;510
2006;"JAGUARIUNA (SP)";"SP";"JAGUARIUNA";838;68;115;1021
2006;"JALES (SP)";"SP";"JALES";954;28;53;1035
2006;"JAMBEIRO (SP)";"SP";"JAMBEIRO";29;7;7;43
2006;"JANDIRA (SP)";"SP";"JANDIRA";921;145;101;1167
2006;"JARDINOPOLIS (SP)";"SP";"JARDINOPOLIS";719;47;85;851
2006;"JARINU (SP)";"SP";"JARINU";409;18;32;459
2006;"JAU (SP)";"SP";"JAU";1782;199;251;2232
2006;"JERIQUARA (SP)";"SP";"JERIQUARA";36;5;7;48
2006;"JOANOPOLIS (SP)";"SP";"JOANOPOLIS";230;15;11;256
2006;"JOAO RAMALHO (SP)";"SP";"JOAO RAMALHO";25;4;21;50
2006;"JOSE BONIFACIO (SP)";"SP";"JOSE BONIFACIO";604;20;74;698
2006;"JULIO MESQUITA (SP)";"SP";"JULIO MESQUITA";34;1;15;50
2006;"JUMIRIM (SP)";"SP";"JUMIRIM";67;4;4;75
2006;"JUNDIAI (SP)";"SP";"JUNDIAI";5505;675;755;6935
2006;"JUNQUEIROPOLIS (SP)";"SP";"JUNQUEIROPOLIS";362;13;92;467
2006;"JUQUIA (SP)";"SP";"JUQUIA";323;16;18;357
2006;"JUQUITIBA (SP)";"SP";"JUQUITIBA";376;55;51;482
2006;"LAGOINHA (SP)";"SP";"LAGOINHA";64;9;9;82
2006;"LARANJAL PAULISTA (SP)";"SP";"LARANJAL PAULISTA";526;29;98;653
2006;"LAVINIA (SP)";"SP";"LAVINIA";69;7;9;85
2006;"LAVRINHAS (SP)";"SP";"LAVRINHAS";99;20;10;129
2006;"LEME (SP)";"SP";"LEME";1833;73;343;2249
2006;"LENCOIS PAULISTA (SP)";"SP";"LENCOIS PAULISTA";1102;77;141;1320
2006;"LIMEIRA (SP)";"SP";"LIMEIRA";3820;471;512;4803
2006;"LINDOIA (SP)";"SP";"LINDOIA";95;7;10;112
2006;"LINS (SP)";"SP";"LINS";1054;54;146;1254
2006;"LORENA (SP)";"SP";"LORENA";680;85;26;791
2006;"LOURDES (SP)";"SP";"LOURDES";20;3;9;32
2006;"LOUVEIRA (SP)";"SP";"LOUVEIRA";715;68;32;815
2006;"LUCELIA (SP)";"SP";"LUCELIA";351;24;126;501
2006;"LUCIANOPOLIS (SP)";"SP";"LUCIANOPOLIS";42;4;9;55
2006;"LUIS ANTONIO (SP)";"SP";"LUIS ANTONIO";226;19;104;349
2006;"LUIZIANIA (SP)";"SP";"LUIZIANIA";52;1;16;69
2006;"LUPERCIO (SP)";"SP";"LUPERCIO";48;2;24;74
2006;"LUTECIA (SP)";"SP";"LUTECIA";38;5;6;49
2006;"MACATUBA (SP)";"SP";"MACATUBA";553;18;59;630
2006;"MACAUBAL (SP)";"SP";"MACAUBAL";113;7;13;133
2006;"MACEDONIA (SP)";"SP";"MACEDONIA";46;3;9;58
2006;"MAGDA (SP)";"SP";"MAGDA";81;7;11;99
2006;"MAIRINQUE (SP)";"SP";"MAIRINQUE";399;62;78;539
2006;"MAIRIPORA (SP)";"SP";"MAIRIPORA";816;109;115;1040
2006;"MANDURI (SP)";"SP";"MANDURI";131;13;39;183
2006;"MARABA PAULISTA (SP)";"SP";"MARABA PAULISTA";30;2;12;44
