"ano";"chave";"Estado";"Mun";"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"Total"
2006;"ALTA FLORESTA D OESTE (RO)";"RO";"ALTA FLORESTA D OESTE";"RO-ALTA FLORESTA D OESTE";0;0;0;0;0;0;0;0;0
2006;"ARIQUEMES (RO)";"RO";"ARIQUEMES";"RO-ARIQUEMES";0;0;0;0;0;0;0;0;0
2006;"CABIXI (RO)";"RO";"CABIXI";"RO-CABIXI";0;0;0;0;0;0;0;0;0
2006;"CACOAL (RO)";"RO";"CACOAL";"RO-CACOAL";0;0;0;0;815.740000000224;0;0;0;815.740000000224
2006;"CEREJEIRAS (RO)";"RO";"CEREJEIRAS";"RO-CEREJEIRAS";0;0;0;0;0;0;0;0;0
2006;"COLORADO DO OESTE (RO)";"RO";"COLORADO DO OESTE";"RO-COLORADO DO OESTE";0;0;0;0;0;0;0;0;0
2006;"CORUMBIARA (RO)";"RO";"CORUMBIARA";"RO-CORUMBIARA";0;0;0;0;0;0;0;0;0
2006;"COSTA MARQUES (RO)";"RO";"COSTA MARQUES";"RO-COSTA MARQUES";0;0;0;0;0;0;0;0;0
2006;"ESPIGAO D OESTE (RO)";"RO";"ESPIGAO D OESTE";"RO-ESPIGAO D OESTE";0;0;0;0;0;0;0;0;0
2006;"GUAJARA MIRIM (RO)";"RO";"GUAJARA MIRIM";"RO-GUAJARA-MIRIM";0;0;0;0;0;0;0;0;0
2006;"JARU (RO)";"RO";"JARU";"RO-JARU";0;0;0;0;0;0;0;0;0
2006;"JI PARANA (RO)";"RO";"JI PARANA";"RO-JI-PARANA";0;0;0;0;0;0;0;0;0
2006;"MACHADINHO D OESTE (RO)";"RO";"MACHADINHO D OESTE";"RO-MACHADINHO D OESTE";0;0;0;0;0;0;0;0;0
2006;"NOVA BRASILANDIA D OESTE (RO)";"RO";"NOVA BRASILANDIA D OESTE";"RO-NOVA BRASILANDIA D OESTE";0;0;0;0;0;0;0;0;0
2006;"OURO PRETO DO OESTE (RO)";"RO";"OURO PRETO DO OESTE";"RO-OURO PRETO DO OESTE";0;0;0;0;0;0;0;0;0
2006;"PIMENTA BUENO (RO)";"RO";"PIMENTA BUENO";"RO-PIMENTA BUENO";0;0;0;0;0;0;0;0;0
2006;"PORTO VELHO (RO)";"RO";"PORTO VELHO";"RO-PORTO VELHO";0;0;0;0;0;0;0;0;0
2006;"PRESIDENTE MEDICI (RO)";"RO";"PRESIDENTE MEDICI";"RO-PRESIDENTE MEDICI";0;0;0;0;0;0;0;0;0
2006;"RIO CRESPO (RO)";"RO";"RIO CRESPO";"RO-RIO CRESPO";0;0;0;0;0;0;0;0;0
2006;"ROLIM DE MOURA (RO)";"RO";"ROLIM DE MOURA";"RO-ROLIM DE MOURA";0;0;0;0;0;0;0;0;0
2006;"SANTA LUZIA D OESTE (RO)";"RO";"SANTA LUZIA D OESTE";"RO-SANTA LUZIA D OESTE";0;0;0;0;0;0;0;0;0
2006;"VILHENA (RO)";"RO";"VILHENA";"RO-VILHENA";0;0;0;0;0;0;0;800.070000000298;800.070000000298
2006;"SAO MIGUEL DO GUAPORE (RO)";"RO";"SAO MIGUEL DO GUAPORE";"RO-SAO MIGUEL DO GUAPORE";0;0;0;0;0;0;0;0;0
2006;"NOVA MAMORE (RO)";"RO";"NOVA MAMORE";"RO-NOVA MAMORE";0;0;0;0;0;0;0;0;0
2006;"ALVORADA D OESTE (RO)";"RO";"ALVORADA D OESTE";"RO-ALVORADA D OESTE";0;0;0;0;0;0;0;0;0
2006;"ALTO ALEGRE DOS PARECIS (RO)";"RO";"ALTO ALEGRE DOS PARECIS";"RO-ALTO ALEGRE DOS PARECIS";0;0;0;0;0;0;0;0;0
2006;"ALTO PARAISO (RO)";"RO";"ALTO PARAISO";"RO-ALTO PARAISO";0;0;0;0;0;0;0;0;0
2006;"BURITIS (RO)";"RO";"BURITIS";"RO-BURITIS";0;0;0;0;0;0;0;0;0
2006;"NOVO HORIZONTE DO OESTE (RO)";"RO";"NOVO HORIZONTE DO OESTE";"RO-NOVO HORIZONTE DO OESTE";0;0;0;0;0;0;0;0;0
2006;"CACAULANDIA (RO)";"RO";"CACAULANDIA";"RO-CACAULANDIA";0;0;0;0;0;0;0;0;0
2006;"CAMPO NOVO DE RONDONIA (RO)";"RO";"CAMPO NOVO DE RONDONIA";"RO-CAMPO NOVO DE RONDONIA";0;0;0;0;0;0;0;0;0
2006;"CANDEIAS DO JAMARI (RO)";"RO";"CANDEIAS DO JAMARI";"RO-CANDEIAS DO JAMARI";0;0;0;0;0;0;0;0;0
2006;"CASTANHEIRAS (RO)";"RO";"CASTANHEIRAS";"RO-CASTANHEIRAS";0;0;0;0;0;0;0;0;0
2006;"CHUPINGUAIA (RO)";"RO";"CHUPINGUAIA";"RO-CHUPINGUAIA";0;0;0;0;0;0;0;0;0
2006;"CUJUBIM (RO)";"RO";"CUJUBIM";"RO-CUJUBIM";0;0;0;0;0;0;0;0;0
2006;"GOVERNADOR JORGE TEIXEIRA (RO)";"RO";"GOVERNADOR JORGE TEIXEIRA";"RO-GOVERNADOR JORGE TEIXEIRA";0;0;0;0;0;0;0;0;0
2006;"ITAPUA DO OESTE (RO)";"RO";"ITAPUA DO OESTE";"RO-ITAPUA DO OESTE";0;0;0;0;0;0;0;0;0
