"ano";"chave";"estado";"municipio";"total.contratos";"valores.totais"
2006;"ACRELANDIA (AC)";"AC";"ACRELANDIA";783;3736329.16
2006;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";232;391171.3
2006;"BRASILEIA (AC)";"AC";"BRASILEIA";587;2268221.92
2006;"BUJARI (AC)";"AC";"BUJARI";305;5672067.47
2006;"CAPIXABA (AC)";"AC";"CAPIXABA";355;1898589.9
2006;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";155;1139822.03
2006;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";665;1710890.96
2006;"FEIJO (AC)";"AC";"FEIJO";62;289761.93
2006;"JORDAO (AC)";"AC";"JORDAO";4;66358
2006;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";60;85100.73
2006;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";2;1998.2
2006;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";116;270829.38
2006;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";663;3022783.93
2006;"PORTO ACRE (AC)";"AC";"PORTO ACRE";640;3254039.75
2006;"PORTO WALTER (AC)";"AC";"PORTO WALTER";24;52125.27
2006;"RIO BRANCO (AC)";"AC";"RIO BRANCO";1961;22918220.32
2006;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";47;86214.99
2006;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";191;2928174.87
2006;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";627;3851522.82
2006;"TARAUACA (AC)";"AC";"TARAUACA";146;2165112.42
2006;"XAPURI (AC)";"AC";"XAPURI";107;2514163.23
2006;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";1387;573149.94
2006;"ANADIA (AL)";"AL";"ANADIA";110;634987.88
2006;"ARAPIRACA (AL)";"AL";"ARAPIRACA";3343;13455228.73
2006;"ATALAIA (AL)";"AL";"ATALAIA";126;10475304.7
