"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2006;"1101609";"THEOBROMA (RO)";0;0;0;0
2006;"1101708";"URUPA (RO)";0;0;0;0
2006;"1101757";"VALE DO ANARI (RO)";0;0;0;0
2006;"1101807";"VALE DO PARAISO (RO)";0;0;0;0
2006;"1200013";"ACRELANDIA (AC)";0;0;0;0
2006;"1200054";"ASSIS BRASIL (AC)";0;0;0;0
2006;"1200104";"BRASILEIA (AC)";0;0;0;0
2006;"1200138";"BUJARI (AC)";0;0;0;0
2006;"1200179";"CAPIXABA (AC)";0;0;0;0
2006;"1200203";"CRUZEIRO DO SUL (AC)";0;0;0;0
2006;"1200252";"EPITACIOLANDIA (AC)";0;0;0;0
2006;"1200302";"FEIJO (AC)";0;0;0;0
2006;"1200328";"JORDAO (AC)";0;0;0;0
2006;"1200336";"MANCIO LIMA (AC)";0;0;0;0
2006;"1200344";"MANOEL URBANO (AC)";0;0;0;0
2006;"1200351";"MARECHAL THAUMATURGO (AC)";0;0;0;0
2006;"1200385";"PLACIDO DE CASTRO (AC)";0;0;0;0
2006;"1200393";"PORTO WALTER (AC)";0;0;0;0
2006;"1200401";"RIO BRANCO (AC)";0;0;0;0
2006;"1200427";"RODRIGUES ALVES (AC)";0;0;0;0
2006;"1200435";"SANTA ROSA DO PURUS (AC)";0;0;0;0
2006;"1200450";"SENADOR GUIOMARD (AC)";0;0;0;24
2006;"1200500";"SENA MADUREIRA (AC)";0;0;0;0
2006;"1200609";"TARAUACA (AC)";0;0;0;0
2006;"1200708";"XAPURI (AC)";0;0;0;0
2006;"1200807";"PORTO ACRE (AC)";0;0;0;0
2006;"1300029";"ALVARAES (AM)";0;0;0;0
2006;"1300060";"AMATURA (AM)";0;0;0;0
2006;"1300086";"ANAMA (AM)";0;0;0;0
2006;"1300102";"ANORI (AM)";0;0;0;0
2006;"1300144";"APUI (AM)";0;0;0;0
2006;"1300201";"ATALAIA DO NORTE (AM)";0;0;0;0
2006;"1300300";"AUTAZES (AM)";0;0;0;0
2006;"1300409";"BARCELOS (AM)";0;0;0;0
2006;"1300508";"BARREIRINHA (AM)";0;0;0;0
2006;"1300607";"BENJAMIN CONSTANT (AM)";0;0;0;0
2006;"1300631";"BERURI (AM)";0;0;0;0
2006;"1300680";"BOA VISTA DO RAMOS (AM)";0;0;0;0
2006;"1300706";"BOCA DO ACRE (AM)";0;0;0;0
2006;"1300805";"BORBA (AM)";0;0;0;0
2006;"1300839";"CAAPIRANGA (AM)";0;0;0;0
2006;"1300904";"CANUTAMA (AM)";0;0;0;0
2006;"1301001";"CARAUARI (AM)";0;0;0;0
2006;"1301100";"CAREIRO (AM)";0;0;0;0
2006;"1301159";"CAREIRO DA VARZEA (AM)";0;0;0;0
2006;"1301209";"COARI (AM)";0;0;0;0
2006;"1301308";"CODAJAS (AM)";0;0;0;0
2006;"1301407";"EIRUNEPE (AM)";0;0;0;0
2006;"1301506";"ENVIRA (AM)";0;0;0;0
2006;"1301605";"FONTE BOA (AM)";0;0;0;0
2006;"1301654";"GUAJARA (AM)";0;0;0;0
2006;"1301704";"HUMAITA (AM)";0;0;0;4750
2006;"1301803";"IPIXUNA (AM)";0;0;0;0
2006;"1301852";"IRANDUBA (AM)";0;0;0;11
2006;"1301902";"ITACOATIARA (AM)";0;0;0;375
2006;"1301951";"ITAMARATI (AM)";0;0;0;0
2006;"1302009";"ITAPIRANGA (AM)";0;0;0;0
2006;"1302108";"JAPURA (AM)";0;0;0;0
2006;"1302207";"JURUA (AM)";0;0;0;0
2006;"1302306";"JUTAI (AM)";0;0;0;0
2006;"1302405";"LABREA (AM)";0;0;0;0
2006;"1302504";"MANACAPURU (AM)";0;0;0;0
2006;"1302553";"MANAQUIRI (AM)";0;0;0;0
2006;"1302603";"MANAUS (AM)";183;0;0;0
2006;"1302702";"MANICORE (AM)";0;0;0;0
2006;"1302801";"MARAA (AM)";0;0;0;0
2006;"1302900";"MAUES (AM)";0;0;0;0
2006;"1303007";"NHAMUNDA (AM)";0;0;0;0
2006;"1303106";"NOVA OLINDA DO NORTE (AM)";0;0;0;0
2006;"1303205";"NOVO AIRAO (AM)";0;0;0;0
2006;"1303304";"NOVO ARIPUANA (AM)";0;0;0;0
2006;"1303403";"PARINTINS (AM)";0;0;0;0
2006;"1303502";"PAUINI (AM)";0;0;0;0
2006;"1303536";"PRESIDENTE FIGUEIREDO (AM)";0;0;0;0
2006;"1303569";"RIO PRETO DA EVA (AM)";0;0;0;0
2006;"1303601";"SANTA ISABEL DO RIO NEGRO (AM)";0;0;0;0
2006;"1303700";"SANTO ANTONIO DO ICA (AM)";0;0;0;0
2006;"1303809";"SAO GABRIEL DA CACHOEIRA (AM)";0;0;0;0
2006;"1303908";"SAO PAULO DE OLIVENCA (AM)";0;0;0;0
2006;"1303957";"SAO SEBASTIAO DO UATUMA (AM)";0;0;0;0
2006;"1304005";"SILVES (AM)";0;0;0;0
2006;"1304062";"TABATINGA (AM)";0;0;0;0
2006;"1304104";"TAPAUA (AM)";0;0;0;0
2006;"1304203";"TEFE (AM)";0;0;0;0
2006;"1304237";"TONANTINS (AM)";0;0;0;0
2006;"1304260";"UARINI (AM)";0;0;0;0
2006;"1304302";"URUCARA (AM)";0;0;0;0
2006;"1304401";"URUCURITUBA (AM)";0;0;0;2
2006;"1400027";"AMAJARI (RR)";0;0;0;0
2006;"1400050";"ALTO ALEGRE (RR)";0;0;0;11200
2006;"1400100";"BOA VISTA (RR)";0;0;0;5600
2006;"1400159";"BONFIM (RR)";0;0;0;5600
2006;"1400175";"CANTA (RR)";0;0;0;5600
2006;"1400209";"CARACARAI (RR)";0;0;0;2800
2006;"1400233";"CAROEBE (RR)";0;0;0;0
2006;"1400282";"IRACEMA (RR)";0;0;0;0
2006;"1400308";"MUCAJAI (RR)";0;0;0;0
2006;"1400407";"NORMANDIA (RR)";0;0;0;0
2006;"1400456";"PACARAIMA (RR)";0;0;0;0
2006;"1400472";"RORAINOPOLIS (RR)";0;0;0;0
