"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2012;"ACRELANDIA (AC)";"AC";"ACRELANDIA";190;4;34;228
2012;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";16;2;2;20
2012;"BRASILEIA (AC)";"AC";"BRASILEIA";167;2;9;178
2012;"BUJARI (AC)";"AC";"BUJARI";83;3;5;91
2012;"CAPIXABA (AC)";"AC";"CAPIXABA";68;1;8;77
2012;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";557;51;50;658
2012;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";164;1;11;176
2012;"FEIJO (AC)";"AC";"FEIJO";85;1;2;88
2012;"JORDAO (AC)";"AC";"JORDAO";2;0;0;2
2012;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";68;2;8;78
2012;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";23;0;2;25
2012;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";5;0;2;7
2012;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";134;1;11;146
2012;"PORTO ACRE (AC)";"AC";"PORTO ACRE";136;2;29;167
2012;"PORTO WALTER (AC)";"AC";"PORTO WALTER";4;0;2;6
2012;"RIO BRANCO (AC)";"AC";"RIO BRANCO";3706;166;526;4398
2012;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";10;0;1;11
2012;"SANTA ROSA DO PURUS (AC)";"AC";"SANTA ROSA DO PURUS";3;0;1;4
2012;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";84;3;4;91
2012;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";297;5;17;319
2012;"TARAUACA (AC)";"AC";"TARAUACA";128;10;8;146
2012;"XAPURI (AC)";"AC";"XAPURI";58;3;2;63
2012;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";58;64;8;130
2012;"ANADIA (AL)";"AL";"ANADIA";46;54;35;135
2012;"ARAPIRACA (AL)";"AL";"ARAPIRACA";2716;428;305;3449
2012;"ATALAIA (AL)";"AL";"ATALAIA";199;49;113;361
2012;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";22;7;17;46
2012;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";19;2;5;26
2012;"BATALHA (AL)";"AL";"BATALHA";86;24;4;114
2012;"BELEM (AL)";"AL";"BELEM";9;21;5;35
2012;"BELO MONTE (AL)";"AL";"BELO MONTE";34;7;2;43
2012;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";230;59;86;375
2012;"BRANQUINHA (AL)";"AL";"BRANQUINHA";19;23;11;53
2012;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";38;27;9;74
2012;"CAJUEIRO (AL)";"AL";"CAJUEIRO";95;8;47;150
2012;"CAMPESTRE (AL)";"AL";"CAMPESTRE";14;47;8;69
2012;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";135;125;112;372
