"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2012;"1100015";"ALTA FLORESTA D OESTE (RO)";0;0;0;0
2012;"1100023";"ARIQUEMES (RO)";0;0;0;4926
2012;"1100031";"CABIXI (RO)";0;0;0;37000
2012;"1100049";"CACOAL (RO)";0;0;0;0
2012;"1100056";"CEREJEIRAS (RO)";0;0;0;75000
2012;"1100064";"COLORADO DO OESTE (RO)";0;0;0;9360
2012;"1100072";"CORUMBIARA (RO)";0;0;0;78000
2012;"1100080";"COSTA MARQUES (RO)";0;0;0;0
2012;"1100098";"ESPIGAO D OESTE (RO)";0;0;0;480
2012;"1100106";"GUAJARA MIRIM (RO)";0;0;0;0
2012;"1100114";"JARU (RO)";0;0;0;0
2012;"1100122";"JI PARANA (RO)";0;0;0;0
2012;"1100130";"MACHADINHO D OESTE (RO)";0;0;0;2592
2012;"1100148";"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0
2012;"1100155";"OURO PRETO DO OESTE (RO)";0;0;0;0
2012;"1100189";"PIMENTA BUENO (RO)";0;0;0;0
2012;"1100205";"PORTO VELHO (RO)";0;0;0;596
2012;"1100254";"PRESIDENTE MEDICI (RO)";0;0;0;0
2012;"1100262";"RIO CRESPO (RO)";0;0;0;1908
2012;"1100288";"ROLIM DE MOURA (RO)";0;0;0;542
2012;"1100296";"SANTA LUZIA D OESTE (RO)";0;0;0;0
2012;"1100304";"VILHENA (RO)";0;0;0;137280
2012;"1100320";"SAO MIGUEL DO GUAPORE (RO)";0;0;0;876
2012;"1100338";"NOVA MAMORE (RO)";0;0;0;0
2012;"1100346";"ALVORADA D OESTE (RO)";0;0;0;0
2012;"1100379";"ALTO ALEGRE DOS PARECIS (RO)";0;0;0;4590
2012;"1100403";"ALTO PARAISO (RO)";0;0;0;3960
2012;"1100452";"BURITIS (RO)";0;0;0;0
2012;"1100502";"NOVO HORIZONTE DO OESTE (RO)";0;0;0;0
2012;"1100601";"CACAULANDIA (RO)";0;0;0;0
2012;"1100700";"CAMPO NOVO DE RONDONIA (RO)";0;0;0;0
2012;"1100809";"CANDEIAS DO JAMARI (RO)";0;0;0;0
2012;"1100908";"CASTANHEIRAS (RO)";0;0;0;1200
2012;"1100924";"CHUPINGUAIA (RO)";0;0;0;59000
2012;"1100940";"CUJUBIM (RO)";0;0;0;0
2012;"1101005";"GOVERNADOR JORGE TEIXEIRA (RO)";0;0;0;0
2012;"1101104";"ITAPUA DO OESTE (RO)";0;0;0;1080
2012;"1101203";"MINISTRO ANDREAZZA (RO)";0;0;0;0
2012;"1101302";"MIRANTE DA SERRA (RO)";0;0;0;0
2012;"1101401";"MONTE NEGRO (RO)";0;0;0;0
2012;"1101435";"NOVA UNIAO (RO)";0;0;0;0
2012;"1101450";"PARECIS (RO)";0;0;0;0
2012;"1101468";"PIMENTEIRAS DO OESTE (RO)";0;0;0;51000
2012;"1101476";"PRIMAVERA DE RONDONIA (RO)";0;0;0;0
2012;"1101484";"SAO FELIPE D OESTE (RO)";0;0;0;480
