"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2003;"ACRELANDIA (AC)";"AC";"ACRELANDIA";33;0;7;40
2003;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";8;0;0;8
2003;"BRASILEIA (AC)";"AC";"BRASILEIA";68;0;3;71
2003;"BUJARI (AC)";"AC";"BUJARI";24;2;2;28
2003;"CAPIXABA (AC)";"AC";"CAPIXABA";7;1;2;10
2003;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";209;16;17;242
2003;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";51;0;5;56
2003;"FEIJO (AC)";"AC";"FEIJO";23;0;0;23
2003;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";14;1;3;18
2003;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";3;0;0;3
2003;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";31;1;1;33
2003;"PORTO ACRE (AC)";"AC";"PORTO ACRE";20;1;0;21
2003;"RIO BRANCO (AC)";"AC";"RIO BRANCO";2415;77;320;2812
2003;"SANTA ROSA (AC)";"AC";"SANTA ROSA";0;0;0;0
2003;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";32;1;1;34
2003;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";73;0;4;77
2003;"TARAUACA (AC)";"AC";"TARAUACA";20;0;0;20
2003;"XAPURI (AC)";"AC";"XAPURI";14;0;0;14
2003;"ARAPIRACA (AL)";"AL";"ARAPIRACA";1810;271;216;2297
2003;"ATALAIA (AL)";"AL";"ATALAIA";429;107;97;633
2003;"CAJUEIRO (AL)";"AL";"CAJUEIRO";0;0;0;0
2003;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";0;0;0;0
2003;"CORURIPE (AL)";"AL";"CORURIPE";319;51;149;519
2003;"DELMIRO GOUVEIA (AL)";"AL";"DELMIRO GOUVEIA";419;131;25;575
2003;"GIRAU DO PONCIANO (AL)";"AL";"GIRAU DO PONCIANO";156;33;41;230
2003;"MACEIO (AL)";"AL";"MACEIO";4081;555;1355;5991
2003;"MATRIZ DE CAMARAGIBE (AL)";"AL";"MATRIZ DE CAMARAGIBE";644;190;141;975
2003;"PALMEIRA DOS INDIOS (AL)";"AL";"PALMEIRA DOS INDIOS";506;151;86;743
2003;"PENEDO (AL)";"AL";"PENEDO";472;77;164;713
2003;"PORTO DE PEDRAS (AL)";"AL";"PORTO DE PEDRAS";1;0;0;1
2003;"QUEBRANGULO (AL)";"AL";"QUEBRANGULO";0;0;0;0
2003;"SANTANA DO IPANEMA (AL)";"AL";"SANTANA DO IPANEMA";610;92;52;754
2003;"SAO MIGUEL DOS CAMPOS (AL)";"AL";"SAO MIGUEL DOS CAMPOS";764;155;216;1135
2003;"TRAIPU (AL)";"AL";"TRAIPU";0;0;0;0
2003;"UNIAO DOS PALMARES (AL)";"AL";"UNIAO DOS PALMARES";620;141;107;868
2003;"VICOSA (AL)";"AL";"VICOSA";202;33;30;265
2003;"ALVARAES (AM)";"AM";"ALVARAES";0;0;1;1
2003;"AMATURA (AM)";"AM";"AMATURA";0;0;0;0
2003;"ANAMA (AM)";"AM";"ANAMA";0;0;0;0
2003;"ANORI (AM)";"AM";"ANORI";1;0;0;1
2003;"APUI (AM)";"AM";"APUI";15;0;1;16
2003;"ATALAIA DO NORTE (AM)";"AM";"ATALAIA DO NORTE";1;0;0;1
2003;"AUTAZES (AM)";"AM";"AUTAZES";3;0;0;3
2003;"BARCELOS (AM)";"AM";"BARCELOS";4;0;0;4
2003;"BARREIRINHA (AM)";"AM";"BARREIRINHA";0;0;0;0
2003;"BENJAMIN CONSTANT (AM)";"AM";"BENJAMIN CONSTANT";0;1;0;1
2003;"BERURI (AM)";"AM";"BERURI";0;0;0;0
2003;"BOA VISTA DO RAMOS (AM)";"AM";"BOA VISTA DO RAMOS";1;0;0;1
2003;"BOCA DO ACRE (AM)";"AM";"BOCA DO ACRE";14;2;1;17
2003;"BORBA (AM)";"AM";"BORBA";2;0;0;2
2003;"CAAPIRANGA (AM)";"AM";"CAAPIRANGA";4;1;0;5
2003;"CANUTAMA (AM)";"AM";"CANUTAMA";0;0;0;0
2003;"CARAUARI (AM)";"AM";"CARAUARI";6;1;0;7
2003;"CAREIRO (AM)";"AM";"CAREIRO";13;2;21;36
2003;"CAREIRO DA VARZEA (AM)";"AM";"CAREIRO DA VARZEA";4;2;2;8
2003;"COARI (AM)";"AM";"COARI";27;1;1;29
2003;"CODAJAS (AM)";"AM";"CODAJAS";2;0;0;2
2003;"EIRUNEPE (AM)";"AM";"EIRUNEPE";8;0;0;8
2003;"ENVIRA (AM)";"AM";"ENVIRA";3;0;1;4
2003;"FONTE BOA (AM)";"AM";"FONTE BOA";9;0;0;9
2003;"GUAJARA (AM)";"AM";"GUAJARA";0;0;0;0
2003;"HUMAITA (AM)";"AM";"HUMAITA";49;0;6;55
2003;"IPIXUNA (AM)";"AM";"IPIXUNA";1;0;0;1
2003;"IRANDUBA (AM)";"AM";"IRANDUBA";53;2;11;66
2003;"ITACOATIARA (AM)";"AM";"ITACOATIARA";189;14;36;239
2003;"ITAMARATI (AM)";"AM";"ITAMARATI";2;0;0;2
2003;"ITAPIRANGA (AM)";"AM";"ITAPIRANGA";1;0;0;1
2003;"JAPURA (AM)";"AM";"JAPURA";2;0;0;2
2003;"JURUA (AM)";"AM";"JURUA";3;0;0;3
2003;"JUTAI (AM)";"AM";"JUTAI";0;0;0;0
2003;"LABREA (AM)";"AM";"LABREA";8;0;1;9
2003;"MANACAPURU (AM)";"AM";"MANACAPURU";101;6;39;146
2003;"MANAQUIRI (AM)";"AM";"MANAQUIRI";1;0;0;1
2003;"MANAUS (AM)";"AM";"MANAUS";9067;1081;3367;13515
2003;"MANICORE (AM)";"AM";"MANICORE";5;1;0;6
2003;"MARAA (AM)";"AM";"MARAA";0;0;0;0
2003;"MAUES (AM)";"AM";"MAUES";18;0;2;20
2003;"NHAMUNDA (AM)";"AM";"NHAMUNDA";2;0;0;2
2003;"NOVA OLINDA DO NORTE (AM)";"AM";"NOVA OLINDA DO NORTE";3;0;2;5
2003;"NOVO AIRAO (AM)";"AM";"NOVO AIRAO";8;0;1;9
2003;"NOVO ARIPUANA (AM)";"AM";"NOVO ARIPUANA";4;0;4;8
2003;"PARINTINS (AM)";"AM";"PARINTINS";71;2;3;76
2003;"PAUINI (AM)";"AM";"PAUINI";4;1;0;5
2003;"PRESIDENTE FIGUEIREDO (AM)";"AM";"PRESIDENTE FIGUEIREDO";106;14;26;146
2003;"RIO PRETO DA EVA (AM)";"AM";"RIO PRETO DA EVA";30;2;10;42
2003;"SANTA ISABEL DO RIO NEGRO (AM)";"AM";"SANTA ISABEL DO RIO NEGRO";6;2;1;9
2003;"SANTO ANTONIO DO ICA (AM)";"AM";"SANTO ANTONIO DO ICA";3;0;0;3
2003;"SAO GABRIEL DA CACHOEIRA (AM)";"AM";"SAO GABRIEL DA CACHOEIRA";55;6;4;65
2003;"SAO PAULO DE OLIVENCA (AM)";"AM";"SAO PAULO DE OLIVENCA";1;0;0;1
2003;"SAO SEBASTIAO DO UATUMA (AM)";"AM";"SAO SEBASTIAO DO UATUMA";1;0;0;1
2003;"SILVES (AM)";"AM";"SILVES";5;2;1;8
2003;"TABATINGA (AM)";"AM";"TABATINGA";25;2;1;28
2003;"TAPAUA (AM)";"AM";"TAPAUA";1;0;1;2
2003;"TEFE (AM)";"AM";"TEFE";24;0;0;24
2003;"TONANTINS (AM)";"AM";"TONANTINS";0;0;0;0
2003;"UARINI (AM)";"AM";"UARINI";0;0;0;0
2003;"URUCARA (AM)";"AM";"URUCARA";3;0;1;4
2003;"URUCURITUBA (AM)";"AM";"URUCURITUBA";2;0;0;2
2003;"AMAPA (AP)";"AP";"AMAPA";4;1;0;5
2003;"CALCOENE (AP)";"AP";"CALCOENE";0;0;0;0
2003;"CUTIAS (AP)";"AP";"CUTIAS";1;0;0;1
2003;"FERREIRA GOMES (AP)";"AP";"FERREIRA GOMES";0;0;0;0
2003;"ITAUBAL (AP)";"AP";"ITAUBAL";0;0;2;2
2003;"LARANJAL DO JARI (AP)";"AP";"LARANJAL DO JARI";29;4;6;39
2003;"MACAPA (AP)";"AP";"MACAPA";1549;106;354;2009
2003;"MAZAGAO (AP)";"AP";"MAZAGAO";6;1;1;8
2003;"OIAPOQUE (AP)";"AP";"OIAPOQUE";22;1;1;24
2003;"PORTO GRANDE (AP)";"AP";"PORTO GRANDE";15;0;1;16
2003;"PRACUUBA (AP)";"AP";"PRACUUBA";0;0;0;0
2003;"SANTANA (AP)";"AP";"SANTANA";372;21;31;424
2003;"SERRA DO NAVIO (AP)";"AP";"SERRA DO NAVIO";0;0;0;0
2003;"TARTARUGALZINHO (AP)";"AP";"TARTARUGALZINHO";4;0;0;4
2003;"VITORIA DO JARI (AP)";"AP";"VITORIA DO JARI";0;0;1;1
2003;"ABAIRA (BA)";"BA";"ABAIRA";26;5;10;41
2003;"ABARE (BA)";"BA";"ABARE";12;2;8;22
2003;"ACAJUTIBA (BA)";"BA";"ACAJUTIBA";26;3;3;32
2003;"ADUSTINA (BA)";"BA";"ADUSTINA";12;5;1;18
2003;"AGUA FRIA (BA)";"BA";"AGUA FRIA";9;5;7;21
2003;"AIQUARA (BA)";"BA";"AIQUARA";5;1;0;6
2003;"ALAGOINHAS (BA)";"BA";"ALAGOINHAS";712;88;221;1021
2003;"ALCOBACA (BA)";"BA";"ALCOBACA";16;1;6;23
2003;"ALMADINA (BA)";"BA";"ALMADINA";7;1;1;9
2003;"AMARGOSA (BA)";"BA";"AMARGOSA";145;7;27;179
2003;"AMELIA RODRIGUES (BA)";"BA";"AMELIA RODRIGUES";115;21;14;150
2003;"AMERICA DOURADA (BA)";"BA";"AMERICA DOURADA";10;3;2;15
2003;"ANAGE (BA)";"BA";"ANAGE";37;8;16;61
2003;"ANDARAI (BA)";"BA";"ANDARAI";14;1;3;18
2003;"ANDORINHA (BA)";"BA";"ANDORINHA";31;2;16;49
2003;"ANGICAL (BA)";"BA";"ANGICAL";6;7;2;15
2003;"ANGUERA (BA)";"BA";"ANGUERA";10;5;5;20
2003;"ANTAS (BA)";"BA";"ANTAS";17;3;5;25
2003;"ANTONIO CARDOSO (BA)";"BA";"ANTONIO CARDOSO";0;11;8;19
2003;"ANTONIO GONCALVES (BA)";"BA";"ANTONIO GONCALVES";13;2;3;18
2003;"APORA (BA)";"BA";"APORA";15;5;7;27
2003;"APUAREMA (BA)";"BA";"APUAREMA";16;0;4;20
2003;"ARACAS (BA)";"BA";"ARACAS";25;11;9;45
2003;"ARACATU (BA)";"BA";"ARACATU";41;3;9;53
2003;"ARACI (BA)";"BA";"ARACI";88;4;25;117
2003;"ARAMARI (BA)";"BA";"ARAMARI";8;1;2;11
2003;"ARATACA (BA)";"BA";"ARATACA";9;0;2;11
2003;"ARATUIPE (BA)";"BA";"ARATUIPE";10;0;5;15
2003;"AURELINO LEAL (BA)";"BA";"AURELINO LEAL";32;3;4;39
2003;"BAIANOPOLIS (BA)";"BA";"BAIANOPOLIS";23;3;4;30
2003;"BAIXA GRANDE (BA)";"BA";"BAIXA GRANDE";34;5;11;50
2003;"BANZAE (BA)";"BA";"BANZAE";12;2;16;30
2003;"BARRA (BA)";"BA";"BARRA";17;3;6;26
2003;"BARRA DA ESTIVA (BA)";"BA";"BARRA DA ESTIVA";83;6;14;103
2003;"BARRA DO CHOCA (BA)";"BA";"BARRA DO CHOCA";56;26;8;90
2003;"BARRA DO MENDES (BA)";"BA";"BARRA DO MENDES";25;3;2;30
2003;"BARRA DO ROCHA (BA)";"BA";"BARRA DO ROCHA";5;1;0;6
2003;"BARREIRAS (BA)";"BA";"BARREIRAS";1396;40;164;1600
2003;"BARRO ALTO (BA)";"BA";"BARRO ALTO";27;1;5;33
2003;"BARRO PRETO (BA)";"BA";"BARRO PRETO";13;1;5;19
2003;"BARROCAS (BA)";"BA";"BARROCAS";45;1;3;49
2003;"BELMONTE (BA)";"BA";"BELMONTE";23;0;2;25
2003;"BELO CAMPO (BA)";"BA";"BELO CAMPO";45;7;9;61
2003;"BIRITINGA (BA)";"BA";"BIRITINGA";10;6;15;31
2003;"BOA NOVA (BA)";"BA";"BOA NOVA";12;6;9;27
2003;"BOA VISTA DO TUPIM (BA)";"BA";"BOA VISTA DO TUPIM";33;1;5;39
2003;"BOM JESUS DA LAPA (BA)";"BA";"BOM JESUS DA LAPA";237;18;45;300
2003;"BOM JESUS DA SERRA (BA)";"BA";"BOM JESUS DA SERRA";8;14;9;31
2003;"BONINAL (BA)";"BA";"BONINAL";43;5;10;58
2003;"BONITO (BA)";"BA";"BONITO";21;0;3;24
2003;"BOQUIRA (BA)";"BA";"BOQUIRA";55;6;26;87
2003;"BOTUPORA (BA)";"BA";"BOTUPORA";15;2;10;27
2003;"BREJOES (BA)";"BA";"BREJOES";54;1;8;63
2003;"BREJOLANDIA (BA)";"BA";"BREJOLANDIA";15;2;4;21
2003;"BROTAS DE MACAUBAS (BA)";"BA";"BROTAS DE MACAUBAS";10;5;5;20
2003;"BRUMADO (BA)";"BA";"BRUMADO";683;56;111;850
2003;"BUERAREMA (BA)";"BA";"BUERAREMA";71;2;8;81
2003;"BURITIRAMA (BA)";"BA";"BURITIRAMA";5;1;6;12
2003;"CAATIBA (BA)";"BA";"CAATIBA";3;0;0;3
2003;"CABACEIRAS DO PARAGUACU (BA)";"BA";"CABACEIRAS DO PARAGUACU";26;3;9;38
2003;"CACHOEIRA (BA)";"BA";"CACHOEIRA";56;28;43;127
2003;"CACULE (BA)";"BA";"CACULE";171;9;10;190
2003;"CAEM (BA)";"BA";"CAEM";11;3;6;20
2003;"CAETANOS (BA)";"BA";"CAETANOS";8;2;1;11
2003;"CAETITE (BA)";"BA";"CAETITE";304;19;35;358
2003;"CAFARNAUM (BA)";"BA";"CAFARNAUM";21;0;5;26
2003;"CAIRU (BA)";"BA";"CAIRU";4;0;1;5
2003;"CALDEIRAO GRANDE (BA)";"BA";"CALDEIRAO GRANDE";15;1;6;22
2003;"CAMACAN (BA)";"BA";"CAMACAN";141;4;28;173
2003;"CAMACARI (BA)";"BA";"CAMACARI";900;188;316;1404
2003;"CAMAMU (BA)";"BA";"CAMAMU";54;8;8;70
2003;"CAMPO ALEGRE DE LOURDES (BA)";"BA";"CAMPO ALEGRE DE LOURDES";21;3;0;24
2003;"CAMPO FORMOSO (BA)";"BA";"CAMPO FORMOSO";109;9;47;165
2003;"CANAPOLIS (BA)";"BA";"CANAPOLIS";5;4;6;15
2003;"CANARANA (BA)";"BA";"CANARANA";77;3;4;84
2003;"CANAVIEIRAS (BA)";"BA";"CANAVIEIRAS";45;5;3;53
2003;"CANDEAL (BA)";"BA";"CANDEAL";16;6;2;24
2003;"CANDEIAS (BA)";"BA";"CANDEIAS";383;105;159;647
2003;"CANDIBA (BA)";"BA";"CANDIBA";33;1;6;40
2003;"CANDIDO SALES (BA)";"BA";"CANDIDO SALES";187;13;14;214
2003;"CANSANCAO (BA)";"BA";"CANSANCAO";75;4;12;91
2003;"CANUDOS (BA)";"BA";"CANUDOS";20;6;12;38
2003;"CAPELA DO ALTO ALEGRE (BA)";"BA";"CAPELA DO ALTO ALEGRE";37;4;14;55
2003;"CAPIM GROSSO (BA)";"BA";"CAPIM GROSSO";279;15;17;311
2003;"CARAIBAS (BA)";"BA";"CARAIBAS";19;7;8;34
2003;"CARAVELAS (BA)";"BA";"CARAVELAS";13;4;27;44
2003;"CARDEAL DA SILVA (BA)";"BA";"CARDEAL DA SILVA";10;3;2;15
2003;"CARINHANHA (BA)";"BA";"CARINHANHA";60;4;10;74
2003;"CASA NOVA (BA)";"BA";"CASA NOVA";139;71;44;254
2003;"CASTRO ALVES (BA)";"BA";"CASTRO ALVES";82;3;26;111
2003;"CATOLANDIA (BA)";"BA";"CATOLANDIA";3;2;2;7
2003;"CATU (BA)";"BA";"CATU";239;45;55;339
2003;"CATURAMA (BA)";"BA";"CATURAMA";5;0;5;10
2003;"CENTRAL (BA)";"BA";"CENTRAL";48;1;3;52
2003;"CHORROCHO (BA)";"BA";"CHORROCHO";3;0;3;6
2003;"CICERO DANTAS (BA)";"BA";"CICERO DANTAS";60;7;19;86
2003;"CIPO (BA)";"BA";"CIPO";31;3;0;34
2003;"COARACI (BA)";"BA";"COARACI";70;3;12;85
2003;"COCOS (BA)";"BA";"COCOS";35;2;11;48
2003;"CONCEICAO DA FEIRA (BA)";"BA";"CONCEICAO DA FEIRA";97;31;10;138
2003;"CONCEICAO DO ALMEIDA (BA)";"BA";"CONCEICAO DO ALMEIDA";52;14;7;73
2003;"CONCEICAO DO COITE (BA)";"BA";"CONCEICAO DO COITE";278;39;26;343
2003;"CONCEICAO DO JACUIPE (BA)";"BA";"CONCEICAO DO JACUIPE";118;69;8;195
2003;"CONDE (BA)";"BA";"CONDE";20;4;0;24
2003;"CONDEUBA (BA)";"BA";"CONDEUBA";71;13;23;107
2003;"CONTENDAS DO SINCORA (BA)";"BA";"CONTENDAS DO SINCORA";1;3;0;4
2003;"CORACAO DE MARIA (BA)";"BA";"CORACAO DE MARIA";64;18;23;105
2003;"CORDEIROS (BA)";"BA";"CORDEIROS";15;8;7;30
2003;"CORIBE (BA)";"BA";"CORIBE";20;7;7;34
2003;"CORONEL JOAO SA (BA)";"BA";"CORONEL JOAO SA";26;0;9;35
2003;"CORRENTINA (BA)";"BA";"CORRENTINA";71;3;25;99
2003;"COTEGIPE (BA)";"BA";"COTEGIPE";12;4;2;18
2003;"CRAVOLANDIA (BA)";"BA";"CRAVOLANDIA";12;2;1;15
2003;"CRISOPOLIS (BA)";"BA";"CRISOPOLIS";37;3;13;53
2003;"CRISTOPOLIS (BA)";"BA";"CRISTOPOLIS";33;1;4;38
2003;"CRUZ DAS ALMAS (BA)";"BA";"CRUZ DAS ALMAS";489;66;35;590
2003;"CURACA (BA)";"BA";"CURACA";24;17;14;55
2003;"DARIO MEIRA (BA)";"BA";"DARIO MEIRA";10;2;2;14
2003;"DIAS D AVILA (BA)";"BA";"DIAS D AVILA";274;35;179;488
2003;"DOM BASILIO (BA)";"BA";"DOM BASILIO";122;2;8;132
2003;"DOM MACEDO COSTA (BA)";"BA";"DOM MACEDO COSTA";10;5;2;17
2003;"ELISIO MEDRADO (BA)";"BA";"ELISIO MEDRADO";15;3;9;27
2003;"ENCRUZILHADA (BA)";"BA";"ENCRUZILHADA";31;9;4;44
2003;"ENTRE RIOS (BA)";"BA";"ENTRE RIOS";94;22;22;138
2003;"ERICO CARDOSO (BA)";"BA";"ERICO CARDOSO";12;1;2;15
2003;"ESPLANADA (BA)";"BA";"ESPLANADA";59;12;16;87
