"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2016;"ACRELANDIA (AC)";"AC";"ACRELANDIA";230;8;43;281
2016;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";28;2;2;32
2016;"BRASILEIA (AC)";"AC";"BRASILEIA";234;4;17;255
2016;"BUJARI (AC)";"AC";"BUJARI";107;4;12;123
2016;"CAPIXABA (AC)";"AC";"CAPIXABA";77;1;13;91
2016;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";710;59;66;835
2016;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";214;2;14;230
2016;"FEIJO (AC)";"AC";"FEIJO";109;2;6;117
2016;"JORDAO (AC)";"AC";"JORDAO";3;0;0;3
2016;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";79;3;11;93
2016;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";48;0;5;53
2016;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";10;0;8;18
2016;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";145;3;16;164
2016;"PORTO ACRE (AC)";"AC";"PORTO ACRE";171;1;35;207
2016;"PORTO WALTER (AC)";"AC";"PORTO WALTER";9;0;4;13
2016;"RIO BRANCO (AC)";"AC";"RIO BRANCO";4125;224;718;5067
2016;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";16;0;7;23
2016;"SANTA ROSA DO PURUS (AC)";"AC";"SANTA ROSA DO PURUS";4;0;3;7
2016;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";97;5;8;110
2016;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";344;9;29;382
2016;"TARAUACA (AC)";"AC";"TARAUACA";138;20;25;183
2016;"XAPURI (AC)";"AC";"XAPURI";70;4;5;79
2016;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";71;73;11;155
2016;"ANADIA (AL)";"AL";"ANADIA";43;42;38;123
2016;"ARAPIRACA (AL)";"AL";"ARAPIRACA";2883;390;379;3652
2016;"ATALAIA (AL)";"AL";"ATALAIA";200;47;138;385
2016;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";31;4;22;57
2016;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";29;4;9;42
2016;"BATALHA (AL)";"AL";"BATALHA";108;38;11;157
2016;"BELEM (AL)";"AL";"BELEM";11;23;5;39
2016;"BELO MONTE (AL)";"AL";"BELO MONTE";35;14;7;56
2016;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";217;68;93;378
2016;"BRANQUINHA (AL)";"AL";"BRANQUINHA";30;20;20;70
2016;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";66;46;12;124
2016;"CAJUEIRO (AL)";"AL";"CAJUEIRO";89;8;49;146
2016;"CAMPESTRE (AL)";"AL";"CAMPESTRE";31;53;9;93
2016;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";128;107;129;364
2016;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";51;18;19;88
2016;"CANAPI (AL)";"AL";"CANAPI";46;39;22;107
2016;"CAPELA (AL)";"AL";"CAPELA";65;5;59;129
2016;"CARNEIROS (AL)";"AL";"CARNEIROS";33;11;5;49
2016;"CHA PRETA (AL)";"AL";"CHA PRETA";30;7;6;43
2016;"COITE DO NOIA (AL)";"AL";"COITE DO NOIA";73;8;26;107
2016;"COLONIA LEOPOLDINA (AL)";"AL";"COLONIA LEOPOLDINA";81;22;33;136
2016;"COQUEIRO SECO (AL)";"AL";"COQUEIRO SECO";8;3;9;20
2016;"CORURIPE (AL)";"AL";"CORURIPE";339;78;231;648
2016;"CRAIBAS (AL)";"AL";"CRAIBAS";150;36;28;214
2016;"DELMIRO GOUVEIA (AL)";"AL";"DELMIRO GOUVEIA";545;410;67;1022
2016;"DOIS RIACHOS (AL)";"AL";"DOIS RIACHOS";79;17;13;109
2016;"ESTRELA DE ALAGOAS (AL)";"AL";"ESTRELA DE ALAGOAS";50;85;25;160
2016;"FEIRA GRANDE (AL)";"AL";"FEIRA GRANDE";82;2;46;130
2016;"FELIZ DESERTO (AL)";"AL";"FELIZ DESERTO";10;4;11;25
2016;"FLEXEIRAS (AL)";"AL";"FLEXEIRAS";34;20;45;99
2016;"GIRAU DO PONCIANO (AL)";"AL";"GIRAU DO PONCIANO";201;60;68;329
2016;"IBATEGUARA (AL)";"AL";"IBATEGUARA";43;62;15;120
2016;"IGACI (AL)";"AL";"IGACI";128;127;38;293
2016;"IGREJA NOVA (AL)";"AL";"IGREJA NOVA";83;25;96;204
