"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2017;"1100015";"ALTA FLORESTA D OESTE (RO)";0;0;0;1350
2017;"1100023";"ARIQUEMES (RO)";0;0;0;10959
2017;"1100031";"CABIXI (RO)";0;0;0;70320
2017;"1100049";"CACOAL (RO)";0;0;0;1710
2017;"1100056";"CEREJEIRAS (RO)";0;0;0;98000
2017;"1100064";"COLORADO DO OESTE (RO)";0;0;0;10888
2017;"1100072";"CORUMBIARA (RO)";0;0;0;125500
2017;"1100080";"COSTA MARQUES (RO)";0;0;0;0
2017;"1100098";"ESPIGAO D OESTE (RO)";0;0;0;3240
2017;"1100106";"GUAJARA MIRIM (RO)";0;0;0;0
2017;"1100114";"JARU (RO)";0;0;0;0
2017;"1100122";"JI PARANA (RO)";0;0;0;0
2017;"1100130";"MACHADINHO D OESTE (RO)";0;0;0;17788
2017;"1100148";"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0
2017;"1100155";"OURO PRETO DO OESTE (RO)";0;0;0;0
2017;"1100189";"PIMENTA BUENO (RO)";0;0;0;3680
2017;"1100205";"PORTO VELHO (RO)";0;0;0;30880
2017;"1100254";"PRESIDENTE MEDICI (RO)";0;0;0;0
2017;"1100262";"RIO CRESPO (RO)";0;0;0;39533
2017;"1100288";"ROLIM DE MOURA (RO)";0;0;0;14894
2017;"1100296";"SANTA LUZIA D OESTE (RO)";0;0;0;1920
2017;"1100304";"VILHENA (RO)";0;0;0;188100
2017;"1100320";"SAO MIGUEL DO GUAPORE (RO)";0;0;0;27000
2017;"1100338";"NOVA MAMORE (RO)";0;0;0;690
2017;"1100346";"ALVORADA D OESTE (RO)";0;0;0;3036
2017;"1100379";"ALTO ALEGRE DOS PARECIS (RO)";0;0;0;10135
2017;"1100403";"ALTO PARAISO (RO)";0;0;0;21882
2017;"1100452";"BURITIS (RO)";0;0;0;0
2017;"1100502";"NOVO HORIZONTE DO OESTE (RO)";0;0;0;4500
2017;"1100601";"CACAULANDIA (RO)";0;0;0;0
2017;"1100700";"CAMPO NOVO DE RONDONIA (RO)";0;0;0;0
2017;"1100809";"CANDEIAS DO JAMARI (RO)";0;0;0;13500
2017;"1100908";"CASTANHEIRAS (RO)";0;0;0;6300
2017;"1100924";"CHUPINGUAIA (RO)";0;0;0;85800
2017;"1100940";"CUJUBIM (RO)";0;0;0;17985
2017;"1101005";"GOVERNADOR JORGE TEIXEIRA (RO)";0;0;0;0
2017;"1101104";"ITAPUA DO OESTE (RO)";0;0;0;6696
2017;"1101203";"MINISTRO ANDREAZZA (RO)";0;0;0;0
2017;"1101302";"MIRANTE DA SERRA (RO)";0;0;0;0
2017;"1101401";"MONTE NEGRO (RO)";0;0;0;0
2017;"1101435";"NOVA UNIAO (RO)";0;0;0;0
2017;"1101450";"PARECIS (RO)";0;0;0;3540
2017;"1101468";"PIMENTEIRAS DO OESTE (RO)";0;0;0;79200
2017;"1101476";"PRIMAVERA DE RONDONIA (RO)";0;0;0;0
2017;"1101484";"SAO FELIPE D OESTE (RO)";0;0;0;1276
2017;"1101492";"SAO FRANCISCO DO GUAPORE (RO)";0;0;0;2100
2017;"1101500";"SERINGUEIRAS (RO)";0;0;0;9000
2017;"1101559";"TEIXEIROPOLIS (RO)";0;0;0;0
2017;"1101609";"THEOBROMA (RO)";0;0;0;1650
2017;"1101708";"URUPA (RO)";0;0;0;0
2017;"1101757";"VALE DO ANARI (RO)";0;0;0;402
2017;"1101807";"VALE DO PARAISO (RO)";0;0;0;0
2017;"1200013";"ACRELANDIA (AC)";0;0;0;0
2017;"1200054";"ASSIS BRASIL (AC)";0;0;0;0
2017;"1200104";"BRASILEIA (AC)";0;0;0;0
2017;"1200138";"BUJARI (AC)";0;0;0;0
2017;"1200179";"CAPIXABA (AC)";0;0;0;81
2017;"1200203";"CRUZEIRO DO SUL (AC)";0;0;0;0
