"ano";"chave";"estado";"municipio";"total.contratos";"valores.totais"
2017;"ACRELANDIA (AC)";"AC";"ACRELANDIA";272;10411066.22
2017;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";239;8464667.41
2017;"BRASILEIA (AC)";"AC";"BRASILEIA";296;10675164.41
2017;"BUJARI (AC)";"AC";"BUJARI";69;2986604.85
2017;"CAPIXABA (AC)";"AC";"CAPIXABA";42;1607683.24
2017;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";63;1049429.14
2017;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";85;5040315.05
2017;"FEIJO (AC)";"AC";"FEIJO";145;2810792.06
2017;"JORDAO (AC)";"AC";"JORDAO";27;67500
2017;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";189;2120125.73
2017;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";48;1007946.05
2017;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";206;8530596.96
2017;"PORTO ACRE (AC)";"AC";"PORTO ACRE";275;7066517.11
2017;"PORTO WALTER (AC)";"AC";"PORTO WALTER";3;57255.41
2017;"RIO BRANCO (AC)";"AC";"RIO BRANCO";489;27425199.71
2017;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";67;1224661.08
2017;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";303;7990339.97
2017;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";213;8152025.77
2017;"TARAUACA (AC)";"AC";"TARAUACA";404;10749320
2017;"XAPURI (AC)";"AC";"XAPURI";194;6789023.16
2017;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";533;2055652.55
2017;"ANADIA (AL)";"AL";"ANADIA";74;1440051.92
2017;"ARAPIRACA (AL)";"AL";"ARAPIRACA";651;3857326.47
2017;"ATALAIA (AL)";"AL";"ATALAIA";36;487741.44
2017;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";104;333997.95
2017;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";4;17000
2017;"BATALHA (AL)";"AL";"BATALHA";565;2587935.51
2017;"BELEM (AL)";"AL";"BELEM";85;677751.91
2017;"BELO MONTE (AL)";"AL";"BELO MONTE";595;2416294.64
2017;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";82;2864459.54
2017;"BRANQUINHA (AL)";"AL";"BRANQUINHA";9;168290
2017;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";277;3730589.08
2017;"CAJUEIRO (AL)";"AL";"CAJUEIRO";48;242558.64
2017;"CAMPESTRE (AL)";"AL";"CAMPESTRE";64;244133.25
2017;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";12;257419.91
2017;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";447;4528668.46
2017;"CANAPI (AL)";"AL";"CANAPI";962;3051167.11
2017;"CAPELA (AL)";"AL";"CAPELA";13;438959.61
2017;"CARNEIROS (AL)";"AL";"CARNEIROS";124;774603.97
2017;"CHA PRETA (AL)";"AL";"CHA PRETA";66;790548.01
2017;"COITE DO NOIA (AL)";"AL";"COITE DO NOIA";436;3385367.82
2017;"COLONIA LEOPOLDINA (AL)";"AL";"COLONIA LEOPOLDINA";54;1113737.12
2017;"COQUEIRO SECO (AL)";"AL";"COQUEIRO SECO";4;19000
2017;"CORURIPE (AL)";"AL";"CORURIPE";1275;6169891.18
2017;"CRAIBAS (AL)";"AL";"CRAIBAS";109.451;9466263.21
2017;"DELMIRO GOUVEIA (AL)";"AL";"DELMIRO GOUVEIA";180;1036023.89
2017;"DOIS RIACHOS (AL)";"AL";"DOIS RIACHOS";442;2703736.06
2017;"ESTRELA DE ALAGOAS (AL)";"AL";"ESTRELA DE ALAGOAS";31.242;5118247.47
2017;"FEIRA GRANDE (AL)";"AL";"FEIRA GRANDE";628;3678197.04
2017;"FELIZ DESERTO (AL)";"AL";"FELIZ DESERTO";41;168984
2017;"FLEXEIRAS (AL)";"AL";"FLEXEIRAS";16;74995.85
2017;"GIRAU DO PONCIANO (AL)";"AL";"GIRAU DO PONCIANO";307.633;12971553.12
2017;"IBATEGUARA (AL)";"AL";"IBATEGUARA";281;1382305.33
2017;"IGACI (AL)";"AL";"IGACI";863;4842267.12
2017;"IGREJA NOVA (AL)";"AL";"IGREJA NOVA";216.926;10724214.49
2017;"INHAPI (AL)";"AL";"INHAPI";626;2652918.83
2017;"JACARE DOS HOMENS (AL)";"AL";"JACARE DOS HOMENS";173;723476.02
2017;"JACUIPE (AL)";"AL";"JACUIPE";12;32000
2017;"JAPARATINGA (AL)";"AL";"JAPARATINGA";271;779567.21
2017;"JARAMATAIA (AL)";"AL";"JARAMATAIA";106;590210.35
2017;"JEQUIA DA PRAIA (AL)";"AL";"JEQUIA DA PRAIA";113;514000
2017;"JOAQUIM GOMES (AL)";"AL";"JOAQUIM GOMES";116;598492.09
2017;"JUNDIA (AL)";"AL";"JUNDIA";146;910140.54
2017;"JUNQUEIRO (AL)";"AL";"JUNQUEIRO";805;4781843.26
2017;"LAGOA DA CANOA (AL)";"AL";"LAGOA DA CANOA";427;1878048.33
2017;"LIMOEIRO DE ANADIA (AL)";"AL";"LIMOEIRO DE ANADIA";336;3677513.81
2017;"MACEIO (AL)";"AL";"MACEIO";154;583857.49
2017;"MAJOR ISIDORO (AL)";"AL";"MAJOR ISIDORO";841;6550954.23
2017;"MAR VERMELHO (AL)";"AL";"MAR VERMELHO";193;2319319.32
2017;"MARAGOGI (AL)";"AL";"MARAGOGI";554;2910124.66
2017;"MARAVILHA (AL)";"AL";"MARAVILHA";416;1760753.55
2017;"MARECHAL DEODORO (AL)";"AL";"MARECHAL DEODORO";66;238998
2017;"MARIBONDO (AL)";"AL";"MARIBONDO";92;2178228.7
2017;"MATA GRANDE (AL)";"AL";"MATA GRANDE";772;3745752.85
2017;"MATRIZ DE CAMARAGIBE (AL)";"AL";"MATRIZ DE CAMARAGIBE";50;263973.49
2017;"MINADOR DO NEGRAO (AL)";"AL";"MINADOR DO NEGRAO";180;1608059.15
2017;"MONTEIROPOLIS (AL)";"AL";"MONTEIROPOLIS";315;1109733.33
2017;"MURICI (AL)";"AL";"MURICI";4;23142.5
2017;"NOVO LINO (AL)";"AL";"NOVO LINO";180;1193407.6
2017;"OLHO D AGUA DAS FLORES (AL)";"AL";"OLHO D AGUA DAS FLORES";284;1701568.92
2017;"OLHO D AGUA DO CASADO (AL)";"AL";"OLHO D AGUA DO CASADO";203;1125152.13
2017;"OLHO D AGUA GRANDE (AL)";"AL";"OLHO D AGUA GRANDE";670;3379911.27
2017;"OLIVENCA (AL)";"AL";"OLIVENCA";473;2106298.26
2017;"OURO BRANCO (AL)";"AL";"OURO BRANCO";1007;2918453.11
2017;"PALESTINA (AL)";"AL";"PALESTINA";76;254946
2017;"PALMEIRA DOS INDIOS (AL)";"AL";"PALMEIRA DOS INDIOS";989;7044632.06
2017;"PAO DE ACUCAR (AL)";"AL";"PAO DE ACUCAR";823;5544335.45
2017;"PARICONHA (AL)";"AL";"PARICONHA";220;1069367.83
2017;"PARIPUEIRA (AL)";"AL";"PARIPUEIRA";15;82007.34
2017;"PASSO DE CAMARAGIBE (AL)";"AL";"PASSO DE CAMARAGIBE";39;132950.95
2017;"PAULO JACINTO (AL)";"AL";"PAULO JACINTO";106;1367252.13
2017;"PENEDO (AL)";"AL";"PENEDO";790;3503490.04
2017;"PIACABUCU (AL)";"AL";"PIACABUCU";173;1098073.67
2017;"PILAR (AL)";"AL";"PILAR";57;1120791.75
2017;"PINDOBA (AL)";"AL";"PINDOBA";57;486147.4
2017;"PIRANHAS (AL)";"AL";"PIRANHAS";451;2693713.93
2017;"POCO DAS TRINCHEIRAS (AL)";"AL";"POCO DAS TRINCHEIRAS";738;2727303.14
2017;"PORTO CALVO (AL)";"AL";"PORTO CALVO";179;534203.79
