"ano";"cod_mun";"amc";"semiarido";"polos";"cod_uf";"uf";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2017;1100015;1001;0;0;11;"RO";"ALTA FLORESTA D OESTE (RO)";0;0;0;1350;0;0;0;450;0;0;0;1350;0;0;0;0;639;668;2305967866;169623256;27804789;117717149;15492648;470071673;28792515;498864189;1961175;"25437"
2017;1100023;1002;0;0;11;"RO";"ARIQUEMES (RO)";0;0;0;10959;0;0;0;3321;0;0;0;11324;0;0;0;0;2387;421;1680448096;16521694;330319176;933934701;634590874;2064061693;232012013;2296073705;2138967;"107345"
2017;1100031;1001;0;0;11;"RO";"CABIXI (RO)";0;0;0;70320;0;0;0;21309;0;0;0;72641;0;0;0;0;145;245;715704449;63021988;4796667;22430865;43149749;133399269;5494276;138893545;223158;"6224"
2017;1100049;1003;0;0;11;"RO";"CACOAL (RO)";0;0;0;1710;0;0;0;570;0;0;0;1710;0;0;0;0;2278;595;2228681925;255059849;224595381;908665369;521368147;1909688746;217834509;2127523254;2403791;"88507"
2017;1100056;1001;0;0;11;"RO";"CEREJEIRAS (RO)";0;0;0;98000;0;0;0;28000;0;0;0;101234;0;0;0;303701999999955;437;176;66952512;6193989;22170163;192882452;107818724;384811229;63712941;448524171;2500971;"17934"
2017;1100064;1001;0;0;11;"RO";"COLORADO DO OESTE (RO)";0;0;0;10888;0;0;0;3250;0;0;0;11247;0;0;0;0;504;510;2037611596;7834565;29585241;99815483;109525353;317271727;22774776;340046503;1841374;"18467"
2017;1100072;1001;0;0;11;"RO";"CORUMBIARA (RO)";0;0;0;125500;0;0;0;39000;0;0;0;128644;0;0;0;0;162;325;1287539902;227123262;10132076;26156711;57590834;321002883;9390331;330393214;3815605;"8659"
2017;1100080;1001;0;0;11;"RO";"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;472;1392021691;62851881;59516;4099539;98159019;20795789;8034366;215992256;1241335;"17400"
2017;1100098;1004;0;0;11;"RO";"ESPIGAO D OESTE (RO)";0;0;0;3240;0;0;0;1080;0;0;0;3240;0;0;0;0;834;221;992070934;124625439;47622035;171562852;186837462;530647789;4733451;577982298;1749871;"33030"
2017;1100106;1001;0;0;11;"RO";"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;858;25;163888606;47073511;25607512;344446397;275441684;692569103;112000504;804569608;169558;"47451"
2017;1100114;1002;0;0;11;"RO";"JARU (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1266;950;4004970837;172324511;220173613;548564144;316104998;1257167267;156461029;1413628295;2530165;"55871"
2017;1100122;1005;0;0;11;"RO";"JI PARANA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3996;417;1586668811;142860713;362951788;1389114442;732030998;2626957941;399800843;3026758784;2281471;"132667"
2017;1100130;1002;0;0;11;"RO";"MACHADINHO D OESTE (RO)";0;0;0;17788;0;0;0;4941;0;0;0;17788;0;0;0;0;530;953;3559481369;183427119;38600224;13174041;219192738;572960491;34150717;607111207;157246;"38609"
2017;1100148;1005;0;0;11;"RO";"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;359;782;2187600336;115926115;17463031;8251752;122068595;337975261;2299049;360965751;1659842;"21747"
2017;1100155;1005;0;0;11;"RO";"OURO PRETO DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;961;359;1571658607;135777046;88881228;261133897;233087604;718879775;58833696;777713471;1956069;"39759"
2017;1100189;1004;0;0;11;"RO";"PIMENTA BUENO (RO)";0;0;0;3680;0;0;0;1136;0;0;0;3312;0;0;0;0;1274;238;712017898;107191821;177813443;391769504;230640579;907415346;168995461;1076410808;2828863;"38051"
2017;1100205;1006;0;0;11;"RO";"PORTO VELHO (RO)";0;0;0;30880;0;0;0;9650;0;0;0;38600;0;0;0;0;9707;4007;8867585961;589994738;5156421836;5767120932;3186560429;14700097935;1814437263;16514535198;317932;"519.436 (1)"
2017;1100254;1005;0;0;11;"RO";"PRESIDENTE MEDICI (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438;581;2302583287;103300377;38543886;108624432;129143973;379612668;35437458;415050126;1876018;"22124"
2017;1100262;1002;0;0;11;"RO";"RIO CRESPO (RO)";0;0;0;39533;0;0;0;12575;0;0;0;39533;0;0;0;0;82;111;288801387;59951201;3231352;10760811;2896088;102904244;3416236;10632048;2776717;"3829"
2017;1100288;1003;0;0;11;"RO";"ROLIM DE MOURA (RO)";0;0;0;14894;0;0;0;5066;0;0;0;18866;0;0;0;0;1389;481;1646108978;105487342;314748582;43765408;337009795;1194899799;102624998;1297524797;2273408;"57074"
2017;1100296;1003;0;0;11;"RO";"SANTA LUZIA D OESTE (RO)";0;0;0;1920;0;0;0;800;0;0;0;1776;0;0;0;0;279;275;734282302;56677572;14051554;29353952;51731705;151814783;6797676;158612459;193477;"8198"
2017;1100304;1001;0;0;11;"RO";"VILHENA (RO)";0;0;0;188100;0;0;0;57000;0;0;0;194307;0;0;0;0;1915;190;67445198;162728257;412379634;1060234399;589778483;2225120774;330461217;255558199;2672364;"95630"
