"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2008;"ACRELANDIA (AC)";"AC";"ACRELANDIA";97;1;16;114
2008;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";11;0;2;13
2008;"BRASILEIA (AC)";"AC";"BRASILEIA";127;0;7;134
2008;"BUJARI (AC)";"AC";"BUJARI";59;3;2;64
2008;"CAPIXABA (AC)";"AC";"CAPIXABA";42;1;5;48
2008;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";356;24;27;407
2008;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";95;1;8;104
2008;"FEIJO (AC)";"AC";"FEIJO";49;1;1;51
2008;"JORDAO (AC)";"AC";"JORDAO";0;0;0;0
2008;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";28;1;5;34
2008;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";9;0;0;9
2008;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";3;0;0;3
2008;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";81;1;3;85
2008;"PORTO ACRE (AC)";"AC";"PORTO ACRE";70;3;21;94
2008;"PORTO WALTER (AC)";"AC";"PORTO WALTER";0;0;0;0
2008;"RIO BRANCO (AC)";"AC";"RIO BRANCO";2941;103;375;3419
2008;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";4;0;0;4
2008;"SANTA ROSA (AC)";"AC";"SANTA ROSA";1;0;0;1
2008;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";65;2;2;69
2008;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";191;2;12;205
2008;"TARAUACA (AC)";"AC";"TARAUACA";73;0;2;75
2008;"XAPURI (AC)";"AC";"XAPURI";36;0;1;37
2008;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";32;26;2;60
2008;"ANADIA (AL)";"AL";"ANADIA";19;35;21;75
