"ano";"chave";"estado";"municipio";"total.contratos";"valores.totais"
2008;"ACRELANDIA (AC)";"AC";"ACRELANDIA";472;3644725.21
2008;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";195;622003.38
2008;"BRASILEIA (AC)";"AC";"BRASILEIA";533;3969342.66
2008;"BUJARI (AC)";"AC";"BUJARI";139;4457002.67
2008;"CAPIXABA (AC)";"AC";"CAPIXABA";74;795457.45
2008;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";157;1024856.3
2008;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";373;1228407.39
2008;"FEIJO (AC)";"AC";"FEIJO";211;1065614.17
2008;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";67;215660.83
2008;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";3;250220.92
2008;"MARECHAL THAUMATURGO (AC)";"AC";"MARECHAL THAUMATURGO";10;15000
2008;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";404;2984613.17
2008;"PORTO ACRE (AC)";"AC";"PORTO ACRE";365;2507229.74
2008;"RIO BRANCO (AC)";"AC";"RIO BRANCO";580;14050036.37
2008;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";99;107337.83
2008;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";146;7455281.41
2008;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";651;6693259.78
2008;"TARAUACA (AC)";"AC";"TARAUACA";194;1593626.15
2008;"XAPURI (AC)";"AC";"XAPURI";253;4594384.29
2008;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";224;283990.73
2008;"ANADIA (AL)";"AL";"ANADIA";45;5256923.9
2008;"ARAPIRACA (AL)";"AL";"ARAPIRACA";985;36655522.52
2008;"ATALAIA (AL)";"AL";"ATALAIA";311;2829264.43
2008;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";73;244550.89
2008;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";3;102896
2008;"BATALHA (AL)";"AL";"BATALHA";424;1244227.25
2008;"BELEM (AL)";"AL";"BELEM";147;201969.36
2008;"BELO MONTE (AL)";"AL";"BELO MONTE";649;1051042.15
2008;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";294;5440981.85
2008;"BRANQUINHA (AL)";"AL";"BRANQUINHA";223;1452702.76
2008;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";172;575751.8
2008;"CAJUEIRO (AL)";"AL";"CAJUEIRO";24;826353.82
2008;"CAMPESTRE (AL)";"AL";"CAMPESTRE";120;1011273.61
2008;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";18;3081187.75
2008;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";777;8149173.97
2008;"CANAPI (AL)";"AL";"CANAPI";880;1640511.89
2008;"CAPELA (AL)";"AL";"CAPELA";35;1220517.85
2008;"CARNEIROS (AL)";"AL";"CARNEIROS";86;132321.57
2008;"CHA PRETA (AL)";"AL";"CHA PRETA";149;2019580.46
2008;"COITE DO NOIA (AL)";"AL";"COITE DO NOIA";305;857342.23
